onset	duration	type
9.613	1	Wait
20.792	1	Wait
23.225	1	Wait
30.305	1	Wait
32.638	1	Wait
35.02	1	Wait
39.435	1	Wait
41.918	1	Wait
105.48	1	Wait
107.88	1	Wait
110.29	1	Wait
112.59	1	Wait
132.78	1	Wait
137.31	1	Wait
146.68	1	Wait
149.18	1	Wait
151.74	1	Wait
154.41	1	Wait
160.87	1	Wait
185.2	1	Wait
189.63	1	Wait
205.46	1	Wait
207.92	1	Wait
212.37	1	Wait
214.72	1	Wait
219.09	1	Wait
236.86	1	Wait
239.19	1	Wait
245.61	1	Wait
250.87	1	Wait
253.47	1	Wait
255.9	1	Wait
264.32	1	Wait
273.63	1	Wait
276.05	1	Wait
278.45	1	Wait
280.85	1	Wait
289.41	1	Wait
291.84	1	Wait
296.22	1	Wait
298.75	1	Wait
307.22	1	Wait
314.43	1	Wait
320.83	1	Wait
325.19	1	Wait
331.61	1	Wait
334.18	1	Wait
342.65	1	Wait
345.05	1	Wait
347.49	1	Wait
351.85	1	Wait
369.86	1	Wait
374.34	1	Wait
380.82	1	Wait
383.49	1	Wait
390.14	1	Wait
399.75	1	Wait
404.13	1	Wait
418.14	1	Wait
425.24	1	Wait
427.57	1	Wait
429.91	1	Wait
432.22	1	Wait
439.47	1	Wait
441.78	1	Wait
444.42	1	Wait
461.84	1	Wait
464.43	1	Wait
470.81	1	Wait
486.08	1	Wait
490.55	1	Wait
492.95	1	Wait
510.51	1	Wait
514.92	1	Wait
529.35	1	Wait
544.13	1	Wait
546.56	1	Wait
550.84	1	Wait
555.23	1	Wait
557.82	1	Wait
560.39	1	Wait
562.74	1	Wait
569.19	1	Wait
571.67	1	Wait
574.05	1	Wait
576.43	1	Wait
588.1	1	Wait
590.46	1	Wait
594.84	1	Wait
599.29	1	Wait
601.66	1	Wait
604.09	1	Wait
606.56	1	Wait
611.04	1	Wait
615.8	1	Wait
618.25	1	Wait
622.75	1	Wait
632.35	1	Wait
636.7	1	Wait
639.18	1	Wait
641.61	1	Wait
646.01	1	Wait
651.66	1	Wait
654.09	1	Wait
668.65	1	Wait
670.95	1	Wait
684.13	1	Wait
688.51	1	Wait
691.14	1	Wait
693.57	1	Wait
696.47	1	Wait
698.96	1	Wait
704	1	Wait
708.42	1	Wait
716.87	1	Wait
734.33	1	Wait
736.71	1	Wait
752.43	1	Wait
764.36	1	Wait
766.76	1	Wait
769.06	1	Wait
771.44	1	Wait
773.83	1	Wait
776.13	1	Wait
787.46	1	Wait
797.24	1	Wait
799.62	1	Wait
811.4	1	Wait
813.79	1	Wait
816.13	1	Wait
820.53	1	Wait
826.96	1	Wait
829.37	1	Wait
831.77	1	Wait
845.2	1	Wait
847.83	1	Wait
850.26	1	Wait
852.93	1	Wait
855.33	1	Wait
857.93	1	Wait
862.33	1	Wait
878.25	1	Wait
888.72	1	Wait
891.12	1	Wait
895.53	1	Wait
900.03	1	Wait
2.799	1	Reward
11.979	1	Reward
25.59	1	Reward
73.339	1	Reward
91.482	1	Reward
100.48	1	Reward
123.62	1	Reward
141.8	1	Reward
166.27	1	Reward
196.44	1	Reward
231.95	1	Reward
268.73	1	Reward
309.62	1	Reward
354.3	1	Reward
406.5	1	Reward
411.3	1	Reward
420.53	1	Reward
434.57	1	Reward
452.91	1	Reward
475.22	1	Reward
501.48	1	Reward
539.12	1	Reward
583.12	1	Reward
627.53	1	Reward
673.31	1	Reward
721.98	1	Reward
729.48	1	Reward
741.54	1	Reward
759.45	1	Reward
778.46	1	Reward
806.03	1	Reward
834.22	1	Reward
866.74	1	Reward
902.56	1	Reward
