onset	duration	type
23.557	1	Wait
43.133	1	Wait
45.999	1	Wait
48.615	1	Wait
58.778	1	Wait
61.26	1	Wait
77.321	1	Wait
85.867	1	Wait
88.5	1	Wait
92.948	1	Wait
107.79	1	Wait
112.31	1	Wait
115.36	1	Wait
122	1	Wait
124.49	1	Wait
128.92	1	Wait
141.31	1	Wait
143.68	1	Wait
148.14	1	Wait
150.93	1	Wait
153.39	1	Wait
159.91	1	Wait
162.44	1	Wait
190.9	1	Wait
193.36	1	Wait
205.84	1	Wait
210.27	1	Wait
212.65	1	Wait
214.99	1	Wait
217.32	1	Wait
226.93	1	Wait
229.4	1	Wait
233.78	1	Wait
236.21	1	Wait
240.63	1	Wait
247.09	1	Wait
249.61	1	Wait
254.12	1	Wait
256.55	1	Wait
259.14	1	Wait
272.71	1	Wait
275.21	1	Wait
277.66	1	Wait
284.16	1	Wait
290.64	1	Wait
293.04	1	Wait
295.57	1	Wait
298.12	1	Wait
300.6	1	Wait
305.02	1	Wait
320.66	1	Wait
333.27	1	Wait
337.77	1	Wait
340.19	1	Wait
348.67	1	Wait
351.12	1	Wait
353.53	1	Wait
368.73	1	Wait
390.89	1	Wait
413.63	1	Wait
418.08	1	Wait
420.79	1	Wait
430.15	1	Wait
434.67	1	Wait
437.2	1	Wait
439.62	1	Wait
442.05	1	Wait
444.47	1	Wait
456.39	1	Wait
458.88	1	Wait
461.31	1	Wait
471.89	1	Wait
509.76	1	Wait
525.64	1	Wait
530.1	1	Wait
537.8	1	Wait
541.41	1	Wait
545.85	1	Wait
548.71	1	Wait
564.59	1	Wait
567.07	1	Wait
569.49	1	Wait
571.9	1	Wait
587.26	1	Wait
597.76	1	Wait
600.19	1	Wait
604.61	1	Wait
633.01	1	Wait
635.63	1	Wait
638.09	1	Wait
644.59	1	Wait
647.19	1	Wait
649.66	1	Wait
661.6	1	Wait
664	1	Wait
672.93	1	Wait
675.45	1	Wait
677.93	1	Wait
685.19	1	Wait
691.46	1	Wait
698.69	1	Wait
703.15	1	Wait
707.52	1	Wait
711.98	1	Wait
716.63	1	Wait
723.21	1	Wait
727.58	1	Wait
729.98	1	Wait
734.41	1	Wait
736.82	1	Wait
744.35	1	Wait
748.89	1	Wait
753.75	1	Wait
760.23	1	Wait
762.66	1	Wait
767.14	1	Wait
772.03	1	Wait
782.61	1	Wait
794.99	1	Wait
801.43	1	Wait
812.04	1	Wait
816.61	1	Wait
825.19	1	Wait
827.62	1	Wait
834.07	1	Wait
850.03	1	Wait
852.46	1	Wait
859.93	1	Wait
866.33	1	Wait
873.92	1	Wait
876.35	1	Wait
880.72	1	Wait
883.25	1	Wait
902.1	1	Wait
908.58	1	Wait
910.91	1	Wait
929.18	1	Wait
931.6	1	Wait
933.98	1	Wait
938.35	1	Wait
944.81	1	Wait
17.193	1	Reward
35.753	1	Reward
51.214	1	Reward
69.857	1	Reward
102.28	1	Reward
133.87	1	Reward
182.48	1	Reward
219.67	1	Reward
261.55	1	Reward
309.83	1	Reward
356.03	1	Reward
363.75	1	Reward
381.57	1	Reward
406.53	1	Reward
425.24	1	Reward
448.92	1	Reward
496.55	1	Reward
504.41	1	Reward
518.72	1	Reward
532.55	1	Reward
554.89	1	Reward
580.43	1	Reward
619.93	1	Reward
652.05	1	Reward
693.86	1	Reward
739.24	1	Reward
785.25	1	Reward
840.05	1	Reward
845.1	1	Reward
854.8	1	Reward
869.01	1	Reward
887.63	1	Reward
918.3	1	Reward
