onset	duration	type
7.397	1	Wait
20.642	1	Wait
23.208	1	Wait
34.853	1	Wait
37.236	1	Wait
39.735	1	Wait
42.117	1	Wait
44.483	1	Wait
53.98	1	Wait
56.312	1	Wait
58.694	1	Wait
65.092	1	Wait
67.924	1	Wait
70.607	1	Wait
80.253	1	Wait
90.699	1	Wait
95.081	1	Wait
97.397	1	Wait
120.81	1	Wait
125.19	1	Wait
136.31	1	Wait
140.75	1	Wait
145.09	1	Wait
147.48	1	Wait
149.88	1	Wait
154.31	1	Wait
158.74	1	Wait
187.45	1	Wait
189.84	1	Wait
194.21	1	Wait
196.58	1	Wait
198.99	1	Wait
201.42	1	Wait
207.84	1	Wait
216.32	1	Wait
223.68	1	Wait
226.03	1	Wait
230.41	1	Wait
234.76	1	Wait
237.16	1	Wait
243.81	1	Wait
248.16	1	Wait
250.52	1	Wait
256.9	1	Wait
261.38	1	Wait
268.6	1	Wait
270.98	1	Wait
273.31	1	Wait
279.75	1	Wait
282.21	1	Wait
288.61	1	Wait
291.17	1	Wait
298.07	1	Wait
300.6	1	Wait
303.17	1	Wait
307.83	1	Wait
310.25	1	Wait
324.66	1	Wait
336.21	1	Wait
338.61	1	Wait
342.97	1	Wait
354.58	1	Wait
360.95	1	Wait
365.36	1	Wait
374.73	1	Wait
379.14	1	Wait
381.56	1	Wait
385.97	1	Wait
388.37	1	Wait
395.74	1	Wait
398.1	1	Wait
402.55	1	Wait
407.05	1	Wait
425.07	1	Wait
427.47	1	Wait
429.84	1	Wait
432.22	1	Wait
434.6	1	Wait
436.97	1	Wait
443.33	1	Wait
447.81	1	Wait
455.38	1	Wait
457.69	1	Wait
462.11	1	Wait
466.54	1	Wait
477.12	1	Wait
479.55	1	Wait
482.09	1	Wait
484.45	1	Wait
491.8	1	Wait
496.21	1	Wait
498.73	1	Wait
510.26	1	Wait
512.66	1	Wait
519.05	1	Wait
521.44	1	Wait
532.65	1	Wait
535.05	1	Wait
539.41	1	Wait
542.26	1	Wait
548.79	1	Wait
553.14	1	Wait
555.56	1	Wait
558.04	1	Wait
560.46	1	Wait
562.81	1	Wait
567.14	1	Wait
571.55	1	Wait
585.8	1	Wait
588.23	1	Wait
590.89	1	Wait
602.59	1	Wait
607.04	1	Wait
609.59	1	Wait
611.94	1	Wait
614.3	1	Wait
618.77	1	Wait
623.2	1	Wait
634.23	1	Wait
638.58	1	Wait
642.94	1	Wait
645.29	1	Wait
647.81	1	Wait
650.21	1	Wait
653.07	1	Wait
655.57	1	Wait
658.04	1	Wait
662.62	1	Wait
668.05	1	Wait
672.55	1	Wait
674.95	1	Wait
677.5	1	Wait
692.17	1	Wait
694.57	1	Wait
703.67	1	Wait
708.18	1	Wait
715.65	1	Wait
718.53	1	Wait
735.02	1	Wait
739.42	1	Wait
745.82	1	Wait
748.29	1	Wait
761.48	1	Wait
763.83	1	Wait
766.26	1	Wait
770.78	1	Wait
773.31	1	Wait
776.01	1	Wait
792.12	1	Wait
796.49	1	Wait
798.85	1	Wait
801.23	1	Wait
803.62	1	Wait
806.11	1	Wait
823.34	1	Wait
829.74	1	Wait
832.09	1	Wait
836.44	1	Wait
842.9	1	Wait
862.16	1	Wait
866.49	1	Wait
870.89	1	Wait
875.3	1	Wait
881.72	1	Wait
884.17	1	Wait
897.63	1	Wait
2.632	1	Reward
11.779	1	Reward
28.089	1	Reward
49.248	1	Reward
75.422	1	Reward
101.76	1	Reward
131.65	1	Reward
178.67	1	Reward
218.72	1	Reward
263.75	1	Reward
315.1	1	Reward
319.93	1	Reward
331.41	1	Reward
349.72	1	Reward
367.75	1	Reward
390.82	1	Reward
417.54	1	Reward
450.25	1	Reward
486.88	1	Reward
527.87	1	Reward
576.72	1	Reward
629.38	1	Reward
682.39	1	Reward
687.33	1	Reward
696.92	1	Reward
710.62	1	Reward
729.01	1	Reward
752.7	1	Reward
781.17	1	Reward
818.53	1	Reward
853.35	1	Reward
892.65	1	Reward
