onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.028911	0.9575	3.929132	ClickBlackWhite3	KinderBuenoWhite2	44	43	0	b	2	0	1400.09
6.017406	0.9575	7.59592	DoritosSourSpicy	Dubonim	15	14	0	y	1	1	1071.59
9.017946	0.9575	10.81251	HappyHippo	BabyDoll	17	10	1	b	1	1	1284.05
14.01882	0.9575	15.57919	CrunchShokoVanil	Twist	50	54	0	b	2	0	1055.18
17.0194	0.9575	18.36991	CrunchBisquitWhite2	Twist	45	54	0	b	2	0	849.59
20.01993	0.9575	21.33703	ClickBlackWhite3	BisliOnion	44	49	0	y	2	1	810.06
34.02242	0.9575	35.50616	DoritosNatural	Dubonim	13	14	0	y	1	1	982.58
38.02301	0.9575	39.3629	HappyHippo	DoritosNatural	17	13	1	y	1	0	834.99
42.02373	0.9575	43.49093	KinderBuenoWhite2	ClickBalls5	43	52	1	b	2	1	966.26
45.0243	0.9575	46.6297	KinderBuenoWhite2	CrunchBisquitWhite2	43	45	1	b	2	1	1100.69
48.02482	0.9575	49.41304	Tictac	Twix	55	5	0	y	4	1	890.17
53.02564	0.9575	54.42969	DoritosSourSpicy	DoritosGrill	15	11	0	y	1	1	905.35
56.02616	0.9575	57.29651	KifkefMaklot2	ClickBalls5	46	52	1	b	2	1	771.84
66.02802	0.9575	67.51325	ChocolateParaSucariotKoftzot2	CrunchBisquitWhite2	51	45	1	b	2	1	985.98
72.01294	0.9575	73.34611	BabyDoll	Dubonim	10	14	0	y	1	1	817.06
75.013	0.9575	76.68011	HispusimShatiah	DoritosNatural	8	13	1	y	1	0	1152.99
79.01321	0.9575	80.98072	KinderBuenoWhite2	CrunchShokoVanil	43	50	1	b	2	1	1453.78
84.01445	0.9575	85.54811	HispusimShatiah	DoritosSourSpicy	8	15	1	y	1	0	1026.59
91.01556	0.9575	92.46614	CrunchShokoVanil	ChocolateParaSucariotKoftzot2	50	51	0	b	2	0	945.44
96.01743	0.9575	97.41695	GumiSnakes3	Tictac	6	55	1	b	4	1	894.57
99.01707	0.9575	100.3841	DoritosSourSpicy	SkittlesFruits2	15	16	0	b	1	0	865.97
105.0181	0.9575	106.5805	SkittlesFruits2	BabyDoll	16	10	1	b	1	1	1053.89
109.0188	0.9575	110.6693	Shugi	ClickBlackWhite3	48	44	1	b	2	1	1141.21
121.0208	0.9575	122.4046	Twist	ClickBalls5	54	52	1	y	2	0	881.16
124.0213	0.9575	125.605	ClickBalls5	Shugi	52	48	0	y	2	1	1083.66
127.0218	0.9575	128.3223	CrunchShokoVanil	KifkefMaklot2	50	46	0	b	2	0	799.14
131.0225	0.9575	132.3731	BisliOnion	ClickBalls5	49	52	1	b	2	1	845.46
137.0236	0.9575	138.7308	Kitkat	HispusimShatiah	12	8	0	y	1	1	1208.41
140.0242	0.9575	142.0246	Snickers	SkittlesFruits2	7	16	0	x	1	NaN	NaN
149.0258	0.9575	150.4978	KashitSour	Snickers	9	7	1	b	1	1	978.24
153.0264	0.9575	154.2978	Dubonim	Snickers	14	7	1	b	1	1	773.58
157.0271	0.9575	158.4645	Shugi	CrunchBisquitWhite2	48	45	1	b	2	1	941.89
160.0274	0.9575	161.4311	BisliOnion	KinderJoy	49	47	1	b	2	1	908.6
163.0281	0.9575	164.6145	HappyHippo	Snickers	17	7	1	b	1	1	1086.87
173.0145	0.9575	174.2981	DoritosSourSpicy	HappyHippo	15	17	0	b	1	0	782.52
177.0146	0.9575	178.4312	ClickBalls5	ChocolateParaSucariotKoftzot2	52	51	0	y	2	1	918.37
185.0153	0.9575	186.5825	Kitkat	SkittlesFruits2	12	16	0	y	1	1	1056.66
188.0187	0.9575	189.4149	Loacker	HappyHippo	18	17	0	y	1	1	886.26
