onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.015934	0.9575	3.713001	BabyDoll	SkittlesFruits2	10	16	0	b	1	0	1193.38
5.01601	0.9575	6.716093	ClickBalls5	Twist	52	54	0	b	2	0	1201.3
8.016015	0.9575	9.233021	Loacker	Dubonim	18	14	0	y	1	1	713.28
13.01611	0.9575	14.51632	HappyHippo	Snickers	17	7	1	y	1	0	1007.2
18.01625	0.9575	19.54972	CrunchBisquitWhite2	ChocolateParaSucariotKoftzot2	45	51	0	y	2	1	1043.06
25.01641	0.9575	26.70015	BabyDoll	HispusimShatiah	10	8	0	y	1	1	1192.9
29.01715	0.9575	30.50097	KinderJoy	KifkefMaklot2	47	46	0	y	2	1	995.16
32.01764	0.9575	33.50151	CrunchShokoVanil	Twist	50	54	0	b	2	0	992.67
39.01888	0.9575	40.30268	KashitSour	BabyDoll	9	10	1	b	1	1	795.44
43.01653	0.9575	44.30339	HappyHippo	DoritosNatural	17	13	1	y	1	0	791.79
46.01998	0.9575	47.35014	DoritosGrill	Loacker	11	18	1	b	1	1	832.32
50.01667	0.9575	51.53788	Tortit	KifkefMaklot2	53	46	0	y	2	1	1027.64
54.01668	0.9575	55.32193	BisliOnion	ClickBalls5	49	52	1	b	2	1	811.63
59.01681	0.9575	60.42286	ChocolateParaSucariotKoftzot2	Tortit	51	53	1	b	2	1	913.5
63.0168	0.9575	64.21704	HispusimShatiah	Kitkat	8	12	1	b	1	1	702.51
67.0169	0.9575	68.74096	Kitkat	SkittlesFruits2	12	16	0	y	1	1	1222.41
70.01697	0.9575	71.50802	Twist	KinderJoy	54	47	1	y	2	0	991.34
80.01704	0.9575	81.69309	KinderBuenoWhite2	Tortit	43	53	1	b	2	1	1180.27
84.01716	0.9575	85.53384	CrunchShokoVanil	ChocolateParaSucariotKoftzot2	50	51	0	b	2	0	1018.16
87.01713	0.9575	88.35075	ChocolateParaSucariotKoftzot2	KinderJoy	51	47	1	b	2	1	832.18
90.01719	0.9575	91.21155	HappyHippo	DoritosSourSpicy	17	15	1	y	1	0	694.13
94.01721	0.9575	95.82895	Kitkat	HappyHippo	12	17	0	b	1	0	1314.11
100.0172	0.9575	101.6633	Snickers	HispusimShatiah	7	8	0	y	1	1	1147.07
103.0174	0.9575	104.701	SkittlesFruits2	Snickers	16	7	1	y	1	0	1192.94
106.0174	0.9575	107.601	KinderBuenoWhite2	ClickBlackWhite3	43	44	1	b	2	1	1084.93
110.0175	0.9575	111.301	Dubonim	Snickers	14	7	1	b	1	1	793.84
113.0175	0.9575	114.6677	DoritosSourSpicy	KashitSour	15	9	0	b	1	0	1155.81
116.0175	0.9575	117.3844	BabyDoll	HappyHippo	10	17	0	y	1	1	873.79
130.0181	0.9575	131.5186	ClickBlackWhite3	ChocolateParaSucariotKoftzot2	44	51	0	b	2	0	1012.18
140.0199	0.9575	141.5036	CrunchBisquitWhite2	Shugi	45	48	0	y	2	1	990.42
146.0209	0.9575	147.288	SkittlesFruits2	DoritosNatural	16	13	1	y	1	0	770.41
150.018	0.9575	151.5886	GumiSnakes3	Tictac	6	55	1	b	4	1	1074.3
156.0181	0.9575	157.3683	PesekZman	GumiSnakes3	56	6	0	y	4	1	850.23
160.0181	0.9575	161.6071	Loacker	HappyHippo	18	17	0	b	1	0	1095.2
166.0181	0.9575	167.4415	KifkefMaklot2	ClickBalls5	46	52	1	b	2	1	926.26
178.0208	0.9575	179.3684	CrunchBisquitWhite2	BisliOnion	45	49	0	y	2	1	851.49
181.0183	0.9575	182.9108	BisliOnion	Tortit	49	53	1	b	2	1	1393
188.0136	0.9575	189.3686	Shugi	CrunchShokoVanil	48	50	1	b	2	1	853.74
