onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.03299	0.9575	3.446063	Kitkat	Dubonim	12	14	0	y	1	1	909.9
6.033019	0.9575	7.646598	CrunchBisquitWhite2	KifkefMaklot2	45	46	0	y	2	1	1109.88
13.03313	0.9575	14.45009	Loacker	Dubonim	18	14	0	y	1	1	915.76
16.03314	0.9575	17.86661	ClickBlackWhite3	Twist	44	54	0	b	2	0	1338.76
21.03319	0.9575	22.31656	Loacker	DoritosGrill	18	11	0	y	1	1	793.7
31.03399	0.9575	32.61776	Loacker	KashitSour	18	9	0	y	1	1	1092.88
34.03442	0.9575	35.43491	HispusimShatiah	Loacker	8	18	1	b	1	1	900.46
37.03496	0.9575	38.88545	KifkefMaklot2	ClickBlackWhite3	46	44	1	y	2	0	1361.92
46.03661	0.9575	47.75372	KinderJoy	Twist	47	54	0	b	2	0	1222.28
49.03713	0.9575	50.4875	Loacker	SkittlesFruits2	18	16	0	y	1	1	960.76
59.03381	0.9575	60.78405	HappyHippo	Kitkat	17	12	1	y	1	0	1247.08
64.03386	0.9575	65.40684	ChocolateParaSucariotKoftzot2	Tortit	51	53	1	b	2	1	876.03
69.03389	0.9575	70.36753	BabyDoll	KashitSour	10	9	0	y	1	1	831
77.03406	0.9575	78.92588	ClickBlackWhite3	ChocolateParaSucariotKoftzot2	44	51	0	y	2	1	1395.83
84.03417	0.9575	85.46034	HispusimShatiah	Snickers	8	7	1	b	1	1	923.74
88.03423	0.9575	89.68427	KinderJoy	KinderBuenoWhite2	47	43	0	y	2	1	1152.67
91.03426	0.9575	92.55103	DoritosGrill	DoritosNatural	11	13	1	b	1	1	1016.63
96.03424	0.9575	97.7677	ChocolateParaSucariotKoftzot2	KinderJoy	51	47	1	b	2	1	1237.65
99.03435	0.9575	100.6844	Tortit	Shugi	53	48	0	y	2	1	1153.54
107.0345	0.9575	108.4512	GumiSnakes3	PesekZman	6	56	1	b	4	1	922.44
113.0345	0.9575	114.2679	Kitkat	DoritosGrill	12	11	0	y	1	1	738.35
118.0346	0.9575	119.3848	DoritosSourSpicy	KashitSour	15	9	0	b	1	0	857.31
123.0346	0.9575	124.7681	KifkefMaklot2	Tortit	46	53	1	b	2	1	1232.27
126.0347	0.9575	127.3849	Kitkat	KashitSour	12	9	0	y	1	1	849.18
140.0363	0.9575	141.6702	Twix	PesekZman	5	56	1	b	4	1	1140.6
143.0368	0.9575	144.504	Shugi	KinderJoy	48	47	1	b	2	1	979.07
147.0375	0.9575	149.038	Twist	Tortit	54	53	1	x	2	NaN	NaN
151.035	0.9575	152.4886	SkittlesFruits2	DoritosNatural	16	13	1	y	1	0	950.88
154.0387	0.9575	155.2392	BisliOnion	Tortit	49	53	1	b	2	1	712.17
157.035	0.9575	158.3397	KinderBuenoWhite2	Tortit	43	53	1	b	2	1	812.87
163.0351	0.9575	164.4354	CrunchShokoVanil	BisliOnion	50	49	0	y	2	1	899.79
169.0352	0.9575	170.3354	HispusimShatiah	BabyDoll	8	10	1	b	1	1	801.68
172.0353	0.9575	173.2922	KifkefMaklot2	KinderJoy	46	47	1	b	2	1	756.62
175.0353	0.9575	176.3762	CrunchShokoVanil	Shugi	50	48	0	y	2	1	845.59
179.0354	0.9575	180.2935	Snickers	DoritosGrill	7	11	0	y	1	1	760.52
182.0354	0.9575	183.2774	CrunchBisquitWhite2	BisliOnion	45	49	0	y	2	1	743.45
185.0354	0.9575	186.5446	KashitSour	DoritosNatural	9	13	1	y	1	0	1007.45
188.0354	0.9575	189.2691	DoritosGrill	BabyDoll	11	10	1	b	1	1	738.49
