onset	duration	fixation_onset	item_name_left	item_name_right	item_rank_left	item_rank_right	is_left_go	response	pair_type	is_go_chosen	RT
2.02857	0.9575	3.633512	PesekZman	Twix	56	5	0	y	4	1	1110.25
9.028591	0.9575	10.66797	CrunchBisquitWhite2	KifkefMaklot2	45	46	0	y	2	1	1143.22
22.02887	0.9575	23.60355	SkittlesFruits2	Loacker	16	18	1	b	1	1	1075.94
26.02885	0.9575	27.51243	DoritosSourSpicy	Dubonim	15	14	0	y	1	1	983.97
31.02888	0.9575	32.8053	KinderBuenoWhite2	CrunchShokoVanil	43	50	1	y	2	0	1271.94
34.02895	0.9575	35.6723	KashitSour	DoritosNatural	9	13	1	b	1	1	1143.88
39.029	0.9575	40.32317	Dubonim	Kitkat	14	12	1	b	1	1	792.82
43.02915	0.9575	44.94602	Tortit	Twist	53	54	0	y	2	1	1422.67
52.02926	0.9575	53.42948	DoritosGrill	Snickers	11	7	1	b	1	1	908.56
57.02923	0.9575	58.4296	Tictac	Twix	55	5	0	y	4	1	898.59
61.02936	0.9575	62.37958	Loacker	KashitSour	18	9	0	y	1	1	855.46
68.02944	0.9575	69.2797	DoritosGrill	Kitkat	11	12	1	b	1	1	750.38
72.02947	0.9575	73.47965	ClickBlackWhite3	Shugi	44	48	0	y	2	1	949.35
78.02959	0.9575	79.3468	BabyDoll	Dubonim	10	14	0	y	1	1	826.23
83.03054	0.9575	84.26418	KashitSour	Kitkat	9	12	1	b	1	1	741.27
87.03115	0.9575	88.39837	DoritosSourSpicy	HispusimShatiah	15	8	0	b	1	0	877.67
90.03175	0.9575	91.46557	BisliOnion	ClickBlackWhite3	49	44	1	b	2	1	939.06
93.03224	0.9575	94.59944	KinderJoy	KinderBuenoWhite2	47	43	0	y	2	1	1072.58
97.03295	0.9575	98.45005	CrunchShokoVanil	BisliOnion	50	49	0	b	2	0	925.87
110.03	0.9575	111.8468	Shugi	Tortit	48	53	1	b	2	1	1316.85
114.03	0.9575	115.4635	KinderJoy	Shugi	47	48	0	y	2	1	931.8
117.0301	0.9575	118.3135	BisliOnion	KinderJoy	49	47	1	b	2	1	784.73
122.0303	0.9575	123.6712	KinderBuenoWhite2	ClickBalls5	43	52	1	b	2	1	1139.56
125.0302	0.9575	126.5383	DoritosGrill	DoritosSourSpicy	11	15	1	y	1	0	1010.59
129.0302	0.9575	130.4805	Twist	CrunchBisquitWhite2	54	45	1	y	2	0	948.57
135.0304	0.9575	136.1972	DoritosGrill	BabyDoll	11	10	1	b	1	1	664.47
138.0304	0.9575	139.5304	Snickers	KashitSour	7	9	0	y	1	1	1005.44
142.0304	0.9575	143.3972	CrunchShokoVanil	KifkefMaklot2	50	46	0	b	2	0	865.44
147.0305	0.9575	148.564	ChocolateParaSucariotKoftzot2	ClickBalls5	51	52	1	b	2	1	1041.34
151.0306	0.9575	152.614	Dubonim	DoritosNatural	14	13	1	b	1	1	1088.26
163.0307	0.9575	164.5781	Twist	ClickBlackWhite3	54	44	1	y	2	0	1046.07
169.0308	0.9575	170.6143	DoritosNatural	HispusimShatiah	13	8	0	y	1	1	1083.01
172.0307	0.9575	173.2643	DoritosSourSpicy	SkittlesFruits2	15	16	0	b	1	0	734.07
176.0309	0.9575	177.5644	Loacker	HispusimShatiah	18	8	0	y	1	1	1045.93
179.0309	0.9575	181.031	CrunchBisquitWhite2	KinderBuenoWhite2	45	43	0	x	2	NaN	NaN
182.0311	0.9575	183.7482	ClickBalls5	Shugi	52	48	0	y	2	1	1217.72
185.0315	0.9575	186.5986	DoritosGrill	DoritosNatural	11	13	1	b	1	1	1073.3
188.0321	0.9575	189.4326	KifkefMaklot2	ClickBlackWhite3	46	44	1	b	2	1	908.69
