onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
4.054	1.702	1	1	pump	15	-6.30769230769231	-9.44444444444444	control	control	15	grey	0	0	NA	NA
7.471	0.664	1	2	pump	15	-5.30769230769231	-8.44444444444444	control	control	15	grey	0	0	NA	NA
9.204	1.014	1	3	pump	15	-4.30769230769231	-7.44444444444444	control	control	15	grey	0	0	NA	NA
11.654	0.527	1	4	pump	15	-3.30769230769231	-6.44444444444444	control	control	15	grey	0	0	NA	NA
13.892	0.33	1	5	pump	15	-2.30769230769231	-5.44444444444444	control	control	15	grey	0	0	NA	NA
15.742	0.396	1	6	pump	15	-1.30769230769231	-4.44444444444444	control	control	15	grey	0	0	NA	NA
18.108	0.66	1	7	pump	15	-0.307692307692307	-3.44444444444444	control	control	15	grey	0	0	NA	NA
19.94	0.499	1	8	pump	15	0.692307692307693	-2.44444444444444	control	control	15	grey	0	0	NA	NA
22.19	1.107	1	9	pump	15	1.69230769230769	-1.44444444444444	control	control	15	grey	0	0	NA	NA
25.155	0.618	1	10	pump	15	2.69230769230769	-0.444444444444445	control	control	15	grey	0	0	NA	NA
27.421	0.994	1	11	pump	15	3.69230769230769	0.555555555555555	control	control	15	grey	0	0	NA	NA
30.404	0.665	1	12	pump	15	4.69230769230769	1.55555555555556	control	control	15	grey	0	0	NA	NA
32.221	0.876	1	13	pump	15	5.69230769230769	2.55555555555556	control	control	15	grey	0	0	NA	NA
35.071	0.867	1	14	pump	15	6.69230769230769	3.55555555555556	control	control	15	grey	0	0	NA	NA
37.438	0.74	1	15	pump	15	7.69230769230769	4.55555555555556	control	control	15	grey	0	0	NA	NA
43.871	0.633	2	1	pump	6	-6.30769230769231	-4.875	exponential	explosion	6	blue	0.01	0	NA	NA
45.621	0.625	2	2	pump	6	-5.30769230769231	-3.875	exponential	explosion	6	blue	0.0428709385014517	0	NA	NA
