onset	duration	trial	value	instruction
9019	8	1	1	rest
16958	7	1	2	task
23896	5	1	3	interval
28994	8	2	1	rest
36979	7	2	2	task
43895	5	2	3	interval
49002	8	3	1	rest
56962	7	3	2	task
63896	5	3	3	interval
69004	8	4	1	rest
76961	7	4	2	task
83901	5	4	3	interval
89010	8	5	1	rest
96969	7	5	2	task
103904	5	5	3	interval
109006	8	6	1	rest
116962	7	6	2	task
123903	5	6	3	interval
129015	8	7	1	rest
136962	7	7	2	task
143905	5	7	3	interval
149012	8	8	1	rest
156965	7	8	2	task
163999	5	8	3	interval
169006	8	9	1	rest
176970	7	9	2	task
184046	5	9	3	interval
189013	8	10	1	rest
196964	7	10	2	task
203945	5	10	3	interval
209017	8	11	1	rest
216972	7	11	2	task
223917	5	11	3	interval
229010	8	12	1	rest
236975	7	12	2	task
243913	5	12	3	interval
249027	8	13	1	rest
256988	7	13	2	task
263925	5	13	3	interval
269023	8	14	1	rest
276986	7	14	2	task
283915	5	14	3	interval
289029	8	15	1	rest
296984	7	15	2	task
303921	5	15	3	interval
309030	8	16	1	rest
316987	7	16	2	task
323928	5	16	3	interval
329028	8	17	1	rest
337008	7	17	2	task
343926	5	17	3	interval
349039	8	18	1	rest
356992	7	18	2	task
363935	5	18	3	interval
369039	8	19	1	rest
376992	7	19	2	task
383932	5	19	3	interval
389036	8	20	1	rest
396994	7	20	2	task
403932	5	20	3	interval
409042	8	21	1	rest
416999	7	21	2	task
423938	5	21	3	interval
429036	8	22	1	rest
436997	7	22	2	task
443936	5	22	3	interval
449035	8	23	1	rest
456996	7	23	2	task
464095	5	23	3	interval
469055	8	24	1	rest
477014	7	24	2	task
483940	5	24	3	interval
489040	8	25	1	rest
497000	7	25	2	task
503936	5	25	3	interval
