onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	6	central	canonical	canonical	0.808
10.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.580
16.000	1.000	structured	1	2	8	central	canonical	canonical	0.512
20.000	1.000	structured	1	2	9	central	canonical	canonical	0.692
24.000	1.000	structured	1	2	7	central	canonical	canonical	0.541
28.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.521
34.000	1.000	structured	1	2	9	central	canonical	canonical	0.586
40.000	1.000	structured	1	2	6	central	canonical	canonical	0.553
46.000	1.000	structured	1	2	9	central	rotated	rotated	0.754
48.000	1.000	structured	1	2	8	central	canonical	canonical	0.645
52.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.698
54.000	1.000	structured	1	2	8	central	rotated	rotated	0.782
58.000	1.000	structured	1	2	4	boundary	rotated	canonical	0.551
64.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.707
70.000	1.000	structured	1	1	2	central	canonical	canonical	0.655
76.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.624
80.000	1.000	structured	1	1	2	central	rotated	rotated	0.763
84.000	1.000	structured	1	1	20	central	canonical	canonical	0.630
88.000	1.000	structured	1	1	1	central	canonical	canonical	0.862
92.000	1.000	structured	1	1	19	central	canonical	canonical	0.618
96.000	1.000	structured	1	1	20	central	canonical	canonical	0.571
102.000	1.000	scrambled	2	1	21	central	canonical	canonical	0.658
106.000	1.000	scrambled	2	2	5	central	canonical	canonical	0.621
112.000	1.000	scrambled	2	3	11	boundary	canonical	canonical	0.569
114.000	1.000	scrambled	2	2	4	boundary	canonical	canonical	0.610
116.000	1.000	scrambled	2	2	9	central	canonical	canonical	0.624
118.000	1.000	scrambled	2	2	6	central	canonical	canonical	0.544
124.000	1.000	scrambled	2	3	17	boundary	canonical	canonical	0.558
130.000	1.000	scrambled	2	1	2	central	canonical	canonical	0.736
132.000	1.000	scrambled	2	1	19	central	canonical	canonical	0.586
138.000	1.000	scrambled	2	1	3	boundary	canonical	canonical	0.589
140.000	1.000	scrambled	2	1	20	central	canonical	canonical	0.524
142.000	1.000	scrambled	2	2	10	boundary	canonical	canonical	0.540
146.000	1.000	scrambled	2	3	13	central	canonical	canonical	0.561
148.000	1.000	scrambled	2	3	12	central	canonical	canonical	0.933
154.000	1.000	scrambled	2	3	14	central	canonical	canonical	0.563
158.000	1.000	scrambled	2	2	8	central	canonical	canonical	0.542
160.000	1.000	scrambled	2	3	16	central	canonical	canonical	0.715
162.000	1.000	scrambled	2	1	18	boundary	canonical	canonical	0.609
168.000	1.000	scrambled	2	2	7	central	canonical	canonical	0.639
170.000	1.000	scrambled	2	3	15	central	canonical	canonical	0.678
176.000	1.000	scrambled	2	1	1	central	canonical	canonical	0.571
178.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.548
182.000	1.000	structured	3	1	21	central	canonical	canonical	0.619
186.000	1.000	structured	3	1	3	boundary	canonical	canonical	0.578
192.000	1.000	structured	3	1	21	central	rotated	rotated	0.739
196.000	1.000	structured	3	1	20	central	canonical	canonical	0.616
198.000	1.000	structured	3	1	3	boundary	canonical	canonical	0.545
202.000	1.000	structured	3	1	2	central	canonical	canonical	0.563
208.000	1.000	structured	3	1	1	central	canonical	canonical	0.567
212.000	1.000	structured	3	1	18	boundary	canonical	canonical	0.615
