onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	2	7	central	canonical	canonical	0.627
8.000	1.000	structured	1	2	5	central	canonical	canonical	0.549
12.000	1.000	structured	1	2	8	central	canonical	canonical	0.534
16.000	1.000	structured	1	2	7	central	canonical	canonical	0.500
18.000	1.000	structured	1	2	8	central	rotated	rotated	0.690
22.000	1.000	structured	1	2	7	central	rotated	rotated	0.677
28.000	1.000	structured	1	2	6	central	canonical	canonical	0.563
34.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.542
40.000	1.000	structured	1	2	5	central	canonical	canonical	0.558
46.000	1.000	structured	1	2	7	central	canonical	canonical	0.571
48.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.591
52.000	1.000	structured	1	2	8	central	canonical	canonical	0.554
54.000	1.000	structured	1	2	6	central	canonical	canonical	0.494
56.000	1.000	structured	1	2	8	central	rotated	rotated	0.767
58.000	1.000	structured	1	2	9	central	canonical	canonical	0.566
64.000	1.000	structured	1	2	7	central	canonical	canonical	0.627
70.000	1.000	structured	1	2	4	boundary	canonical	canonical	0.650
72.000	1.000	structured	1	2	8	central	canonical	canonical	0.583
74.000	1.000	structured	1	2	5	central	canonical	canonical	0.674
78.000	1.000	structured	1	2	10	boundary	canonical	canonical	0.636
84.000	1.000	structured	1	2	8	central	canonical	canonical	0.566
88.000	1.000	structured	2	2	10	boundary	rotated	rotated	0.689
92.000	1.000	structured	2	3	11	boundary	canonical	canonical	0.645
98.000	1.000	structured	2	3	13	central	canonical	canonical	0.613
104.000	1.000	structured	2	3	14	central	canonical	canonical	0.604
110.000	1.000	structured	2	3	11	boundary	canonical	canonical	0.882
112.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.623
116.000	1.000	structured	2	2	7	central	canonical	canonical	0.633
120.000	1.000	structured	2	2	6	central	canonical	canonical	0.524
122.000	1.000	structured	2	2	9	central	canonical	canonical	0.601
128.000	1.000	structured	2	2	7	central	canonical	canonical	0.591
130.000	1.000	structured	2	2	10	boundary	canonical	canonical	0.536
134.000	1.000	structured	2	2	8	central	canonical	canonical	0.562
