onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
4.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.847
6.000	1.000	structured	1	1	20	central	canonical	canonical	0.929
12.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.629
16.000	1.000	structured	1	1	21	central	canonical	canonical	0.808
20.000	1.000	structured	1	1	19	central	canonical	canonical	0.520
26.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.604
28.000	1.000	structured	1	1	20	central	canonical	canonical	0.650
34.000	1.000	structured	1	1	2	central	canonical	canonical	0.559
38.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.591
42.000	1.000	structured	1	1	19	central	canonical	canonical	0.556
46.000	1.000	structured	1	1	20	central	canonical	canonical	0.566
50.000	1.000	structured	1	1	19	central	rotated	rotated	0.925
56.000	1.000	structured	1	1	18	boundary	canonical	canonical	0.685
60.000	1.000	structured	1	1	19	central	rotated	rotated	0.758
64.000	1.000	structured	1	1	1	central	canonical	canonical	0.607
66.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.925
72.000	1.000	structured	1	1	19	central	canonical	canonical	0.578
74.000	1.000	structured	1	1	20	central	canonical	canonical	0.608
78.000	1.000	structured	1	1	3	boundary	canonical	canonical	0.598
80.000	1.000	structured	1	1	21	central	canonical	canonical	0.536
86.000	1.000	structured	1	1	20	central	canonical	canonical	0.533
90.000	1.000	structured	2	1	19	central	canonical	canonical	0.750
94.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.517
100.000	1.000	structured	2	1	21	central	canonical	canonical	0.540
106.000	1.000	structured	2	1	1	central	canonical	canonical	0.633
108.000	1.000	structured	2	1	19	central	canonical	canonical	0.775
110.000	1.000	structured	2	1	1	central	rotated	rotated	0.757
114.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.575
116.000	1.000	structured	2	1	19	central	canonical	canonical	0.623
118.000	1.000	structured	2	1	18	boundary	canonical	canonical	0.593
124.000	1.000	structured	2	1	20	central	canonical	canonical	0.659
130.000	1.000	structured	2	1	21	central	canonical	canonical	0.681
136.000	1.000	structured	2	1	1	central	canonical	canonical	0.576
138.000	1.000	structured	2	1	3	boundary	canonical	canonical	0.596
