onset	duration	color	contrast
0	14	0	0.0
14	14	4	0.3
28	14	0	0.0
42	14	3	0.5
56	14	0	0.0
70	14	5	0.1
84	14	0	0.0
98	14	1	0.1
112	14	0	0.0
126	14	9	0.1
140	14	0	0.0
154	14	2	0.95
168	14	0	0.0
182	14	8	0.3
196	14	0	0.0
210	14	6	0.95
224	14	0	0.0
238	14	7	0.5
252	14	0	0.0
