onset	duration	trial_type	response_time
31.106	9.6	n/a	5.718
43.104	9.6	n/a	5.075
53.902	9.6	low	5.09
67.117	9.6	n/a	5.11799999999999
77.915	9.6	n/a	5.06599999999999
91.113	9.6	n/a	5.392
104.311	9.6	low	4.95599999999999
116.309	9.6	low	5.446
128.307	9.6	high	5.18600000000001
139.105	9.6	low	5.61600000000001
152.303	9.6	low	5.22300000000001
164.318	9.6	n/a	6.411
176.316	9.6	high	5.43199999999999
187.114	9.6	low	4.92599999999999
197.913	9.6	low	4.96599999999998
208.711	9.6	low	5.08999999999997
220.709	9.6	low	5.24099999999999
233.907	9.6	low	5.11699999999999
277.117	9.6	low	5.11599999999999
290.315	9.6	n/a	4.99099999999999
301.113	9.6	high	5.221
314.311	9.6	low	5.173
327.509	9.6	low	5.19299999999998
339.507	9.6	low	5.03899999999999
351.505	9.6	low	6.63900000000001
363.503	9.6	n/a	5.53300000000002
374.318	9.6	low	5.14400000000001
385.116	9.6	n/a	5.79000000000002
395.915	9.6	n/a	5.22499999999997
407.913	9.6	n/a	6.13900000000001
421.111	9.6	high	5.61000000000001
431.909	9.6	n/a	5.23700000000002
445.107	9.6	low	5.09999999999997
457.105	9.6	low	7.226
469.103	9.6	low	5.23199999999997
482.318	9.6	low	6.06800000000004
523.111	9.6	low	4.92899999999997
533.909	9.6	low	5.06100000000004
547.107	9.6	n/a	5.28399999999999
557.906	9.6	low	6.44400000000007
571.103	9.6	low	5.65300000000002
583.102	9.6	low	5.97300000000007
595.116	9.6	low	5.33400000000006
607.114	9.6	n/a	5.49199999999996
617.913	9.6	low	5.52599999999995
631.111	9.6	low	6.69299999999998
641.909	9.6	low	7.327
653.907	9.6	low	5.97399999999993
665.905	9.6	low	5.37900000000002
679.103	9.6	high	5.202
689.918	9.6	n/a	5.202
703.116	9.6	n/a	5.16899999999998
716.314	9.6	n/a	6.76700000000005
728.312	9.6	n/a	5.27999999999997
