onset	duration	trial_type	response_time
31.113	9.6	low	5.087
41.928	9.6	n/a	5.303
53.926	9.6	low	5.084
67.124	9.6	low	6.29600000000001
80.322	9.6	low	5.456
91.12	9.6	low	6.53699999999999
103.118	9.6	high	5.238
116.316	9.6	n/a	5.107
127.114	9.6	low	5.54300000000001
139.112	9.6	n/a	5.86799999999999
151.127	9.6	low	5.91299999999998
163.125	9.6	low	5.166
175.123	9.6	low	5.71700000000001
185.922	9.6	low	5.79900000000001
196.72	9.6	low	5.16200000000001
209.918	9.6	n/a	5.285
220.716	9.6	n/a	6.57499999999999
233.914	9.6	n/a	5.39200000000002
277.124	9.6	low	5.59499999999997
289.122	9.6	n/a	4.98599999999999
299.92	9.6	low	5.27299999999997
313.118	9.6	n/a	5.40300000000002
326.316	9.6	low	5.61400000000003
338.314	9.6	low	5.10699999999997
350.312	9.6	low	5.55399999999997
363.527	9.6	low	5.49900000000002
374.325	9.6	high	5.68400000000003
385.123	9.6	low	6.29900000000004
398.321	9.6	n/a	5.41199999999998
410.319	9.6	n/a	5.19499999999999
423.517	9.6	high	5.11399999999998
436.715	9.6	low	6.00300000000004
447.513	9.6	low	5.37400000000002
458.312	9.6	low	5.19399999999996
470.327	9.6	n/a	5.56299999999999
482.325	9.6	n/a	6.22300000000001
523.118	9.6	n/a	5.476
535.116	9.6	n/a	5.072
548.314	9.6	low	5.52100000000007
560.312	9.6	low	6.495
573.527	9.6	low	5.226
584.325	9.6	low	5.46799999999996
595.123	9.6	low	5.29899999999998
608.321	9.6	low	5.20799999999997
619.12	9.6	low	5.14199999999994
631.118	9.6	n/a	5.096
641.916	9.6	high	5.45499999999993
655.114	9.6	high	5.63699999999994
667.112	9.6	n/a	5.44200000000001
677.927	9.6	low	6.40199999999993
689.925	9.6	low	5.72500000000002
700.723	9.6	n/a	4.976
713.921	9.6	n/a	5.6149999999999
727.119	9.6	low	5.61900000000003
