onset	duration	trial_type	response_time
30.813	11.2	n/a	9.765
44.027	11.2	n/a	9.449
58.425	11.2	low	9.61
72.823	11.2	n/a	9.685
87.22	11.2	n/a	9.73699999999999
99.219	11.2	n/a	9.93400000000001
112.416	11.2	high	10.442
125.614	11.2	low	9.44499999999999
137.612	11.2	n/a	10.222
152.027	11.2	n/a	9.804
164.025	11.2	n/a	9.62799999999999
177.223	11.2	n/a	9.90699999999998
190.421	11.2	n/a	9.36700000000002
204.819	11.2	n/a	10.152
216.817	11.2	n/a	10.139
258.827	11.2	n/a	9.30599999999998
272.025	11.2	n/a	9.52700000000004
285.222	11.2	n/a	9.55799999999999
298.42	11.2	n/a	9.94499999999999
311.618	11.2	high	10.399
326.016	11.2	n/a	10.196
338.014	11.2	n/a	9.685
352.412	11.2	n/a	9.67500000000001
365.626	11.2	low	9.38500000000005
377.624	11.2	n/a	9.74599999999998
392.022	11.2	n/a	10.039
404.02	11.2	n/a	9.959
416.018	11.2	low	9.56200000000001
430.416	11.2	n/a	9.76100000000002
442.414	11.2	n/a	9.45699999999999
486.824	11.2	n/a	9.83499999999998
498.822	11.2	n/a	10.272
512.02	11.2	n/a	9.88599999999997
524.018	11.2	n/a	9.71199999999999
537.216	11.2	n/a	10.428
550.414	11.2	n/a	9.86300000000006
563.612	11.2	n/a	9.69200000000001
578.026	11.2	n/a	9.73400000000004
590.024	11.2	low	n/a
602.022	11.2	n/a	9.55799999999999
616.42	11.2	high	10.2190000000001
630.818	11.2	n/a	10.303
644.016	11.2	n/a	9.779
658.413	11.2	n/a	9.79599999999994
672.828	11.2	low	9.96600000000001
