onset	duration	trial_type	response_time	task_type	response_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.013	2.000	no response	n/a	practice a-b	no response	test	scene	object	face	1	73	73	273	125	2.000
6.512	2.000	no response	n/a	practice a-b	no response	restudy	face	scene	object	2	104	104	80	208	6.500
11.012	2.000	no response	n/a	practice a-b	no response	test	scene	face	object	3	37	37	261	37	11.000
15.511	2.000	no response	n/a	practice a-b	no response	test	face	object	scene	4	61	61	61	113	15.500
20.010	2.000	no response	n/a	practice a-b	no response	restudy	scene	face	object	5	40	40	264	40	20.000
24.509	2.000	no response	n/a	practice a-b	no response	test	face	scene	object	6	113	113	89	217	24.500
29.008	2.000	no response	n/a	practice a-b	no response	test	scene	object	face	7	95	95	295	147	29.000
33.508	2.000	no response	n/a	practice a-b	no response	test	face	scene	object	8	117	117	93	221	33.500
38.007	2.000	no response	n/a	practice a-b	no response	test	face	object	scene	9	55	55	55	107	38.000
42.523	2.000	incorrect	0.230	practice a-b	object	test	face	scene	object	10	111	111	87	215	42.500
47.022	2.000	incorrect	0.752	practice a-b	scene	test	scene	face	object	11	33	33	257	33	47.000
51.521	2.000	correct	0.516	practice a-b	face	test	scene	face	object	12	29	29	253	29	51.500
56.020	2.000	incorrect	0.551	practice a-b	face	test	object	scene	face	13	131	131	183	235	56.000
60.519	2.000	correct	0.568	practice a-b	scene	restudy	object	scene	face	14	138	138	190	242	60.500
65.019	2.000	correct	0.651	practice a-b	face	test	object	face	scene	15	9	9	157	9	65.000
69.518	2.000	incorrect	0.749	practice a-b	face	restudy	face	object	scene	16	64	64	64	116	69.500
74.017	2.000	no response	n/a	practice a-b	no response	restudy	face	scene	object	17	116	116	92	220	74.000
78.516	2.000	incorrect	0.675	practice a-b	face	restudy	face	scene	object	18	102	102	78	206	78.500
83.015	2.000	correct	0.821	practice a-b	scene	test	object	scene	face	19	143	143	195	247	83.000
87.514	2.000	correct	0.474	practice a-b	face	test	object	face	scene	20	3	3	151	3	87.500
92.014	2.000	incorrect	0.670	practice a-b	face	test	scene	object	face	21	83	83	283	135	92.000
96.513	2.000	correct	0.440	practice a-b	face	restudy	object	face	scene	22	22	22	170	22	96.500
101.012	2.000	incorrect	0.539	practice a-b	face	test	scene	object	face	23	87	87	287	139	101.000
105.511	2.000	correct	0.509	practice a-b	scene	test	object	scene	face	24	137	137	189	241	105.500
110.010	2.000	correct	0.418	practice a-b	face	restudy	scene	face	object	25	42	42	266	42	110.000
114.510	2.000	incorrect	0.676	practice a-b	face	restudy	face	object	scene	26	62	62	62	114	114.500
119.009	2.000	correct	0.296	practice a-b	face	test	scene	face	object	27	39	39	263	39	119.000
123.508	2.000	correct	0.682	practice a-b	scene	restudy	face	scene	object	28	114	114	90	218	123.500
128.007	2.000	incorrect	0.568	practice a-b	face	test	scene	object	face	29	89	89	289	141	128.000
132.523	2.000	correct	0.515	practice a-b	face	restudy	scene	face	object	30	48	48	272	48	132.500
137.022	2.000	correct	0.621	practice a-b	scene	test	face	scene	object	31	97	97	73	201	137.000
141.521	2.000	correct	0.514	practice a-b	face	restudy	scene	face	object	32	38	38	262	38	141.500
