onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
2.015	4.000	no response	n/a	learn a-b	test	scene	object	face	1	77	77	277	129	2.000
6.514	4.000	weak unrelated	3.144	learn a-b	test	object	face	scene	2	17	17	165	17	6.500
11.013	4.000	weak related	2.755	learn a-b	test	scene	face	object	3	33	33	257	33	11.000
15.513	4.000	no response	n/a	learn a-b	test	object	scene	face	4	141	141	193	245	15.500
20.012	4.000	weak related	0.535	learn a-b	restudy	object	face	scene	5	10	10	158	10	20.000
24.511	4.000	weak related	1.974	learn a-b	test	scene	face	object	6	37	37	261	37	24.500
29.010	4.000	strong related	1.283	learn a-b	restudy	face	object	scene	7	60	60	60	112	29.000
33.509	4.000	strong related	1.223	learn a-b	restudy	scene	face	object	8	44	44	268	44	33.500
38.009	4.000	strong related	1.587	learn a-b	test	face	scene	object	9	117	117	93	221	38.000
42.508	4.000	weak unrelated	2.134	learn a-b	restudy	scene	face	object	10	34	34	258	34	42.500
47.024	4.000	strong related	1.929	learn a-b	test	scene	object	face	11	89	89	289	141	47.000
51.523	4.000	weak related	3.321	learn a-b	test	object	face	scene	12	7	7	155	7	51.500
56.022	4.000	strong related	2.039	learn a-b	restudy	scene	object	face	13	86	86	286	138	56.000
60.521	4.000	weak related	3.152	learn a-b	restudy	object	scene	face	14	136	136	188	240	60.500
65.020	4.000	weak related	2.845	learn a-b	test	scene	face	object	15	29	29	253	29	65.000
69.520	4.000	strong related	1.266	learn a-b	restudy	scene	object	face	16	90	90	290	142	69.500
74.019	4.000	weak related	3.291	learn a-b	restudy	object	face	scene	17	24	24	172	24	74.000
78.518	4.000	weak related	2.664	learn a-b	test	object	face	scene	18	23	23	171	23	78.500
83.017	4.000	weak related	1.909	learn a-b	restudy	object	face	scene	19	22	22	170	22	83.000
87.516	4.000	weak related	1.833	learn a-b	restudy	object	face	scene	20	6	6	154	6	87.500
92.015	4.000	weak related	2.117	learn a-b	test	scene	face	object	21	25	25	249	25	92.000
96.515	4.000	weak related	2.570	learn a-b	restudy	object	scene	face	22	126	126	178	230	96.500
101.014	4.000	strong related	3.117	learn a-b	test	object	scene	face	23	137	137	189	241	101.000
105.513	4.000	weak related	2.260	learn a-b	test	object	scene	face	24	143	143	195	247	105.500
110.012	4.000	strong related	1.736	learn a-b	restudy	face	scene	object	25	114	114	90	218	110.000
114.511	4.000	weak related	2.444	learn a-b	test	object	scene	face	26	123	123	175	227	114.500
119.027	4.000	weak related	2.863	learn a-b	test	object	face	scene	27	9	9	157	9	119.000
123.510	4.000	weak unrelated	2.709	learn a-b	test	scene	object	face	28	85	85	285	137	123.500
128.009	4.000	strong related	2.192	learn a-b	restudy	face	scene	object	29	108	108	84	212	128.000
132.508	4.000	weak related	2.572	learn a-b	test	scene	face	object	30	41	41	265	41	132.500
137.024	4.000	weak unrelated	2.552	learn a-b	restudy	scene	object	face	31	88	88	288	140	137.000
141.523	4.000	strong related	1.245	learn a-b	restudy	face	scene	object	32	110	110	86	214	141.500
146.022	4.000	weak related	2.791	learn a-b	restudy	object	scene	face	33	132	132	184	236	146.000
150.521	4.000	strong related	1.868	learn a-b	test	face	object	scene	34	49	49	49	101	150.500
155.021	4.000	weak related	1.841	learn a-b	restudy	object	face	scene	35	18	18	166	18	155.000
159.520	4.000	weak related	1.925	learn a-b	restudy	object	face	scene	36	14	14	162	14	159.500
164.019	4.000	weak unrelated	2.057	learn a-b	restudy	scene	object	face	37	84	84	284	136	164.000
168.518	4.000	weak unrelated	2.812	learn a-b	test	scene	object	face	38	83	83	283	135	168.500
173.017	4.000	weak related	3.079	learn a-b	test	object	scene	face	39	125	125	177	229	173.000
177.516	4.000	strong related	2.476	learn a-b	restudy	object	scene	face	40	134	134	186	238	177.500
182.016	4.000	weak related	1.953	learn a-b	test	face	scene	object	41	111	111	87	215	182.000
186.515	4.000	weak related	3.196	learn a-b	restudy	object	face	scene	42	2	2	150	2	186.500
191.014	4.000	strong related	1.650	learn a-b	restudy	face	scene	object	43	120	120	96	224	191.000
195.513	4.000	strong related	1.486	learn a-b	test	object	scene	face	44	135	135	187	239	195.500
200.012	4.000	strong related	1.370	learn a-b	restudy	face	object	scene	45	66	66	66	118	200.000
204.511	4.000	strong related	1.503	learn a-b	restudy	scene	object	face	46	82	82	282	134	204.500
209.011	4.000	weak related	2.793	learn a-b	test	face	object	scene	47	51	51	51	103	209.000
213.510	4.000	strong related	1.198	learn a-b	test	scene	object	face	48	87	87	287	139	213.500
218.009	4.000	weak unrelated	2.289	learn a-b	test	object	face	scene	49	1	1	149	1	218.000
222.508	4.000	strong related	2.021	learn a-b	restudy	face	object	scene	50	68	68	68	120	222.500
227.007	4.000	weak related	2.106	learn a-b	test	face	scene	object	51	105	105	81	209	227.000
231.523	4.000	weak related	2.412	learn a-b	test	face	scene	object	52	113	113	89	217	231.500
236.022	4.000	weak related	2.782	learn a-b	restudy	object	scene	face	53	128	128	180	232	236.000
240.522	4.000	strong related	1.747	learn a-b	restudy	object	scene	face	54	144	144	196	248	240.500
245.021	4.000	strong related	2.214	learn a-b	restudy	scene	object	face	55	80	80	280	132	245.000
249.520	4.000	strong related	1.668	learn a-b	test	face	object	scene	56	55	55	55	107	249.500
254.019	4.000	strong related	2.086	learn a-b	restudy	object	scene	face	57	140	140	192	244	254.000
258.518	4.000	weak unrelated	2.378	learn a-b	test	scene	face	object	58	35	35	259	35	258.500
263.017	4.000	weak related	2.175	learn a-b	restudy	scene	face	object	59	42	42	266	42	263.000
267.517	4.000	strong related	1.389	learn a-b	restudy	scene	object	face	60	74	74	274	126	267.500
272.016	4.000	strong related	1.609	learn a-b	restudy	scene	face	object	61	38	38	262	38	272.000
276.515	4.000	weak related	2.044	learn a-b	test	object	face	scene	62	13	13	161	13	276.500
281.014	4.000	weak related	2.510	learn a-b	test	object	face	scene	63	3	3	151	3	281.000
285.513	4.000	weak related	2.052	learn a-b	test	scene	face	object	64	45	45	269	45	285.500
290.013	4.000	strong related	1.639	learn a-b	restudy	scene	object	face	65	96	96	296	148	290.000
294.512	4.000	weak related	2.451	learn a-b	test	face	scene	object	66	109	109	85	213	294.500
299.011	4.000	strong related	2.830	learn a-b	restudy	object	scene	face	67	124	124	176	228	299.000
303.510	4.000	strong related	1.460	learn a-b	restudy	face	scene	object	68	118	118	94	222	303.500
308.009	4.000	strong related	2.925	learn a-b	test	face	object	scene	69	67	67	67	119	308.000
312.508	4.000	strong related	1.915	learn a-b	test	object	scene	face	70	121	121	173	225	312.500
317.008	4.000	weak related	2.014	learn a-b	test	scene	object	face	71	95	95	295	147	317.000
321.507	4.000	strong related	1.793	learn a-b	test	object	face	scene	72	5	5	153	5	321.500
326.023	4.000	strong related	1.709	learn a-b	restudy	scene	object	face	73	76	76	276	128	326.000
330.522	4.000	weak related	3.184	learn a-b	test	face	object	scene	74	71	71	71	123	330.500
335.021	4.000	strong related	1.886	learn a-b	test	scene	object	face	75	81	81	281	133	335.000
339.520	4.000	strong related	1.579	learn a-b	test	scene	object	face	76	93	93	293	145	339.500
344.019	4.000	strong related	1.633	learn a-b	test	scene	face	object	77	31	31	255	31	344.000
348.518	4.000	weak related	2.196	learn a-b	test	face	object	scene	78	61	61	61	113	348.500
353.018	4.000	strong related	2.535	learn a-b	restudy	object	face	scene	79	20	20	168	20	353.000
357.517	4.000	weak related	2.381	learn a-b	test	face	scene	object	80	97	97	73	201	357.500
362.016	4.000	weak related	2.041	learn a-b	restudy	scene	face	object	81	46	46	270	46	362.000
366.515	4.000	weak related	2.700	learn a-b	restudy	object	face	scene	82	16	16	164	16	366.500
371.014	4.000	strong related	1.896	learn a-b	restudy	face	object	scene	83	72	72	72	124	371.000
375.514	4.000	weak related	2.817	learn a-b	restudy	scene	face	object	84	48	48	272	48	375.500
380.013	4.000	weak related	2.422	learn a-b	test	scene	face	object	85	47	47	271	47	380.000
384.512	4.000	strong related	2.403	learn a-b	test	object	face	scene	86	11	11	159	11	384.500
389.011	4.000	strong related	1.257	learn a-b	test	scene	object	face	87	91	91	291	143	389.000
393.510	4.000	weak related	2.165	learn a-b	restudy	face	scene	object	88	100	100	76	204	393.500
398.009	4.000	strong related	1.657	learn a-b	restudy	face	object	scene	89	64	64	64	116	398.000
402.509	4.000	strong related	2.027	learn a-b	restudy	face	scene	object	90	104	104	80	208	402.500
407.008	4.000	strong related	1.688	learn a-b	test	object	scene	face	91	139	139	191	243	407.000
411.507	4.000	strong related	1.349	learn a-b	test	face	scene	object	92	119	119	95	223	411.500
416.023	4.000	strong related	2.431	learn a-b	restudy	face	scene	object	93	102	102	78	206	416.000
420.522	4.000	strong related	1.356	learn a-b	test	face	object	scene	94	69	69	69	121	420.500
425.021	4.000	strong related	2.813	learn a-b	test	face	scene	object	95	115	115	91	219	425.000
429.520	4.000	weak related	2.465	learn a-b	restudy	scene	face	object	96	40	40	264	40	429.500
434.019	4.000	weak related	1.878	learn a-b	restudy	face	object	scene	97	54	54	54	106	434.000
438.519	4.000	strong related	1.700	learn a-b	restudy	face	object	scene	98	50	50	50	102	438.500
443.018	4.000	strong related	2.062	learn a-b	test	scene	object	face	99	75	75	275	127	443.000
447.517	4.000	weak unrelated	2.044	learn a-b	test	face	object	scene	100	53	53	53	105	447.500
452.016	4.000	strong related	1.744	learn a-b	test	face	object	scene	101	63	63	63	115	452.000
456.515	4.000	strong related	2.987	learn a-b	restudy	object	scene	face	102	138	138	190	242	456.500
461.014	4.000	strong related	2.058	learn a-b	test	face	object	scene	103	65	65	65	117	461.000
465.514	4.000	strong related	2.578	learn a-b	restudy	scene	face	object	104	30	30	254	30	465.500
470.013	4.000	strong related	2.994	learn a-b	test	object	face	scene	105	21	21	169	21	470.000
474.512	4.000	strong related	2.104	learn a-b	restudy	face	object	scene	106	62	62	62	114	474.500
479.011	4.000	strong related	2.779	learn a-b	test	face	object	scene	107	57	57	57	109	479.000
483.510	4.000	strong related	2.256	learn a-b	restudy	face	scene	object	108	112	112	88	216	483.500
488.010	4.000	strong related	2.180	learn a-b	restudy	scene	face	object	109	32	32	256	32	488.000
492.509	4.000	strong related	2.481	learn a-b	test	face	scene	object	110	103	103	79	207	492.500
497.008	4.000	strong related	2.221	learn a-b	test	face	scene	object	111	107	107	83	211	497.000
501.507	4.000	strong related	2.434	learn a-b	restudy	face	scene	object	112	106	106	82	210	501.500
506.023	4.000	weak related	2.086	learn a-b	restudy	object	face	scene	113	4	4	152	4	506.000
510.522	4.000	strong related	1.515	learn a-b	restudy	face	object	scene	114	70	70	70	122	510.500
515.021	4.000	strong related	1.640	learn a-b	restudy	scene	face	object	115	28	28	252	28	515.000
519.520	4.000	weak unrelated	1.941	learn a-b	restudy	face	object	scene	116	52	52	52	104	519.500
524.020	4.000	strong related	1.601	learn a-b	restudy	scene	object	face	117	92	92	292	144	524.000
528.519	4.000	strong related	2.156	learn a-b	restudy	object	scene	face	118	122	122	174	226	528.500
533.018	4.000	weak related	2.297	learn a-b	restudy	face	object	scene	119	56	56	56	108	533.000
537.517	4.000	weak unrelated	2.558	learn a-b	restudy	object	face	scene	120	12	12	160	12	537.500
542.016	4.000	strong related	1.899	learn a-b	restudy	scene	face	object	121	26	26	250	26	542.000
546.516	4.000	strong related	1.449	learn a-b	restudy	scene	face	object	122	36	36	260	36	546.500
551.015	4.000	strong related	3.340	learn a-b	restudy	object	face	scene	123	8	8	156	8	551.000
555.514	4.000	strong related	2.003	learn a-b	restudy	face	scene	object	124	116	116	92	220	555.500
560.013	4.000	weak unrelated	2.184	learn a-b	restudy	face	object	scene	125	58	58	58	110	560.000
564.512	4.000	strong related	1.899	learn a-b	test	object	scene	face	126	129	129	181	233	564.500
569.011	4.000	strong related	1.592	learn a-b	test	face	object	scene	127	59	59	59	111	569.000
573.510	4.000	strong related	2.051	learn a-b	restudy	object	scene	face	128	142	142	194	246	573.500
578.010	4.000	strong related	1.592	learn a-b	test	face	scene	object	129	99	99	75	203	578.000
582.509	4.000	strong related	1.987	learn a-b	test	scene	object	face	130	79	79	279	131	582.500
587.008	4.000	strong related	2.176	learn a-b	test	object	face	scene	131	19	19	167	19	587.000
591.507	4.000	strong related	2.834	learn a-b	test	scene	face	object	132	43	43	267	43	591.500
596.006	4.000	strong related	1.865	learn a-b	test	scene	object	face	133	73	73	273	125	596.000
600.522	4.000	strong related	1.420	learn a-b	restudy	object	scene	face	134	130	130	182	234	600.500
605.021	4.000	strong related	1.752	learn a-b	test	scene	face	object	135	27	27	251	27	605.000
609.521	4.000	strong related	2.730	learn a-b	test	scene	face	object	136	39	39	263	39	609.500
614.020	4.000	strong related	3.517	learn a-b	test	object	scene	face	137	127	127	179	231	614.000
618.519	4.000	weak related	3.170	learn a-b	restudy	scene	object	face	138	94	94	294	146	618.500
623.018	4.000	strong related	1.863	learn a-b	test	object	scene	face	139	131	131	183	235	623.000
627.517	4.000	strong related	3.137	learn a-b	restudy	face	scene	object	140	98	98	74	202	627.500
632.016	4.000	strong related	1.447	learn a-b	test	object	scene	face	141	133	133	185	237	632.000
636.516	4.000	strong related	2.776	learn a-b	test	object	face	scene	142	15	15	163	15	636.500
641.015	4.000	strong related	2.675	learn a-b	test	face	scene	object	143	101	101	77	205	641.000
645.514	4.000	strong related	2.008	learn a-b	restudy	scene	object	face	144	78	78	278	130	645.500
