onset	duration	trial_type	value
104.59545599999998	1.0	6	1.0
121.68396799999998	1.0	1	1.0
137.6256	1.0	5	1.0
148.75033599999998	1.0	3	1.0
16.400384	1.0	2	1.0
162.74227199999999	1.0	2	1.0
179.83078399999997	1.0	4	1.0
194.74022399999998	1.0	3	1.0
212.86092799999997	1.0	1	1.0
228.80255999999997	1.0	2	1.0
243.82668799999996	1.0	4	1.0
261.947392	1.0	6	1.0
274.907136	1.0	5	1.0
289.01375999999993	1.0	3	1.0
29.360127999999996	1.0	1	1.0
307.019776	1.0	1	1.0
322.96140799999995	1.0	4	1.0
338.10022399999997	1.0	2	1.0
352.09216	1.0	6	1.0
369.18067199999996	1.0	5	1.0
382.14041599999996	1.0	2	1.0
392.23295999999993	1.0	5	1.0
409.20678399999997	1.0	6	1.0
422.2812159999999	1.0	1	1.0
434.32345599999996	1.0	4	1.0
449.3475839999999	1.0	3	1.0
46.44863999999999	1.0	6	1.0
55.50899199999999	1.0	3	1.0
71.56531199999999	1.0	5	1.0
89.571328	1.0	4	1.0
