onset	duration	startTime	stopTime	eventIdentifier	trial_type	trial_number	block_number	is_practice	fixation_color	cue_side	aoi_correct	aoi_incorrect
0.153	2.0	1855529	1857570	ShowFixation	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
2.194	0.2	1857570	1857805	BlankScreen	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
2.429	1.0	1857805	1858845	ELCue	ANTI	1	1	True	red	460	[405 885 405 675]	[1035 1515  405  675]
3.887	2.0	1859263	1861874	ShowFixation	VGS	2	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
6.498	0.2	1861874	1862093	BlankScreen	VGS	2	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
6.717	1.0	1862093	1863116	ELCue	VGS	2	1	True	lime	40	[ 90 570 405 675]	[1350 1830  405  675]
8.161	2.0	1863537	1866162	ShowFixation	ANTI	3	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
10.786	0.2	1866162	1866397	BlankScreen	ANTI	3	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
11.021	1.0	1866397	1867437	ELCue	ANTI	3	1	True	red	600	[ 90 570 405 675]	[1350 1830  405  675]
12.475	6.0	1867851	1874466	ShowFixation	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
19.09	0.2	1874466	1874705	BlankScreen	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
19.329	1.0	1874705	1875745	ELCue	VGS	4	1	True	lime	600	[1350 1830  405  675]	[ 90 570 405 675]
20.789	2.0	1876165	1878774	ShowFixation	VGS	5	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
23.398	0.2	1878774	1878992	BlankScreen	VGS	5	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
23.617	1.0	1878993	1880016	ELCue	VGS	5	1	True	lime	180	[405 885 405 675]	[1035 1515  405  675]
25.063	2.0	1880439	1883062	ShowFixation	ANTI	6	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
27.686	0.2	1883062	1883297	BlankScreen	ANTI	6	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
27.921	1.0	1883297	1884337	ELCue	ANTI	6	1	True	red	40	[1350 1830  405  675]	[ 90 570 405 675]
