onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
189.032	0.001	189033	Stimulus	S  2
189.435	0.001	189436	Stimulus	S  2
189.844	0.001	189845	Stimulus	S  2
190.248	0.001	190249	Stimulus	S  2
190.656	0.001	190657	Stimulus	S  2
191.065	0.001	191066	Stimulus	S  2
191.472	0.001	191473	Stimulus	S  2
191.881	0.001	191882	Stimulus	S  2
192.291	0.001	192292	Stimulus	S  2
192.695	0.001	192696	Stimulus	S  2
193.104	0.001	193105	Stimulus	S  2
193.513	0.001	193514	Stimulus	S  2
193.923	0.001	193924	Stimulus	S  2
194.327	0.001	194328	Stimulus	S  2
194.734	0.001	194735	Stimulus	S  2
195.144	0.001	195145	Stimulus	S  2
195.549	0.001	195550	Stimulus	S  2
195.958	0.001	195959	Stimulus	S  2
196.367	0.001	196368	Stimulus	S  2
196.776	0.001	196777	Stimulus	S  2
197.182	0.001	197183	Stimulus	S  2
197.591	0.001	197592	Stimulus	S  2
197.999	0.001	198000	Stimulus	S  2
198.408	0.001	198409	Stimulus	S  2
198.825	0.001	198826	Stimulus	S 22
200.99	0.001	200991	Stimulus	S 42
201.308	0.001	201309	Stimulus	S 62
201.76	0.001	201761	Stimulus	S 82
202.312	0.001	202313	Stimulus	S122
202.461	0.001	202462	Stimulus	S102
203.089	0.001	203090	Stimulus	S 62
203.595	0.001	203596	Stimulus	S102
203.991	0.001	203992	Stimulus	S 82
204.452	0.001	204453	Stimulus	S 82
205.016	0.001	205017	Stimulus	S122
205.923	0.001	205924	Stimulus	S102
206.352	0.001	206353	Stimulus	S102
206.787	0.001	206788	Stimulus	S 82
207.22	0.001	207221	Stimulus	S122
208.397	0.001	208398	Stimulus	S 82
208.881	0.001	208882	Stimulus	S102
209.333	0.001	209334	Stimulus	S 82
209.785	0.001	209786	Stimulus	S 82
210.196	0.001	210197	Stimulus	S 82
210.542	0.001	210543	Stimulus	S 82
211.033	0.001	211034	Stimulus	S 62
211.425	0.001	211426	Stimulus	S122
211.972	0.001	211973	Stimulus	S122
213.026	0.001	213027	Stimulus	S122
213.535	0.001	213536	Stimulus	S102
213.987	0.001	213988	Stimulus	S102
214.742	0.001	214743	Stimulus	S122
215.738	0.001	215739	Stimulus	S102
216.26	0.001	216261	Stimulus	S102
216.749	0.001	216750	Stimulus	S102
217.246	0.001	217247	Stimulus	S 82
217.672	0.001	217673	Stimulus	S 82
218.252	0.001	218253	Stimulus	S 82
218.825	0.001	218826	Stimulus	S122
219.699	0.001	219700	Stimulus	S102
220.173	0.001	220174	Stimulus	S102
220.641	0.001	220642	Stimulus	S 82
221.11	0.001	221111	Stimulus	S122
221.699	0.001	221700	Stimulus	S122
222.516	0.001	222517	Stimulus	S122
223.12	0.001	223121	Stimulus	S102
223.571	0.001	223572	Stimulus	S102
224.046	0.001	224047	Stimulus	S122
224.496	0.001	224497	Stimulus	S122
225.131	0.001	225132	Stimulus	S 82
225.559	0.001	225560	Stimulus	S102
226.136	0.001	226137	Stimulus	S 82
226.691	0.001	226692	Stimulus	S102
227.239	0.001	227240	Stimulus	S102
228.354	0.001	228355	Stimulus	S102
228.796	0.001	228797	Stimulus	S102
229.28	0.001	229281	Stimulus	S 82
229.779	0.001	229780	Stimulus	S 82
230.313	0.001	230314	Stimulus	S122
230.773	0.001	230774	Stimulus	S122
231.253	0.001	231254	Stimulus	S 82
231.786	0.001	231787	Stimulus	S 82
232.231	0.001	232232	Stimulus	S102
232.754	0.001	232755	Stimulus	S122
233.508	0.001	233509	Stimulus	S102
234.039	0.001	234040	Stimulus	S102
234.548	0.001	234549	Stimulus	S102
235.35	0.001	235351	Stimulus	S 82
235.826	0.001	235827	Stimulus	S102
236.318	0.001	236319	Stimulus	S 82
236.919	0.001	236920	Stimulus	S 82
237.419	0.001	237420	Stimulus	S102
237.934	0.001	237935	Stimulus	S 82
238.475	0.001	238476	Stimulus	S102
239.702	0.001	239703	Stimulus	S122
240.235	0.001	240236	Stimulus	S122
240.736	0.001	240737	Stimulus	S102
248.014	0.001	248015	Stimulus	S  3
248.424	0.001	248425	Stimulus	S  3
248.833	0.001	248834	Stimulus	S  3
249.239	0.001	249240	Stimulus	S  3
249.642	0.001	249643	Stimulus	S  3
250.052	0.001	250053	Stimulus	S  3
250.46	0.001	250461	Stimulus	S  3
250.869	0.001	250870	Stimulus	S  3
251.276	0.001	251277	Stimulus	S  3
251.685	0.001	251686	Stimulus	S  3
252.089	0.001	252090	Stimulus	S  3
252.496	0.001	252497	Stimulus	S  3
252.906	0.001	252907	Stimulus	S  3
253.317	0.001	253318	Stimulus	S  3
253.727	0.001	253728	Stimulus	S  3
254.137	0.001	254138	Stimulus	S  3
254.541	0.001	254542	Stimulus	S  3
254.945	0.001	254946	Stimulus	S  3
255.354	0.001	255355	Stimulus	S  3
255.757	0.001	255758	Stimulus	S  3
256.163	0.001	256164	Stimulus	S  3
256.571	0.001	256572	Stimulus	S  3
256.976	0.001	256977	Stimulus	S  3
257.379	0.001	257380	Stimulus	S  3
257.779	0.001	257780	Stimulus	S 23
259.368	0.001	259369	Stimulus	S 83
259.757	0.001	259758	Stimulus	S103
260.107	0.001	260108	Stimulus	S 83
260.579	0.001	260580	Stimulus	S 83
260.984	0.001	260985	Stimulus	S 83
261.42	0.001	261421	Stimulus	S 83
261.853	0.001	261854	Stimulus	S 83
262.274	0.001	262275	Stimulus	S123
263.031	0.001	263032	Stimulus	S 83
263.579	0.001	263580	Stimulus	S123
264.023	0.001	264024	Stimulus	S123
264.506	0.001	264507	Stimulus	S 83
264.982	0.001	264983	Stimulus	S103
265.344	0.001	265345	Stimulus	S103
265.784	0.001	265785	Stimulus	S 83
266.266	0.001	266267	Stimulus	S 83
266.709	0.001	266710	Stimulus	S103
267.143	0.001	267144	Stimulus	S 83
267.618	0.001	267619	Stimulus	S 83
268.037	0.001	268038	Stimulus	S123
268.623	0.001	268624	Stimulus	S 83
269.083	0.001	269084	Stimulus	S123
269.657	0.001	269658	Stimulus	S123
269.737	0.001	269738	Stimulus	S103
270.253	0.001	270254	Stimulus	S 63
271.187	0.001	271188	Stimulus	S103
271.863	0.001	271864	Stimulus	S103
272.354	0.001	272355	Stimulus	S103
272.797	0.001	272798	Stimulus	S 83
273.232	0.001	273233	Stimulus	S 83
273.645	0.001	273646	Stimulus	S 83
274.202	0.001	274203	Stimulus	S123
274.636	0.001	274637	Stimulus	S103
275.088	0.001	275089	Stimulus	S123
275.516	0.001	275517	Stimulus	S 83
275.944	0.001	275945	Stimulus	S 83
276.409	0.001	276410	Stimulus	S 83
276.844	0.001	276845	Stimulus	S103
277.304	0.001	277305	Stimulus	S 83
277.771	0.001	277772	Stimulus	S103
278.2	0.001	278201	Stimulus	S103
278.641	0.001	278642	Stimulus	S 83
279.102	0.001	279103	Stimulus	S 83
279.55	0.001	279551	Stimulus	S103
280.03	0.001	280031	Stimulus	S123
280.496	0.001	280497	Stimulus	S123
281.002	0.001	281003	Stimulus	S103
281.474	0.001	281475	Stimulus	S103
281.926	0.001	281927	Stimulus	S 83
282.386	0.001	282387	Stimulus	S123
282.828	0.001	282829	Stimulus	S103
283.281	0.001	283282	Stimulus	S123
283.662	0.001	283663	Stimulus	S 83
284.16	0.001	284161	Stimulus	S 83
284.597	0.001	284598	Stimulus	S103
285.025	0.001	285026	Stimulus	S 83
285.419	0.001	285420	Stimulus	S 83
285.901	0.001	285902	Stimulus	S123
286.375	0.001	286376	Stimulus	S123
286.799	0.001	286800	Stimulus	S123
287.301	0.001	287302	Stimulus	S 83
287.764	0.001	287765	Stimulus	S103
288.233	0.001	288234	Stimulus	S103
288.706	0.001	288707	Stimulus	S103
289.126	0.001	289127	Stimulus	S103
289.619	0.001	289620	Stimulus	S 83
290.06	0.001	290061	Stimulus	S103
290.534	0.001	290535	Stimulus	S 83
290.98	0.001	290981	Stimulus	S123
291.429	0.001	291430	Stimulus	S123
291.88	0.001	291881	Stimulus	S 83
293.06	0.001	293061	Stimulus	S103
298.96	0.001	298961	Stimulus	S  5
299.561	0.001	299562	Stimulus	S  5
300.173	0.001	300174	Stimulus	S  5
300.783	0.001	300784	Stimulus	S  5
301.388	0.001	301389	Stimulus	S  5
301.997	0.001	301998	Stimulus	S  5
302.607	0.001	302608	Stimulus	S  5
303.211	0.001	303212	Stimulus	S  5
303.818	0.001	303819	Stimulus	S  5
304.421	0.001	304422	Stimulus	S  5
305.025	0.001	305026	Stimulus	S  5
305.635	0.001	305636	Stimulus	S  5
306.238	0.001	306239	Stimulus	S  5
306.848	0.001	306849	Stimulus	S  5
307.455	0.001	307456	Stimulus	S  5
308.063	0.001	308064	Stimulus	S  5
308.666	0.001	308667	Stimulus	S  5
309.269	0.001	309270	Stimulus	S  5
309.877	0.001	309878	Stimulus	S  5
