onset	duration	nback_display	trial_type	response	response_time	correct_response	correct	stim_file
163.022	1	3	0	3	0.329	3	1	3_0.gif
164.024	1	4	0	4	0.238	4	1	4_0.gif
165.024	1	1	0	1	0.248	1	1	1_0.gif
166.024	1	4	0	4	0.33	4	1	4_0.gif
167.026	1	2	0	2	0.372	2	1	2_0.gif
168.026	1	4	0	4	0.506	4	1	4_0.gif
169.026	1	2	0	2	0.311	2	1	2_0.gif
170.026	1	3	0	3	0.394	3	1	3_0.gif
171.028	1	1	0	1	0.298	1	1	1_0.gif
172.028	1	2	0	2	0.31	2	1	2_0.gif
173.028	1	1	0	1	0.4	1	1	1_0.gif
174.028	1	4	0	4	0.395	4	1	4_0.gif
175.028	1	3	0	3	0.37	3	1	3_0.gif
176.028	1	2	2	6	0	4	n/a	2_2.gif
177.028	1	1	2	2	0.93	3	0	1_2.gif
178.028	1	4	2	2	0.015	2	1	4_2.gif
179.028	1	1	2	1	0.106	1	1	1_2.gif
180.028	1	4	2	4	0.144	4	1	4_2.gif
181.028	1	3	2	1	0.083	1	1	3_2.gif
182.028	1	4	2	3	0.04	4	0	4_2.gif
183.028	1	2	2	4	0.099	3	0	2_2.gif
184.028	1	4	2	2	0.2	4	0	4_2.gif
185.028	1	3	2	4	0.015	2	0	3_2.gif
186.028	1	4	2	2	0.017	4	0	4_2.gif
187.028	1	1	2	3	0.121	3	1	1_2.gif
188.028	1	2	2	4	0.063	4	1	2_2.gif
189.028	1	4	2	1	0.015	1	1	4_2.gif
190.028	1	3	2	2	0.016	2	1	3_2.gif
191.028	1	1	2	4	0.015	4	1	1_2.gif
192.03	1	2	0	3	0.082	2	0	2_0.gif
193.03	1	1	0	2	0.017	1	0	1_0.gif
194.03	1	4	0	4	0.372	4	1	4_0.gif
195.03	1	1	0	1	0.346	1	1	1_0.gif
196.03	1	2	0	2	0.403	2	1	2_0.gif
197.03	1	1	0	1	0.384	1	1	1_0.gif
198.03	1	2	0	2	0.375	2	1	2_0.gif
199.03	1	3	0	3	0.473	3	1	3_0.gif
200.03	1	4	0	4	0.424	4	1	4_0.gif
201.03	1	1	0	1	0.291	1	1	1_0.gif
202.03	1	3	0	4	0.214	3	0	3_0.gif
203.03	1	1	0	1	0.393	1	1	1_0.gif
204.03	1	3	0	3	0.32	3	1	3_0.gif
205.03	1	4	0	4	0.407	4	1	4_0.gif
206.03	1	2	0	2	0.304	2	1	2_0.gif
207.03	1	1	0	1	0.399	1	1	1_0.gif
208.031	1	2	2	6	0	2	n/a	2_2.gif
209.031	1	3	2	6	0	1	n/a	3_2.gif
210.031	1	4	2	2	0.123	2	1	4_2.gif
211.031	1	3	2	3	0.095	3	1	3_2.gif
212.031	1	4	2	4	0.015	4	1	4_2.gif
213.031	1	3	2	3	0.035	3	1	3_2.gif
214.031	1	1	2	4	0.147	4	1	1_2.gif
215.031	1	4	2	3	0.315	3	1	4_2.gif
216.031	1	2	2	1	0.015	1	1	2_2.gif
217.031	1	4	2	4	0.015	4	1	4_2.gif
218.031	1	1	2	2	0.016	2	1	1_2.gif
219.031	1	2	2	4	0.015	4	1	2_2.gif
220.031	1	4	2	1	0.015	1	1	4_2.gif
221.031	1	3	2	2	0.018	2	1	3_2.gif
222.031	1	2	2	4	0.014	4	1	2_2.gif
223.031	1	4	2	3	0.175	3	1	4_2.gif
224.032	1	2	0	4	0.136	2	0	2_0.gif
225.032	1	1	0	2	0.151	1	0	1_0.gif
226.032	1	4	0	1	0.015	4	0	4_0.gif
227.032	1	1	0	1	0.329	1	1	1_0.gif
228.032	1	3	0	3	0.361	3	1	3_0.gif
229.032	1	4	0	4	0.393	4	1	4_0.gif
230.032	1	3	0	3	0.396	3	1	3_0.gif
231.032	1	2	0	2	0.334	2	1	2_0.gif
232.032	1	4	0	4	0.393	4	1	4_0.gif
233.032	1	2	0	2	0.347	2	1	2_0.gif
234.032	1	3	0	3	0.35	3	1	3_0.gif
235.032	1	1	0	1	0.325	1	1	1_0.gif
236.032	1	4	0	4	0.258	4	1	4_0.gif
237.032	1	2	0	2	0.292	2	1	2_0.gif
238.032	1	3	0	3	0.324	3	1	3_0.gif
239.032	1	1	0	1	0.465	1	1	1_0.gif
240.033	1	2	2	6	0	3	n/a	2_2.gif
241.033	1	1	2	2	0.98	1	0	1_2.gif
242.033	1	4	2	2	0.015	2	1	4_2.gif
243.033	1	2	2	1	0.044	1	1	2_2.gif
244.033	1	4	2	4	0.126	4	1	4_2.gif
245.033	1	2	2	2	0.054	2	1	2_2.gif
246.033	1	4	2	4	0.067	4	1	4_2.gif
247.033	1	2	2	2	0.226	2	1	2_2.gif
248.033	1	1	2	4	0.238	4	1	1_2.gif
249.033	1	2	2	2	0.087	2	1	2_2.gif
250.033	1	1	2	1	0.014	1	1	1_2.gif
251.033	1	2	2	2	0.026	2	1	2_2.gif
252.033	1	1	2	1	0.017	1	1	1_2.gif
253.033	1	3	2	2	0.015	2	1	3_2.gif
254.033	1	2	2	1	0.017	1	1	2_2.gif
255.033	1	3	2	3	0.015	3	1	3_2.gif
