participant_id	sample
sub-orig01	original
sub-orig02	original
sub-orig03	original
sub-orig04	original
sub-orig05	original
sub-rep01	replication
sub-rep02	replication
sub-rep03	replication
sub-rep04	replication
sub-rep05	replication
sub-rep06	replication
