onset	duration	run_number	trial_number	task_condition	fix_direction
3341.47912	2.6000006	6	1	2	1
3344.079121	2.6000026	6	2	2	2
3346.679123	2.6000041	6	3	2	3
3349.279127	2.6000009	6	4	2	4
3351.879128	2.600001	6	5	2	5
3354.479129	2.6000011	6	6	2	10
3357.07913	2.6000023	6	7	2	9
3359.679133	2.6000033	6	8	2	8
3362.279136	2.6000033	6	9	2	7
3364.879139	2.6000034	6	10	2	6
3367.479143	2.6000009	6	11	2	11
3370.079144	2.6000011	6	12	2	12
3372.679145	2.6000028	6	13	2	13
3375.279147	2.6000025	6	14	2	14
3377.87915	2.6000038	6	15	2	15
3380.479154	2.6000019	6	16	2	20
3383.079156	2.6000003	6	17	2	19
3385.679156	2.6000006	6	18	2	18
3388.279157	2.6000042	6	19	2	17
3390.879161	2.6000014	6	20	2	16
3393.479162	2.6000018	6	21	2	21
3396.079164	2.6000114	6	22	2	22
3398.679175	2.6000013	6	23	2	23
3401.279177	2.6000014	6	24	2	24
3403.879178	2.6000026	6	25	2	25
3406.479181	2.6000035	6	26	2	24
3409.079184	2.6000011	6	27	2	23
3411.679185	2.600003	6	28	2	22
3414.279188	2.6000031	6	29	2	21
3416.879191	2.600002	6	30	2	16
3419.479193	2.6000016	6	31	2	17
3422.079195	2.6000012	6	32	2	18
3424.679196	2.6000022	6	33	2	19
3427.279198	2.6000039	6	34	2	20
3429.879202	2.6000028	6	35	2	15
3432.479205	2.6000025	6	36	2	14
3435.079207	2.600004	6	37	2	13
3437.679211	2.6000016	6	38	2	12
3440.279213	2.600002	6	39	2	11
3442.879215	2.6000038	6	40	2	6
3445.479219	2.6000014	6	41	2	7
3448.07922	2.600003	6	42	2	8
3450.679223	2.6000025	6	43	2	9
3453.279226	2.600003	6	44	2	10
3455.879229	2.6000024	6	45	2	5
3458.479231	2.6000024	6	46	2	4
3461.079234	2.6000034	6	47	2	3
3463.679237	2.6000023	6	48	2	2
3466.279239	2.6000026	6	49	2	1
3468.879242	2.6000042	6	50	2	2
3471.479246	2.6000013	6	51	2	3
3474.079247	2.6000026	6	52	2	4
3476.67925	2.6000005	6	53	2	5
3479.279251	2.600004	6	54	2	10
3481.879255	2.6000033	6	55	2	9
3484.479258	2.6000041	6	56	2	8
3487.079262	2.6000006	6	57	2	7
3489.679262	2.6000023	6	58	2	6
3492.279265	2.6000023	6	59	2	11
3494.879267	2.6000018	6	60	2	12
3497.479269	2.6000022	6	61	2	13
3500.079271	2.6000032	6	62	2	14
3502.679274	2.6000036	6	63	2	15
3505.279278	2.6000009	6	64	2	20
3507.879279	2.600004	6	65	2	19
3510.479283	2.6000004	6	66	2	18
3513.079283	2.6000011	6	67	2	17
3515.679284	2.6000029	6	68	2	16
3518.279287	2.6000002	6	69	2	21
3520.879287	2.6000012	6	70	2	22
3523.479289	2.6000012	6	71	2	23
3526.07929	2.6000013	6	72	2	24
3528.679291	2.6000006	6	73	2	25
3531.279292	2.6000021	6	74	2	24
3533.879294	2.6000033	6	75	2	23
3536.479297	2.6000024	6	76	2	22
3539.0793	2.6000019	6	77	2	21
3541.679301	2.6000019	6	78	2	16
3544.279303	2.6000034	6	79	2	17
3546.879307	2.6000024	6	80	2	18
3549.479309	2.6000013	6	81	2	19
3552.07931	2.6000016	6	82	2	20
3554.679312	2.6000039	6	83	2	15
3557.279316	2.6000014	6	84	2	14
3559.879317	2.6000008	6	85	2	13
3562.479318	2.6000022	6	86	2	12
3565.07932	2.6000015	6	87	2	11
3567.679322	2.6000018	6	88	2	6
3570.279324	2.6000027	6	89	2	7
3572.879326	2.6000022	6	90	2	8
3575.479329	2.6000025	6	91	2	9
3578.079331	2.6000024	6	92	2	10
3580.679333	2.6000019	6	93	2	5
3583.279335	2.6000006	6	94	2	4
3585.879336	2.6000016	6	95	2	3
3588.479337	2.6000011	6	96	2	2
3591.079339	2.6000027	6	97	2	1
