onset	duration	run_number	trial_number	task_condition	fix_direction
2287.140658	2.6000002	3	1	3	1
2289.740658	2.6000037	3	2	3	6
2292.340661	2.600002	3	3	3	11
2294.940664	2.6000038	3	4	3	16
2297.540667	2.6000019	3	5	3	21
2300.140669	2.6000037	3	6	3	22
2302.740673	2.6000034	3	7	3	17
2305.340676	2.6000028	3	8	3	12
2307.940679	2.600002	3	9	3	7
2310.540681	2.6000039	3	10	3	2
2313.140685	2.6000004	3	11	3	3
2315.740685	2.6000006	3	12	3	8
2318.340686	2.6000035	3	13	3	13
2320.94069	2.6000004	3	14	3	18
2323.54069	2.600003	3	15	3	23
2326.140693	2.6000001	3	16	3	24
2328.740693	2.6000034	3	17	3	19
2331.340696	2.6000031	3	18	3	14
2333.940699	2.6000014	3	19	3	9
2336.540701	2.6000008	3	20	3	4
2339.140702	2.6000011	3	21	3	5
2341.740703	2.6	3	22	3	10
2344.340703	2.6000016	3	23	3	15
2346.940704	2.6000044	3	24	3	20
2349.540709	2.600002	3	25	3	25
2352.140711	2.6000036	3	26	3	20
2354.740714	2.6000022	3	27	3	15
2357.340717	2.6000015	3	28	3	10
2359.940718	2.600002	3	29	3	5
2362.54072	2.6000012	3	30	3	4
2365.140721	2.6000005	3	31	3	9
2367.740722	2.6000033	3	32	3	14
2370.340725	2.600003	3	33	3	19
2372.940728	2.6000033	3	34	3	24
2375.540731	2.6000017	3	35	3	23
2378.140733	2.600004	3	36	3	18
2380.740737	2.6000029	3	37	3	13
2383.34074	2.6000005	3	38	3	8
2385.940741	2.600004	3	39	3	3
2388.540745	2.6000021	3	40	3	2
2391.140747	2.6000019	3	41	3	7
2393.740748	2.6000024	3	42	3	12
2396.340751	2.6000001	3	43	3	17
2398.940751	2.6000038	3	44	3	22
2401.540755	2.6000031	3	45	3	21
2404.140758	2.6000036	3	46	3	16
2406.740762	2.6000012	3	47	3	11
2409.340763	2.6000044	3	48	3	6
2411.940767	2.6000033	3	49	3	1
2414.54077	2.6000009	3	50	3	6
2417.140771	2.6000005	3	51	3	11
2419.740772	2.6000041	3	52	3	16
2422.340776	2.6000041	3	53	3	21
2424.94078	2.600001	3	54	3	22
2427.540781	2.6000025	3	55	3	17
2430.140783	2.6000037	3	56	3	12
2432.740787	2.6000092	3	57	3	7
2435.340796	2.6000019	3	58	3	2
2437.940798	2.6000017	3	59	3	3
2440.5408	2.6000044	3	60	3	8
2443.140804	2.6000013	3	61	3	13
2445.740806	2.6000028	3	62	3	18
2448.340809	2.6000026	3	63	3	23
2450.940811	2.6000042	3	64	3	24
2453.540815	2.6000002	3	65	3	19
2456.140815	2.6000004	3	66	3	14
2458.740816	2.6000009	3	67	3	9
2461.340817	2.600003	3	68	3	4
2463.94082	2.6000031	3	69	3	5
2466.540823	2.6000012	3	70	3	10
2469.140824	2.6000039	3	71	3	15
2471.740828	2.6000013	3	72	3	20
2474.340829	2.6000002	3	73	3	25
2476.940829	2.6000039	3	74	3	20
2479.540833	2.6000001	3	75	3	15
2482.140834	2.6000003	3	76	3	10
2484.740834	2.6000036	3	77	3	5
2487.340837	2.600001	3	78	3	4
2489.940838	2.6000026	3	79	3	9
2492.540841	2.6000002	3	80	3	14
2495.140841	2.6000036	3	81	3	19
2497.740845	2.6000015	3	82	3	24
2500.340846	2.6000034	3	83	3	23
2502.94085	2.6000006	3	84	3	18
2505.54085	2.6000029	3	85	3	13
2508.140853	2.6000021	3	86	3	8
2510.740855	2.6000019	3	87	3	3
2513.340857	2.6000014	3	88	3	2
2515.940859	2.6000038	3	89	3	7
2518.540862	2.6000037	3	90	3	12
2521.140866	2.6000001	3	91	3	17
2523.740866	2.6000028	3	92	3	22
2526.340869	2.6000033	3	93	3	21
2528.940872	2.600003	3	94	3	16
2531.540875	2.6000023	3	95	3	11
2534.140878	2.6000044	3	96	3	6
2536.740882	2.6000033	3	97	3	1
