onset	duration	run_number	trial_number	task_condition	fix_direction
4368.521726	2.600001	9	1	3	1
4371.121727	2.6000021	9	2	3	6
4373.721729	2.6000032	9	3	3	11
4376.321732	2.6000025	9	4	3	16
4378.921734	2.6000008	9	5	3	21
4381.521735	2.6000034	9	6	3	22
4384.121739	2.6000003	9	7	3	17
4386.721739	2.6000023	9	8	3	12
4389.321741	2.6000003	9	9	3	7
4391.921742	2.6000012	9	10	3	2
4394.521743	2.6000012	9	11	3	3
4397.121744	2.6000025	9	12	3	8
4399.721746	2.6000069	9	13	3	13
4402.321753	2.6000007	9	14	3	18
4404.921754	2.6000013	9	15	3	23
4407.521755	2.600002	9	16	3	24
4410.121757	2.6000035	9	17	3	19
4412.721761	2.6000001	9	18	3	14
4415.321761	2.6000034	9	19	3	9
4417.921764	2.6000019	9	20	3	4
4420.521766	2.6000006	9	21	3	5
4423.121767	2.6000032	9	22	3	10
4425.72177	2.6000037	9	23	3	15
4428.321774	2.6000033	9	24	3	20
4430.921777	2.6000003	9	25	3	25
4433.521777	2.6000033	9	26	3	20
4436.121781	2.6000035	9	27	3	15
4438.721784	2.6000035	9	28	3	10
4441.321788	2.6000008	9	29	3	5
4443.921788	2.6000002	9	30	3	4
4446.521789	2.6000031	9	31	3	9
4449.121792	2.6000012	9	32	3	14
4451.721793	2.6000034	9	33	3	19
4454.321796	2.6000028	9	34	3	24
4456.921799	2.6	9	35	3	23
4459.521799	2.6000033	9	36	3	18
4462.121802	2.6000004	9	37	3	13
4464.721803	2.6000038	9	38	3	8
4467.321807	2.6000027	9	39	3	3
4469.921809	2.6000013	9	40	3	2
4472.521811	2.6000037	9	41	3	7
4475.121814	2.6000005	9	42	3	12
4477.721815	2.6000039	9	43	3	17
4480.321819	2.6000152	9	44	3	22
4482.921834	2.6000014	9	45	3	21
4485.521835	2.6000016	9	46	3	16
4488.121837	2.600004	9	47	3	11
4490.721841	2.6000006	9	48	3	6
4493.321842	2.6000031	9	49	3	1
4495.921845	2.6000001	9	50	3	6
4498.521845	2.6000012	9	51	3	11
4501.121846	2.6000006	9	52	3	16
4503.721846	2.6000031	9	53	3	21
4506.32185	2.6000034	9	54	3	22
4508.921853	2.6000014	9	55	3	17
4511.521854	2.6000009	9	56	3	12
4514.121855	2.6000015	9	57	3	7
4516.721857	2.6000032	9	58	3	2
4519.32186	2.600003	9	59	3	3
4521.921863	2.6000012	9	60	3	8
4524.521864	2.6000022	9	61	3	13
4527.121866	2.6000027	9	62	3	18
4529.721869	2.6000018	9	63	3	23
4532.321871	2.6000036	9	64	3	24
4534.921874	2.6000036	9	65	3	19
4537.521878	2.6000029	9	66	3	14
4540.121881	2.6000033	9	67	3	9
4542.721884	2.6000034	9	68	3	4
4545.321888	2.6000036	9	69	3	5
4547.921891	2.6000013	9	70	3	10
4550.521893	2.6000023	9	71	3	15
4553.121895	2.6000031	9	72	3	20
4555.721898	2.6000009	9	73	3	25
4558.321899	2.6	9	74	3	20
4560.921899	2.6000007	9	75	3	15
4563.5219	2.6000018	9	76	3	10
4566.121901	2.6000031	9	77	3	5
4568.721905	2.6000024	9	78	3	4
4571.321907	2.6000018	9	79	3	9
4573.921909	2.6000022	9	80	3	14
4576.521911	2.6000001	9	81	3	19
4579.121911	2.6000005	9	82	3	24
4581.721911	2.6000027	9	83	3	23
4584.321914	2.6000034	9	84	3	18
4586.921918	2.6000016	9	85	3	13
4589.521919	2.6000009	9	86	3	8
4592.12192	2.600001	9	87	3	3
4594.721921	2.6000024	9	88	3	2
4597.321923	2.6000037	9	89	3	7
4599.921927	2.6000002	9	90	3	12
4602.521927	2.6000039	9	91	3	17
4605.121931	2.600003	9	92	3	22
4607.721934	2.6000032	9	93	3	21
4610.321937	2.6000007	9	94	3	16
4612.921938	2.6000027	9	95	3	11
4615.521941	2.6000003	9	96	3	6
4618.121941	2.6000014	9	97	3	1
