onset	duration	run_number	trial_number	task_condition	fix_direction
3679.538782	2.6000004	7	1	3	1
3682.138782	2.6000007	7	2	3	6
3684.738783	2.6000043	7	3	3	11
3687.338787	2.6000012	7	4	3	16
3689.938788	2.6000038	7	5	3	21
3692.538792	2.6000002	7	6	3	22
3695.138792	2.6000012	7	7	3	17
3697.738794	2.600002	7	8	3	12
3700.338795	2.6000036	7	9	3	7
3702.938799	2.6000028	7	10	3	2
3705.538802	2.6000024	7	11	3	3
3708.138804	2.6000075	7	12	3	8
3710.738812	2.6000006	7	13	3	13
3713.338812	2.6000015	7	14	3	18
3715.938814	2.6000025	7	15	3	23
3718.538816	2.6000012	7	16	3	24
3721.138818	2.6000012	7	17	3	19
3723.738819	2.6000035	7	18	3	14
3726.338822	2.6000035	7	19	3	9
3728.938826	2.6000017	7	20	3	4
3731.538828	2.6000031	7	21	3	5
3734.138831	2.6000034	7	22	3	10
3736.738834	2.6000018	7	23	3	15
3739.338836	2.6000026	7	24	3	20
3741.938838	2.6000045	7	25	3	25
3744.538843	2.6000011	7	26	3	20
3747.138844	2.6000001	7	27	3	15
3749.738844	2.6000039	7	28	3	10
3752.338848	2.6000031	7	29	3	5
3754.938851	2.6000007	7	30	3	4
3757.538852	2.6000023	7	31	3	9
3760.138854	2.6000023	7	32	3	14
3762.738856	2.6000005	7	33	3	19
3765.338857	2.6000041	7	34	3	24
3767.938861	2.6000023	7	35	3	23
3770.538863	2.600002	7	36	3	18
3773.138865	2.6000001	7	37	3	13
3775.738865	2.6000028	7	38	3	8
3778.338868	2.600002	7	39	3	3
3780.93887	2.6000023	7	40	3	2
3783.538872	2.6000023	7	41	3	7
3786.138875	2.6000006	7	42	3	12
3788.738875	2.6000011	7	43	3	17
3791.338876	2.6000031	7	44	3	22
3793.93888	2.6000035	7	45	3	21
3796.538883	2.6000005	7	46	3	16
3799.138884	2.6000038	7	47	3	11
3801.738887	2.6000037	7	48	3	6
3804.338891	2.6000016	7	49	3	1
3806.938893	2.6000001	7	50	3	6
3809.538893	2.6000013	7	51	3	11
3812.138894	2.6000024	7	52	3	16
3814.738897	2.6000001	7	53	3	21
3817.338897	2.6000039	7	54	3	22
3819.9389	2.6000006	7	55	3	17
3822.538901	2.6000015	7	56	3	12
3825.138903	2.6000039	7	57	3	7
3827.738907	2.6000028	7	58	3	2
3830.338909	2.6000003	7	59	3	3
3832.93891	2.6000011	7	60	3	8
3835.538911	2.6000016	7	61	3	13
3838.138912	2.6000038	7	62	3	18
3840.738916	2.600003	7	63	3	23
3843.338919	2.6000011	7	64	3	24
3845.93892	2.6000008	7	65	3	19
3848.538921	2.6000034	7	66	3	14
3851.138924	2.6000043	7	67	3	9
3853.738929	2.6000043	7	68	3	4
3856.338933	2.6000022	7	69	3	5
3858.938935	2.6000009	7	70	3	10
3861.538936	2.600003	7	71	3	15
3864.138939	2.6000026	7	72	3	20
3866.738942	2.6000023	7	73	3	25
3869.338944	2.6000028	7	74	3	20
3871.938947	2.6000038	7	75	3	15
3874.538951	2.6000036	7	76	3	10
3877.138954	2.6000028	7	77	3	5
3879.738957	2.6000011	7	78	3	4
3882.338958	2.6000035	7	79	3	9
3884.938962	2.6000041	7	80	3	14
3887.538966	2.6000013	7	81	3	19
3890.138967	2.6000042	7	82	3	24
3892.738971	2.6000065	7	83	3	23
3895.338978	2.600004	7	84	3	18
3897.938982	2.6000023	7	85	3	13
3900.538984	2.6000015	7	86	3	8
3903.138986	2.6000037	7	87	3	3
3905.738989	2.6000019	7	88	3	2
3908.338991	2.6000004	7	89	3	7
3910.938992	2.6000002	7	90	3	12
3913.538992	2.6000016	7	91	3	17
3916.138993	2.6000017	7	92	3	22
3918.738995	2.6000029	7	93	3	21
3921.338998	2.6000029	7	94	3	16
3923.939001	2.6000036	7	95	3	11
3926.539004	2.6000011	7	96	3	6
3929.139006	2.6000009	7	97	3	1
