onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
18.5120029680	n/a	n/a	wait	n/a	n/a	DI23	n/a	-39
18.7159950218	n/a	n/a	wait	n/a	n/a	DI19	n/a	-38
19.6759978614	n/a	n/a	wait	n/a	n/a	DI31	n/a	-37
20.8400028131	n/a	n/a	wait	n/a	n/a	DI29	n/a	-36
21.7799997262	n/a	n/a	wait	n/a	n/a	DI23	n/a	-35
22.8319956294	n/a	n/a	wait	n/a	n/a	DI27	n/a	-34
23.8919979266	n/a	n/a	wait	n/a	n/a	DI26	n/a	-33
25.3560012511	n/a	n/a	wait	n/a	n/a	DI37	n/a	-32
26.0679969869	n/a	n/a	wait	n/a	n/a	DI23	n/a	-31
27.1159997514	n/a	n/a	wait	n/a	n/a	DI17	n/a	-30
28.0480003289	n/a	n/a	wait	n/a	n/a	DI37	n/a	-29
29.2039988867	n/a	n/a	wait	n/a	n/a	DI22	n/a	-28
30.1400026611	n/a	n/a	wait	n/a	n/a	DI28	n/a	-27
31.3039975545	n/a	n/a	wait	n/a	n/a	DI24	n/a	-26
32.4680025063	n/a	n/a	wait	n/a	n/a	DI21	n/a	-25
33.4039962224	n/a	n/a	wait	n/a	n/a	DI30	n/a	-24
34.3879981271	n/a	n/a	relax	n/a	n/a	DI88	n/a	-23
35.5400035462	n/a	n/a	relax	n/a	n/a	DI96	n/a	-22
36.6999952427	n/a	n/a	relax	n/a	n/a	DI94	n/a	-21
37.6439953527	n/a	n/a	relax	n/a	n/a	DI92	n/a	-20
38.6120045862	n/a	n/a	getready	n/a	n/a	D154	n/a	1
39.7680031440	n/a	n/a	getready	n/a	n/a	D155	n/a	2
40.7000037215	n/a	n/a	getready	n/a	n/a	D164	n/a	3
41.9720044664	n/a	n/a	getready	n/a	n/a	D139	n/a	4
42.7959991924	n/a	n/a	getready	n/a	n/a	D151	n/a	5
43.8759973577	n/a	n/a	getready	n/a	n/a	D156	n/a	6
45.0719977102	n/a	n/a	concentrate	n/a	n/a	D220	n/a	7
46.1159972779	n/a	n/a	concentrate	n/a	n/a	D219	n/a	8
47.0479978553	n/a	n/a	concentrate	n/a	n/a	D219	n/a	9
48.2039964131	n/a	n/a	concentrate	n/a	n/a	D217	n/a	10
49.1440033845	n/a	n/a	concentrate	n/a	n/a	D217	n/a	11
50.3000019423	n/a	n/a	concentrate	n/a	n/a	D223	n/a	12
51.2479951910	n/a	n/a	concentrate	n/a	n/a	D221	n/a	13
52.4000006101	n/a	n/a	concentrate	n/a	n/a	D222	n/a	14
53.3399975232	n/a	n/a	concentrate	n/a	n/a	D211	n/a	15
54.4920029423	n/a	n/a	concentrate	n/a	n/a	D210	n/a	16
55.5439988456	n/a	n/a	concentrate	n/a	n/a	D218	n/a	17
56.7080037973	n/a	n/a	concentrate	n/a	n/a	D229	n/a	18
57.5480012528	n/a	n/a	concentrate	n/a	n/a	D222	n/a	19
58.6999966136	n/a	n/a	concentrate	n/a	n/a	D219	n/a	20
59.6400035850	n/a	n/a	concentrate	n/a	n/a	D221	n/a	21
60.7799994133	n/a	n/a	relax	n/a	n/a	DI84	n/a	22
61.8479980460	n/a	n/a	relax	n/a	n/a	DI89	n/a	23
62.9080003432	n/a	n/a	relax	n/a	n/a	DI92	n/a	24
64.0719952366	n/a	n/a	relax	n/a	n/a	DI94	n/a	25
65.1120016656	n/a	n/a	relax	n/a	n/a	DI85	n/a	26
66.0639981112	n/a	n/a	relax	n/a	n/a	DI85	n/a	27
67.1160040728	n/a	n/a	relax	n/a	n/a	D100	n/a	28
68.0639973215	n/a	n/a	relax	n/a	n/a	DI85	n/a	29
69.2280022732	n/a	n/a	relax	n/a	n/a	DI89	n/a	30
70.2200005136	n/a	n/a	getready	n/a	n/a	D153	n/a	1
71.3719958744	n/a	n/a	getready	n/a	n/a	D160	n/a	2
72.3039964519	n/a	n/a	getready	n/a	n/a	D153	n/a	3
73.4920004687	n/a	n/a	getready	n/a	n/a	D156	n/a	4
74.4240010462	n/a	n/a	getready	n/a	n/a	D142	n/a	5
75.5840028009	n/a	n/a	getready	n/a	n/a	D152	n/a	6
76.5479987792	n/a	n/a	concentrate	n/a	n/a	D221	n/a	7
77.7039973370	n/a	n/a	concentrate	n/a	n/a	D209	n/a	8
78.6400011114	n/a	n/a	concentrate	n/a	n/a	D217	n/a	9
79.7919964722	n/a	n/a	concentrate	n/a	n/a	D210	n/a	10
80.7479961149	n/a	n/a	concentrate	n/a	n/a	D212	n/a	11
81.8240011415	n/a	n/a	concentrate	n/a	n/a	D216	n/a	12
82.8840034387	n/a	n/a	concentrate	n/a	n/a	D226	n/a	13
83.9520020715	n/a	n/a	concentrate	n/a	n/a	D218	n/a	14
85.1159969649	n/a	n/a	concentrate	n/a	n/a	D217	n/a	15
86.0479975424	n/a	n/a	concentrate	n/a	n/a	D209	n/a	16
87.2079992971	n/a	n/a	concentrate	n/a	n/a	D223	n/a	17
88.1399998746	n/a	n/a	concentrate	n/a	n/a	D220	n/a	18
89.2919952354	n/a	n/a	concentrate	n/a	n/a	D214	n/a	19
90.3360048614	n/a	n/a	concentrate	n/a	n/a	D224	n/a	20
91.2760017744	n/a	n/a	concentrate	n/a	n/a	D228	n/a	21
92.4399966679	n/a	n/a	relax	n/a	n/a	DI88	n/a	22
93.3839967779	n/a	n/a	relax	n/a	n/a	DI89	n/a	23
94.5399953357	n/a	n/a	relax	n/a	n/a	DI99	n/a	24
95.4879986427	n/a	n/a	relax	n/a	n/a	DI98	n/a	25
96.6400040618	n/a	n/a	relax	n/a	n/a	DI94	n/a	26
97.6040000401	n/a	n/a	relax	n/a	n/a	DI95	n/a	27
98.7640017948	n/a	n/a	relax	n/a	n/a	DI90	n/a	28
99.7080019048	n/a	n/a	relax	n/a	n/a	DI88	n/a	29
100.8640004627	n/a	n/a	relax	n/a	n/a	DI93	n/a	30
101.8519955060	n/a	n/a	getready	n/a	n/a	D159	n/a	1
102.9200041971	n/a	n/a	getready	n/a	n/a	D153	n/a	2
104.0839990906	n/a	n/a	getready	n/a	n/a	D159	n/a	3
105.0479950688	n/a	n/a	getready	n/a	n/a	D149	n/a	4
106.2040036849	n/a	n/a	getready	n/a	n/a	D150	n/a	5
107.1399974010	n/a	n/a	getready	n/a	n/a	D150	n/a	6
108.1119997731	n/a	n/a	concentrate	n/a	n/a	D206	n/a	7
109.2760047249	n/a	n/a	concentrate	n/a	n/a	D212	n/a	8
110.4320032827	n/a	n/a	concentrate	n/a	n/a	D211	n/a	9
111.3679969988	n/a	n/a	concentrate	n/a	n/a	D217	n/a	10
112.5239955566	n/a	n/a	concentrate	n/a	n/a	D216	n/a	11
113.5719983212	n/a	n/a	concentrate	n/a	n/a	D226	n/a	12
114.5200016282	n/a	n/a	concentrate	n/a	n/a	D219	n/a	13
115.6719969890	n/a	n/a	concentrate	n/a	n/a	D216	n/a	14
116.6120039604	n/a	n/a	concentrate	n/a	n/a	D212	n/a	15
117.7560029856	n/a	n/a	concentrate	n/a	n/a	D212	n/a	16
118.6959998987	n/a	n/a	concentrate	n/a	n/a	D222	n/a	17
119.8519984565	n/a	n/a	concentrate	n/a	n/a	D224	n/a	18
120.8280040256	n/a	n/a	concentrate	n/a	n/a	D228	n/a	19
121.8879962645	n/a	n/a	concentrate	n/a	n/a	D211	n/a	20
123.0520012162	n/a	n/a	concentrate	n/a	n/a	D216	n/a	21
123.9159977368	n/a	n/a	relax	n/a	n/a	DI84	n/a	22
125.0839958272	n/a	n/a	relax	n/a	n/a	DI91	n/a	23
126.0279959372	n/a	n/a	relax	n/a	n/a	DI90	n/a	24
127.1879976920	n/a	n/a	relax	n/a	n/a	DI86	n/a	25
128.3400031111	n/a	n/a	relax	n/a	n/a	DI86	n/a	26
129.3080022863	n/a	n/a	relax	n/a	n/a	DI82	n/a	27
130.3520018539	n/a	n/a	relax	n/a	n/a	DI87	n/a	28
131.2879955701	n/a	n/a	relax	n/a	n/a	DI94	n/a	29
132.4440041862	n/a	n/a	relax	n/a	n/a	DI94	n/a	30
133.4120033613	n/a	n/a	getready	n/a	n/a	D155	n/a	1
134.5680019192	n/a	n/a	getready	n/a	n/a	D154	n/a	2
135.7160041413	n/a	n/a	getready	n/a	n/a	D149	n/a	3
136.5759974650	n/a	n/a	getready	n/a	n/a	D159	n/a	4
