onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-01	ses-1	1	1.0	SmallReward	1.0	No Response Detected	You did not earn $0.20!	n/a	0.03	2.0	2.03	2.0	228.9835376554015	4.306983537655404	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	2.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	6.023	2.0	8.023	2.0	228.9835376554015	10.299983537655404	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	3.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	12.034	2.0	14.034	2.0	228.9835376554015	16.310983537655403	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	4.0	LgPun	1.0	No Response Detected	You lose $5!	n/a	18.027	2.0	20.027	2.0	228.9835376554015	22.303983537655405	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	5.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	24.02	2.0	26.02	2.0	228.9835376554015	28.296983537655404	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.031	2.0	32.031	2.0	228.9835376554015	34.3079835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	7.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	36.024	2.0	38.024	2.0	228.9835376554015	40.3009835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	8.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	42.034	2.0	44.034	2.0	228.9835376554015	46.3109835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	9.0	LgPun	1.0	No Response Detected	You lose $5!	n/a	48.028	2.0	50.028	2.0	228.9835376554015	52.3049835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	10.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	54.038	2.0	56.038	2.0	228.9835376554015	58.314983537655394	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	11.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	60.031	2.0	62.031	2.0	228.9835376554015	64.3079835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	12.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	66.025	2.0	68.025	2.0	228.9835376554015	70.3019835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	13.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	72.035	2.0	74.035	2.0	228.9835376554015	76.3119835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	14.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	78.028	2.0	80.028	2.0	228.9835376554015	82.3049835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	15.0	LgReward	1.0	No Response Detected	You did not earn $5!	n/a	84.038	2.0	86.038	2.0	228.9835376554015	88.3149835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	16.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	90.032	2.0	92.032	2.0	228.9835376554015	94.3089835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	17.0	SmallPun	1.0	No Response Detected	You lose $0.20!	n/a	96.025	2.0	98.025	2.0	228.9835376554015	100.30198353765542	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	18.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	102.035	2.0	104.035	2.0	228.9835376554015	106.3119835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	19.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	108.029	2.0	110.029	2.0	228.9835376554015	112.3059835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	20.0	SmallReward	1.0	No Response Detected	You did not earn $0.20!	n/a	114.022	2.0	116.022	2.0	228.9835376554015	118.29898353765542	1.6877699274198728
