onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
40.6424	64	Stimulus/S  4	4	406424	0	0	0	1
40.6734	64	Stimulus/S  4	4	406734	0	0	0	1
40.7044	64	Stimulus/S  4	4	407044	0	0	0	1
40.7354	64	Stimulus/S  4	4	407354	0	0	0	1
40.7664	64	Stimulus/S  4	4	407664	0	0	0	1
40.7974	64	Stimulus/S  4	4	407974	0	0	0	1
40.8284	64	Stimulus/S  4	4	408284	0	0	0	1
40.8594	64	Stimulus/S  4	4	408594	0	0	0	1
40.9018	64	Stimulus/S  1	1	409018	0	0	0	1
132.8431	64	Stimulus/S  4	4	1328431	1	0	1	1
132.8741	64	Stimulus/S  4	4	1328741	1	0	1	1
132.9051	64	Stimulus/S  4	4	1329051	1	0	1	1
132.936	64	Stimulus/S  4	4	1329360	1	0	1	1
132.967	64	Stimulus/S  4	4	1329670	1	0	1	1
132.9981	64	Stimulus/S  8	8	1329981	1	0	1	1
133.0291	64	Stimulus/S  4	4	1330291	1	0	1	1
133.0601	64	Stimulus/S  8	8	1330601	1	0	1	1
133.1183	64	Stimulus/S  1	1	1331183	1	0	1	1
224.3342	64	Stimulus/S  4	4	2243342	0	1	1	1
224.3652	64	Stimulus/S  4	4	2243652	0	1	1	1
224.3962	64	Stimulus/S  4	4	2243962	0	1	1	1
224.4272	64	Stimulus/S  4	4	2244272	0	1	1	1
224.4582	64	Stimulus/S  4	4	2244582	0	1	1	1
224.4892	64	Stimulus/S  4	4	2244892	0	1	1	1
224.5202	64	Stimulus/S  8	8	2245202	0	1	1	1
224.5512	64	Stimulus/S  8	8	2245512	0	1	1	1
224.6015	64	Stimulus/S  1	1	2246015	0	1	1	1
307.0482	64	Stimulus/S  4	4	3070482	1	1	0	1
307.0792	64	Stimulus/S  4	4	3070792	1	1	0	1
307.1102	64	Stimulus/S  4	4	3071102	1	1	0	1
307.1412	64	Stimulus/S  4	4	3071412	1	1	0	1
307.1722	64	Stimulus/S  4	4	3071722	1	1	0	1
307.2032	64	Stimulus/S  8	8	3072032	1	1	0	1
307.2342	64	Stimulus/S  8	8	3072342	1	1	0	1
307.2652	64	Stimulus/S  4	4	3072652	1	1	0	1
307.318	64	Stimulus/S  1	1	3073180	1	1	0	1
429.1777	64	Stimulus/S  4	4	4291777	2	1	0	1
429.2087	64	Stimulus/S  4	4	4292087	2	1	0	1
429.2397	64	Stimulus/S  4	4	4292397	2	1	0	1
429.2707	64	Stimulus/S  4	4	4292707	2	1	0	1
429.3017	64	Stimulus/S  8	8	4293017	2	1	0	1
429.3327	64	Stimulus/S  4	4	4293327	2	1	0	1
429.3637	64	Stimulus/S  8	8	4293637	2	1	0	1
429.3947	64	Stimulus/S  4	4	4293947	2	1	0	1
429.4511	64	Stimulus/S  1	1	4294511	2	1	0	1
523.4086	64	Stimulus/S  4	4	5234086	3	1	1	1
523.4396	64	Stimulus/S  4	4	5234396	3	1	1	1
523.4706	64	Stimulus/S  4	4	5234706	3	1	1	1
523.5016	64	Stimulus/S  4	4	5235016	3	1	1	1
523.5326	64	Stimulus/S  8	8	5235326	3	1	1	1
523.5636	64	Stimulus/S  8	8	5235636	3	1	1	1
523.5946	64	Stimulus/S  8	8	5235946	3	1	1	1
523.6256	64	Stimulus/S  8	8	5236256	3	1	1	1
523.6676	64	Stimulus/S  1	1	5236676	3	1	1	1
614.4861	64	Stimulus/S  4	4	6144861	2	0	1	1
614.5171	64	Stimulus/S  4	4	6145171	2	0	1	1
614.5481	64	Stimulus/S  4	4	6145481	2	0	1	1
614.5791	64	Stimulus/S  4	4	6145791	2	0	1	1
614.6101	64	Stimulus/S  8	8	6146101	2	0	1	1
614.6411	64	Stimulus/S  4	4	6146411	2	0	1	1
614.6721	64	Stimulus/S  4	4	6146721	2	0	1	1
614.7031	64	Stimulus/S  8	8	6147031	2	0	1	1
614.7507	64	Stimulus/S  1	1	6147507	2	0	1	1
699.7124	64	Stimulus/S  4	4	6997124	3	0	0	1
699.7433	64	Stimulus/S  4	4	6997433	3	0	0	1
699.7743	64	Stimulus/S  4	4	6997743	3	0	0	1
