onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
40.642	64	Stimulus/S  4	4	20321	0	0	0	1
40.672	64	Stimulus/S  4	4	20336	0	0	0	1
40.704	64	Stimulus/S  4	4	20352	0	0	0	1
40.734	64	Stimulus/S  4	4	20367	0	0	0	1
40.766	64	Stimulus/S  4	4	20383	0	0	0	1
40.796	64	Stimulus/S  4	4	20398	0	0	0	1
40.828	64	Stimulus/S  4	4	20414	0	0	0	1
40.858	64	Stimulus/S  4	4	20429	0	0	0	1
40.902	64	Stimulus/S  1	1	20451	0	0	0	1
132.842	64	Stimulus/S  4	4	66421	1	0	1	1
132.874	64	Stimulus/S  4	4	66437	1	0	1	1
132.904	64	Stimulus/S  4	4	66452	1	0	1	1
132.936	64	Stimulus/S  4	4	66468	1	0	1	1
132.966	64	Stimulus/S  4	4	66483	1	0	1	1
132.998	64	Stimulus/S  8	8	66499	1	0	1	1
133.028	64	Stimulus/S  4	4	66514	1	0	1	1
133.06	64	Stimulus/S  8	8	66530	1	0	1	1
133.118	64	Stimulus/S  1	1	66559	1	0	1	1
224.334	64	Stimulus/S  4	4	112167	0	1	1	1
224.364	64	Stimulus/S  4	4	112182	0	1	1	1
224.396	64	Stimulus/S  4	4	112198	0	1	1	1
224.426	64	Stimulus/S  4	4	112213	0	1	1	1
224.458	64	Stimulus/S  4	4	112229	0	1	1	1
224.488	64	Stimulus/S  4	4	112244	0	1	1	1
224.52	64	Stimulus/S  8	8	112260	0	1	1	1
224.55	64	Stimulus/S  8	8	112275	0	1	1	1
224.6	64	Stimulus/S  1	1	112300	0	1	1	1
307.048	64	Stimulus/S  4	4	153524	1	1	0	1
307.078	64	Stimulus/S  4	4	153539	1	1	0	1
307.11	64	Stimulus/S  4	4	153555	1	1	0	1
307.14	64	Stimulus/S  4	4	153570	1	1	0	1
307.172	64	Stimulus/S  4	4	153586	1	1	0	1
307.202	64	Stimulus/S  8	8	153601	1	1	0	1
307.234	64	Stimulus/S  8	8	153617	1	1	0	1
307.264	64	Stimulus/S  4	4	153632	1	1	0	1
307.318	64	Stimulus/S  1	1	153659	1	1	0	1
429.178	64	Stimulus/S  4	4	214589	2	1	0	1
429.208	64	Stimulus/S  4	4	214604	2	1	0	1
429.24	64	Stimulus/S  4	4	214620	2	1	0	1
429.27	64	Stimulus/S  4	4	214635	2	1	0	1
429.302	64	Stimulus/S  8	8	214651	2	1	0	1
429.332	64	Stimulus/S  4	4	214666	2	1	0	1
429.364	64	Stimulus/S  8	8	214682	2	1	0	1
429.394	64	Stimulus/S  4	4	214697	2	1	0	1
429.45	64	Stimulus/S  1	1	214725	2	1	0	1
523.408	64	Stimulus/S  4	4	261704	3	1	1	1
523.44	64	Stimulus/S  4	4	261720	3	1	1	1
523.47	64	Stimulus/S  4	4	261735	3	1	1	1
523.502	64	Stimulus/S  4	4	261751	3	1	1	1
523.532	64	Stimulus/S  8	8	261766	3	1	1	1
523.564	64	Stimulus/S  8	8	261782	3	1	1	1
523.594	64	Stimulus/S  8	8	261797	3	1	1	1
523.626	64	Stimulus/S  8	8	261813	3	1	1	1
523.668	64	Stimulus/S  1	1	261834	3	1	1	1
614.486	64	Stimulus/S  4	4	307243	2	0	1	1
614.516	64	Stimulus/S  4	4	307258	2	0	1	1
614.548	64	Stimulus/S  4	4	307274	2	0	1	1
614.578	64	Stimulus/S  4	4	307289	2	0	1	1
614.61	64	Stimulus/S  8	8	307305	2	0	1	1
614.64	64	Stimulus/S  4	4	307320	2	0	1	1
614.672	64	Stimulus/S  4	4	307336	2	0	1	1
614.702	64	Stimulus/S  8	8	307351	2	0	1	1
614.75	64	Stimulus/S  1	1	307375	2	0	1	1
699.712	64	Stimulus/S  4	4	349856	3	0	0	1
