participant_id	devices_used	n_sessions	n_tasks
sub-P1	DSI-24; DSI-Flex	9	87
sub-P2	DSI-24; DSI-Flex	10	103
sub-P3	DSI-24	9	85
sub-P4	DSI-24	6	61
sub-P5	DSI-24	6	56
