onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.343	0	L108	2	1	STIM_LOGO
3.343	5	L108	2	1	RETENTION_LOGO
8.343	0	L108	NaN	NaN	VERBALRESP_LOGO
12.777	0	L108	NaN	NaN	KEYRESP_LOGO
15.359	0	L246	2	1	STIM_LOGO
16.359	5	L246	2	1	RETENTION_LOGO
21.359	0	L246	NaN	NaN	VERBALRESP_LOGO
25.768	0	L246	NaN	NaN	KEYRESP_LOGO
27.376	0	L431	0	1	STIM_LOGO
28.376	5	L431	0	1	RETENTION_LOGO
33.376	0	L431	NaN	NaN	VERBALRESP_LOGO
37.216	0	L431	NaN	NaN	KEYRESP_LOGO
43.393	0	L250	0	1	STIM_LOGO
44.393	5	L250	0	1	RETENTION_LOGO
49.393	0	L250	NaN	NaN	VERBALRESP_LOGO
53.34	0	L250	NaN	NaN	KEYRESP_LOGO
55.409	0	L156	0	1	STIM_LOGO
56.409	5	L156	0	1	RETENTION_LOGO
61.409	0	L156	NaN	NaN	VERBALRESP_LOGO
65.319	0	L156	NaN	NaN	KEYRESP_LOGO
69.426	0	L305	0	1	STIM_LOGO
70.426	5	L305	0	1	RETENTION_LOGO
75.426	0	L305	NaN	NaN	VERBALRESP_LOGO
79.081	0	L305	NaN	NaN	KEYRESP_LOGO
84.442	0	L124	0	1	STIM_LOGO
85.442	5	L124	0	1	RETENTION_LOGO
90.442	0	L124	NaN	NaN	VERBALRESP_LOGO
94.58	0	L124	NaN	NaN	KEYRESP_LOGO
99.459	0	L87	1	2	STIM_LOGO
100.459	5	L87	1	2	RETENTION_LOGO
105.459	0	L87	NaN	NaN	VERBALRESP_LOGO
109.451	0	L87	NaN	NaN	KEYRESP_LOGO
116.476	0	L193	0	1	STIM_LOGO
117.476	5	L193	0	1	RETENTION_LOGO
122.476	0	L193	NaN	NaN	VERBALRESP_LOGO
126.728	0	L193	NaN	NaN	KEYRESP_LOGO
134.492	0	L234	0	1	STIM_LOGO
135.492	5	L234	0	1	RETENTION_LOGO
140.492	0	L234	NaN	NaN	VERBALRESP_LOGO
144.434	0	L234	NaN	NaN	KEYRESP_LOGO
146.509	0	L45	0	1	STIM_LOGO
147.509	5	L45	0	1	RETENTION_LOGO
152.509	0	L45	NaN	NaN	VERBALRESP_LOGO
157.307	0	L45	NaN	NaN	KEYRESP_LOGO
163.525	0	L79	1	0	STIM_LOGO
164.525	5	L79	1	0	RETENTION_LOGO
169.525	0	L79	NaN	NaN	VERBALRESP_LOGO
176.625	0	L334	0	1	STIM_LOGO
177.625	5	L334	0	1	RETENTION_LOGO
182.625	0	L334	NaN	NaN	VERBALRESP_LOGO
186.355	0	L334	NaN	NaN	KEYRESP_LOGO
192.625	0	L380	1	1	STIM_LOGO
193.625	5	L380	1	1	RETENTION_LOGO
198.625	0	L380	NaN	NaN	VERBALRESP_LOGO
202.512	0	L380	NaN	NaN	KEYRESP_LOGO
206.642	0	L339	0	1	STIM_LOGO
207.642	5	L339	0	1	RETENTION_LOGO
212.642	0	L339	NaN	NaN	VERBALRESP_LOGO
216.549	0	L339	NaN	NaN	KEYRESP_LOGO
218.658	0	L191	0	1	STIM_LOGO
219.658	5	L191	0	1	RETENTION_LOGO
224.658	0	L191	NaN	NaN	VERBALRESP_LOGO
228.355	0	L191	NaN	NaN	KEYRESP_LOGO
232.675	0	L282	0	1	STIM_LOGO
233.675	5	L282	0	1	RETENTION_LOGO
238.675	0	L282	NaN	NaN	VERBALRESP_LOGO
242.511	0	L282	NaN	NaN	KEYRESP_LOGO
247.692	0	L185	0	1	STIM_LOGO
248.692	5	L185	0	1	RETENTION_LOGO
253.692	0	L185	NaN	NaN	VERBALRESP_LOGO
258.161	0	L185	NaN	NaN	KEYRESP_LOGO
260.708	0	L25	0	1	STIM_LOGO
261.708	5	L25	0	1	RETENTION_LOGO
266.708	0	L25	NaN	NaN	VERBALRESP_LOGO
270.91	0	L25	NaN	NaN	KEYRESP_LOGO
276.725	0	L407	0	1	STIM_LOGO
277.725	5	L407	0	1	RETENTION_LOGO
282.725	0	L407	NaN	NaN	VERBALRESP_LOGO
286.37	0	L407	NaN	NaN	KEYRESP_LOGO
289.741	0	L322	0	1	STIM_LOGO
290.741	5	L322	0	1	RETENTION_LOGO
295.741	0	L322	NaN	NaN	VERBALRESP_LOGO
299.654	0	L322	NaN	NaN	KEYRESP_LOGO
