onset	duration	stim_filename	verbal_resp	key_resp	event_type
2.349	0	L220	2	1	STIM_LOGO
3.349	5	L220	2	1	RETENTION_LOGO
8.349	0	L220	NaN	NaN	VERBALRESP_LOGO
13.264	0	L220	NaN	NaN	KEYRESP_LOGO
15.599	0	L365	2	1	STIM_LOGO
16.599	5	L365	2	1	RETENTION_LOGO
21.599	0	L365	NaN	NaN	VERBALRESP_LOGO
25.535	0	L365	NaN	NaN	KEYRESP_LOGO
30.599	0	L7	0	1	STIM_LOGO
31.599	5	L7	0	1	RETENTION_LOGO
36.599	0	L7	NaN	NaN	VERBALRESP_LOGO
40.985	0	L7	NaN	NaN	KEYRESP_LOGO
42.615	0	L221	1	1	STIM_LOGO
43.615	5	L221	1	1	RETENTION_LOGO
48.615	0	L221	NaN	NaN	VERBALRESP_LOGO
52.767	0	L221	NaN	NaN	KEYRESP_LOGO
54.632	0	L328	0	1	STIM_LOGO
55.632	5	L328	0	1	RETENTION_LOGO
60.632	0	L328	NaN	NaN	VERBALRESP_LOGO
64.727	0	L328	NaN	NaN	KEYRESP_LOGO
67.648	0	L33	1	1	STIM_LOGO
68.648	5	L33	1	1	RETENTION_LOGO
73.648	0	L33	NaN	NaN	VERBALRESP_LOGO
77.592	0	L33	NaN	NaN	KEYRESP_LOGO
83.665	0	L158	0	1	STIM_LOGO
84.665	5	L158	0	1	RETENTION_LOGO
89.665	0	L158	NaN	NaN	VERBALRESP_LOGO
93.71	0	L158	NaN	NaN	KEYRESP_LOGO
95.682	0	L74	0	2	STIM_LOGO
96.682	5	L74	0	2	RETENTION_LOGO
101.682	0	L74	NaN	NaN	VERBALRESP_LOGO
105.441	0	L74	NaN	NaN	KEYRESP_LOGO
107.682	0	L194	0	1	STIM_LOGO
108.682	5	L194	0	1	RETENTION_LOGO
113.682	0	L194	NaN	NaN	VERBALRESP_LOGO
117.658	0	L194	NaN	NaN	KEYRESP_LOGO
121.681	0	L22	0	1	STIM_LOGO
122.681	5	L22	0	1	RETENTION_LOGO
127.681	0	L22	NaN	NaN	VERBALRESP_LOGO
131.202	0	L22	NaN	NaN	KEYRESP_LOGO
138.698	0	L178	0	1	STIM_LOGO
139.698	5	L178	0	1	RETENTION_LOGO
144.698	0	L178	NaN	NaN	VERBALRESP_LOGO
149.307	0	L178	NaN	NaN	KEYRESP_LOGO
151.715	0	L51	0	1	STIM_LOGO
152.715	5	L51	0	1	RETENTION_LOGO
157.715	0	L51	NaN	NaN	VERBALRESP_LOGO
162.348	0	L51	NaN	NaN	KEYRESP_LOGO
164.731	0	L5	1	1	STIM_LOGO
165.731	5	L5	1	1	RETENTION_LOGO
170.731	0	L5	NaN	NaN	VERBALRESP_LOGO
174.749	0	L5	NaN	NaN	KEYRESP_LOGO
180.748	0	L289	1	2	STIM_LOGO
181.748	5	L289	1	2	RETENTION_LOGO
186.748	0	L289	NaN	NaN	VERBALRESP_LOGO
190.892	0	L289	NaN	NaN	KEYRESP_LOGO
195.764	0	L202	0	1	STIM_LOGO
196.764	5	L202	0	1	RETENTION_LOGO
201.764	0	L202	NaN	NaN	VERBALRESP_LOGO
206.019	0	L202	NaN	NaN	KEYRESP_LOGO
214.781	0	L104	0	1	STIM_LOGO
215.781	5	L104	0	1	RETENTION_LOGO
220.781	0	L104	NaN	NaN	VERBALRESP_LOGO
225.277	0	L104	NaN	NaN	KEYRESP_LOGO
227.798	0	L57	0	0	STIM_LOGO
228.798	5	L57	0	0	RETENTION_LOGO
233.798	0	L57	NaN	NaN	VERBALRESP_LOGO
245.981	0	L75	1	1	STIM_LOGO
246.981	5	L75	1	1	RETENTION_LOGO
251.981	0	L75	NaN	NaN	VERBALRESP_LOGO
255.611	0	L75	NaN	NaN	KEYRESP_LOGO
261.998	0	L63	0	1	STIM_LOGO
262.998	5	L63	0	1	RETENTION_LOGO
267.997	0	L63	NaN	NaN	VERBALRESP_LOGO
271.589	0	L63	NaN	NaN	KEYRESP_LOGO
276.997	0	L53	1	1	STIM_LOGO
277.997	5	L53	1	1	RETENTION_LOGO
282.997	0	L53	NaN	NaN	VERBALRESP_LOGO
286.888	0	L53	NaN	NaN	KEYRESP_LOGO
291.014	0	L381	0	2	STIM_LOGO
292.014	5	L381	0	2	RETENTION_LOGO
297.014	0	L381	NaN	NaN	VERBALRESP_LOGO
301.119	0	L381	NaN	NaN	KEYRESP_LOGO
305.031	0	L60	0	1	STIM_LOGO
