onset	duration	imageid
8	4	143323
12	4	504101
16	4	470622
20	4	487502
24	4	89790
28	4	123824
32	4	518517
36	4	351480
40	4	418726
44	4	262228
48	4	464498
52	4	325519
56	4	486977
60	4	466451
64	4	255925
68	4	253455
72	4	334006
76	4	191156
80	4	508429
84	4	186938
88	4	155029
92	4	508412
96	4	163047
100	4	329152
104	4	233327
108	4	203132
112	4	468354
116	4	291493
120	4	286723
124	4	272097
128	4	354111
132	4	260034
136	4	385682
140	4	54164
144	4	560254
148	4	285727
152	4	478005
156	4	450959
160	4	484661
164	4	219687
168	4	519895
172	4	505347
176	4	5600
180	4	451490
184	4	219472
188	4	276458
200	4	192216
204	4	325955
208	4	565607
212	4	464967
216	4	503077
220	4	464440
224	4	553038
228	4	523981
232	4	150541
240	4	198651
244	4	205614
248	4	2592
252	4	404758
256	4	47571
260	4	391065
264	4	266623
268	4	102707
276	4	59971
280	4	124311
284	4	300273
288	4	460833
292	4	476495
296	4	550438
300	4	174896
304	4	186296
308	4	240762
312	4	235812
316	4	161642
324	4	245983
328	4	244635
336	4	494090
340	4	175552
344	4	363137
348	4	205560
352	4	12408
356	4	102663
360	4	573732
364	4	562174
368	4	538976
