onset	duration	imageid
8	4	359004
12	4	81383
16	4	252929
24	4	173202
28	4	425691
36	4	297146
40	4	287958
44	4	223119
48	4	40912
52	4	104081
56	4	452470
60	4	539449
64	4	94326
68	4	525555
72	4	519479
76	4	146614
80	4	338357
84	4	372558
88	4	12062
92	4	479358
96	4	16228
100	4	322145
104	4	336027
108	4	222893
112	4	196971
116	4	209387
120	4	509948
124	4	485799
128	4	359762
132	4	523468
136	4	360855
140	4	250
144	4	482158
148	4	508008
152	4	384231
156	4	179812
160	4	424272
164	4	242153
168	4	509339
172	4	371164
176	4	563514
180	4	296769
184	4	400966
188	4	530686
192	4	515885
196	4	257796
200	4	191477
204	4	307124
212	4	281599
216	4	327059
220	4	184402
224	4	559682
228	4	352482
232	4	179095
236	4	343484
240	4	202909
244	4	495541
248	4	580843
252	4	174135
260	4	311902
264	4	267946
268	4	554752
272	4	213605
276	4	153126
280	4	539358
284	4	175116
288	4	281564
292	4	245820
296	4	439050
300	4	392943
304	4	144705
312	4	512892
316	4	492261
320	4	415716
324	4	160890
328	4	279060
332	4	403463
336	4	515445
340	4	233623
344	4	538595
348	4	420354
352	4	353090
356	4	151537
360	4	416652
368	4	555107
