onset	duration	imageid
8	4	460068
12	4	384136
20	4	176955
24	4	187886
28	4	263453
32	4	291140
36	4	367233
40	4	337594
44	4	292081
48	4	72518
52	4	419867
56	4	288662
60	4	497600
64	4	9448
68	4	411817
72	4	242982
76	4	529671
80	4	402191
84	4	468205
88	4	518071
92	4	319798
96	4	196843
100	4	564682
104	4	189646
108	4	544796
112	4	306878
116	4	192692
120	4	243839
124	4	180341
128	4	180522
132	4	400161
136	4	529524
140	4	286092
144	4	287318
148	4	559358
152	4	275180
156	4	257302
160	4	202146
164	4	548423
168	4	15750
172	4	459987
176	4	31334
180	4	509766
184	4	97585
188	4	349423
192	4	278452
196	4	329546
200	4	353051
204	4	202888
208	4	466480
212	4	234697
216	4	529956
220	4	314500
224	4	429991
228	4	176031
232	4	381994
236	4	381810
240	4	207943
244	4	246446
248	4	253521
256	4	69795
260	4	287312
264	4	490992
272	4	23696
280	4	407336
284	4	260738
288	4	240185
292	4	338941
296	4	290619
304	4	333088
308	4	275316
312	4	163297
316	4	579679
320	4	289682
324	4	363058
328	4	550021
332	4	560054
336	4	491902
344	4	147595
348	4	495485
352	4	489369
356	4	476093
360	4	187592
364	4	263006
368	4	192954
