onset	duration	imageid
8	4	348042
12	4	377411
16	4	376731
24	4	378657
28	4	411492
32	4	448492
36	4	386853
40	4	222991
48	4	260733
52	4	18136
56	4	10472
60	4	509819
64	4	354235
68	4	567444
72	4	468422
76	4	192866
80	4	131300
84	4	451058
88	4	183445
92	4	205116
96	4	174952
100	4	451077
104	4	205960
108	4	2640
112	4	494552
120	4	564532
124	4	365659
128	4	399851
136	4	222961
140	4	460100
144	4	234424
148	4	216664
152	4	197225
156	4	510252
160	4	322163
164	4	384527
168	4	261893
172	4	340539
176	4	157105
180	4	422336
184	4	192531
188	4	144694
192	4	368821
196	4	296573
200	4	92939
204	4	314447
208	4	270703
212	4	550993
216	4	62604
220	4	457262
224	4	239613
228	4	568808
232	4	508006
236	4	556746
240	4	42799
244	4	534286
248	4	117525
252	4	154073
256	4	261902
260	4	277433
264	4	426500
268	4	419586
272	4	282206
276	4	305905
280	4	239398
284	4	99581
288	4	551327
292	4	105455
296	4	541767
300	4	170888
304	4	230177
308	4	299933
312	4	99913
316	4	553056
320	4	93677
324	4	174098
328	4	395598
332	4	78447
336	4	413496
344	4	80720
348	4	140454
352	4	534266
356	4	394501
360	4	475370
364	4	266680
