onset	duration	imageid
12	4	146561
16	4	406681
20	4	133609
24	4	434602
28	4	260857
32	4	383576
36	4	359635
40	4	268481
44	4	205607
48	4	200736
52	4	355321
60	4	468604
64	4	193787
68	4	310989
72	4	9772
76	4	271388
80	4	407808
84	4	292616
88	4	307686
92	4	239625
96	4	186422
100	4	201035
104	4	328957
108	4	359949
112	4	233871
116	4	260448
120	4	204657
124	4	410898
128	4	9987
136	4	428780
140	4	85089
144	4	531956
148	4	173044
152	4	335874
156	4	459967
160	4	460092
164	4	280823
168	4	11805
172	4	280857
176	4	125983
180	4	191078
184	4	301927
188	4	331085
192	4	578734
200	4	388997
204	4	260679
208	4	196351
212	4	409489
216	4	211877
220	4	279073
224	4	192500
228	4	79274
232	4	568854
236	4	273304
240	4	229825
244	4	426470
248	4	372353
256	4	490097
260	4	441325
264	4	261477
268	4	532403
272	4	207205
276	4	182673
280	4	298628
284	4	508215
288	4	286973
292	4	570185
296	4	538982
300	4	309873
308	4	372819
312	4	44763
316	4	283279
320	4	322844
324	4	175336
328	4	347463
332	4	181841
336	4	367092
340	4	287364
344	4	344592
348	4	170780
352	4	208727
356	4	255137
360	4	223123
364	4	73946
368	4	275532
