onset	duration	trial	value	instruction
5526	6	1	1	rest
11483	1	1	2	ready
12481	6	1	3	task
18446	8	1	4	interval
26508	6	2	1	rest
32469	1	2	2	ready
33516	6	2	3	task
39426	8	2	4	interval
47504	6	3	1	rest
53474	1	3	2	ready
54479	6	3	3	task
60426	8	3	4	interval
68507	6	4	1	rest
74470	1	4	2	ready
75486	6	4	3	task
81433	8	4	4	interval
89503	6	5	1	rest
95482	1	5	2	ready
96496	6	5	3	task
102434	8	5	4	interval
110510	6	6	1	rest
116471	1	6	2	ready
117505	6	6	3	task
123435	8	6	4	interval
131515	6	7	1	rest
137473	1	7	2	ready
138505	6	7	3	task
144443	8	7	4	interval
152509	6	8	1	rest
158493	1	8	2	ready
159496	6	8	3	task
165445	8	8	4	interval
173518	6	9	1	rest
179480	1	9	2	ready
180488	6	9	3	task
186443	8	9	4	interval
194521	6	10	1	rest
200487	1	10	2	ready
201516	6	10	3	task
207440	8	10	4	interval
215529	6	11	1	rest
221485	1	11	2	ready
222517	6	11	3	task
228446	8	11	4	interval
236528	6	12	1	rest
242488	1	12	2	ready
243521	6	12	3	task
249450	8	12	4	interval
257532	6	13	1	rest
263485	1	13	2	ready
264499	6	13	3	task
270451	8	13	4	interval
278531	6	14	1	rest
284520	1	14	2	ready
285516	6	14	3	task
291455	8	14	4	interval
299532	6	15	1	rest
305506	1	15	2	ready
306510	6	15	3	task
312456	8	15	4	interval
320540	6	16	1	rest
326505	1	16	2	ready
327515	6	16	3	task
333466	8	16	4	interval
341540	6	17	1	rest
347512	1	17	2	ready
348517	6	17	3	task
354466	8	17	4	interval
362544	6	18	1	rest
368526	1	18	2	ready
369526	6	18	3	task
375462	8	18	4	interval
383549	6	19	1	rest
389510	1	19	2	ready
390535	6	19	3	task
396468	8	19	4	interval
404545	6	20	1	rest
410514	1	20	2	ready
411531	6	20	3	task
417472	8	20	4	interval
