onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-01	ses-2	1	1.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	0.03	2.0	2.03	2.0	240.0	4.318	1.71
n/a	n/a	sub-01	ses-2	1	2.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	6.043	2.0	8.043	2.0	240.0	10.331	1.71
n/a	n/a	sub-01	ses-2	1	3.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	12.056	2.0	14.056	2.0	240.0	16.344	1.71
n/a	n/a	sub-01	ses-2	1	4.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	18.069	2.0	20.069	2.0	240.0	22.357	1.71
n/a	n/a	sub-01	ses-2	1	5.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	24.082	2.0	26.082	2.0	240.0	28.37	1.71
n/a	n/a	sub-01	ses-2	1	6.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	30.095	2.0	32.095	2.0	240.0	34.383	1.71
n/a	n/a	sub-01	ses-2	1	7.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	36.108	2.0	38.108	2.0	240.0	40.396	1.71
n/a	n/a	sub-01	ses-2	1	8.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	42.121	2.0	44.121	2.0	240.0	46.409	1.71
n/a	n/a	sub-01	ses-2	1	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.134	2.0	50.134	2.0	240.0	52.422	1.71
n/a	n/a	sub-01	ses-2	1	10.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	54.147	2.0	56.147	2.0	240.0	58.435	1.71
n/a	n/a	sub-01	ses-2	1	11.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	60.161	2.0	62.161	2.0	240.0	64.449	1.71
n/a	n/a	sub-01	ses-2	1	12.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	66.174	2.0	68.174	2.0	240.0	70.462	1.71
n/a	n/a	sub-01	ses-2	1	13.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	72.187	2.0	74.187	2.0	240.0	76.475	1.71
n/a	n/a	sub-01	ses-2	1	14.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	78.2	2.0	80.2	2.0	240.0	82.488	1.71
n/a	n/a	sub-01	ses-2	1	15.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	84.213	2.0	86.213	2.0	240.0	88.501	1.71
n/a	n/a	sub-01	ses-2	1	16.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	90.226	2.0	92.226	2.0	240.0	94.514	1.71
n/a	n/a	sub-01	ses-2	1	17.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	96.239	2.0	98.239	2.0	240.0	100.527	1.71
n/a	n/a	sub-01	ses-2	1	18.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	102.252	2.0	104.252	2.0	240.0	106.54	1.71
n/a	n/a	sub-01	ses-2	1	19.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	108.265	2.0	110.265	2.0	240.0	112.553	1.71
n/a	n/a	sub-01	ses-2	1	20.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	114.278	2.0	116.278	2.0	240.0	118.566	1.71
n/a	n/a	sub-01	ses-2	1	21.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	120.291	2.0	122.291	2.0	240.0	124.579	1.71
n/a	n/a	sub-01	ses-2	1	22.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	126.304	2.0	128.304	2.0	240.0	130.592	1.71
n/a	n/a	sub-01	ses-2	1	23.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	132.317	2.0	134.317	2.0	240.0	136.605	1.71
n/a	n/a	sub-01	ses-2	1	24.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	138.33	2.0	140.33	2.0	240.0	142.618	1.71
n/a	n/a	sub-01	ses-2	1	25.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	144.343	2.0	146.343	2.0	240.0	148.631	1.71
n/a	n/a	sub-01	ses-2	1	26.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	150.356	2.0	152.356	2.0	240.0	154.644	1.71
n/a	n/a	sub-01	ses-2	1	27.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	156.369	2.0	158.369	2.0	240.0	160.657	1.71
n/a	n/a	sub-01	ses-2	1	28.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	162.383	2.0	164.383	2.0	240.0	166.671	1.71
n/a	n/a	sub-01	ses-2	1	29.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	168.396	2.0	170.396	2.0	240.0	172.684	1.71
n/a	n/a	sub-01	ses-2	1	30.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	174.409	2.0	176.409	2.0	240.0	178.697	1.71
