onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-01	ses-2	2	1.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	0.03	2.0	2.03	2.0	240.0	4.318	1.71
n/a	n/a	sub-01	ses-2	2	2.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	6.044	2.0	8.044	2.0	240.0	10.332	1.71
n/a	n/a	sub-01	ses-2	2	3.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	12.057	2.0	14.057	2.0	240.0	16.345	1.71
n/a	n/a	sub-01	ses-2	2	4.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	18.07	2.0	20.07	2.0	240.0	22.358	1.71
n/a	n/a	sub-01	ses-2	2	5.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	24.083	2.0	26.083	2.0	240.0	28.371	1.71
n/a	n/a	sub-01	ses-2	2	6.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	30.096	2.0	32.096	2.0	240.0	34.384	1.71
n/a	n/a	sub-01	ses-2	2	7.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	36.109	2.0	38.109	2.0	240.0	40.397	1.71
n/a	n/a	sub-01	ses-2	2	8.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	42.122	2.0	44.122	2.0	240.0	46.41	1.71
n/a	n/a	sub-01	ses-2	2	9.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	48.135	2.0	50.135	2.0	240.0	52.423	1.71
n/a	n/a	sub-01	ses-2	2	10.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	54.148	2.0	56.148	2.0	240.0	58.436	1.71
n/a	n/a	sub-01	ses-2	2	11.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	60.161	2.0	62.161	2.0	240.0	64.449	1.71
n/a	n/a	sub-01	ses-2	2	12.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	66.174	2.0	68.174	2.0	240.0	70.462	1.71
n/a	n/a	sub-01	ses-2	2	13.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	72.187	2.0	74.187	2.0	240.0	76.475	1.71
n/a	n/a	sub-01	ses-2	2	14.0	Triangle	0.0	No Response Detected	No money at stake!	n/a	78.2	2.0	80.2	2.0	240.0	82.488	1.71
n/a	n/a	sub-01	ses-2	2	15.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	84.213	2.0	86.213	2.0	240.0	88.501	1.71
n/a	n/a	sub-01	ses-2	2	16.0	LgPun	0.0	No Response Detected	You lose $5!	n/a	90.226	2.0	92.226	2.0	240.0	94.514	1.71
n/a	n/a	sub-01	ses-2	2	17.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	96.239	2.0	98.239	2.0	240.0	100.527	1.71
n/a	n/a	sub-01	ses-2	2	18.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	102.252	2.0	104.252	2.0	240.0	106.54	1.71
n/a	n/a	sub-01	ses-2	2	19.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	108.266	2.0	110.266	2.0	240.0	112.554	1.71
n/a	n/a	sub-01	ses-2	2	20.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	114.279	2.0	116.279	2.0	240.0	118.567	1.71
n/a	n/a	sub-01	ses-2	2	21.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	120.292	2.0	122.292	2.0	240.0	124.58	1.71
n/a	n/a	sub-01	ses-2	2	22.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	126.305	2.0	128.305	2.0	240.0	130.593	1.71
n/a	n/a	sub-01	ses-2	2	23.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	132.318	2.0	134.318	2.0	240.0	136.606	1.71
n/a	n/a	sub-01	ses-2	2	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.331	2.0	140.331	2.0	240.0	142.619	1.71
