onset	duration	trial	value	instruction
13291	5	1	1	rest
18237	2	1	2	ready
20224	6	1	3	task
26221	3	1	4	interval
28762	5	2	1	rest
33221	2	2	2	ready
35224	6	2	3	task
41220	3	2	4	interval
43790	4	3	1	rest
48232	2	3	2	ready
50220	6	3	3	task
56220	3	3	4	interval
58784	4	4	1	rest
63225	2	4	2	ready
65224	6	4	3	task
71226	3	4	4	interval
73781	5	5	1	rest
78282	2	5	2	ready
80226	6	5	3	task
86221	3	5	4	interval
88772	5	6	1	rest
93226	2	6	2	ready
95224	6	6	3	task
101222	3	6	4	interval
103771	5	7	1	rest
108223	2	7	2	ready
110222	6	7	3	task
116219	3	7	4	interval
118775	5	8	1	rest
123227	2	8	2	ready
125222	6	8	3	task
131222	3	8	4	interval
133716	5	9	1	rest
138225	2	9	2	ready
140222	6	9	3	task
146224	3	9	4	interval
148758	5	10	1	rest
153227	2	10	2	ready
155221	6	10	3	task
161221	3	10	4	interval
