onset	duration	response_time	value	stimuli
3561	3000	1523	0	ASHTRAY.bmp 
10549	3000	1331	1	BOWL.bmp    
17554	4000	874 	0	GORILLA.bmp 
25559	3000	846 	1	CLOWN.bmp   
32564	3000	1447	1	FISH.bmp    
39552	3000	2515	0	DRESS.bmp   
46557	4000	1170	1	GARBAGEC.bmp
54563	4000	1250	1	BOX.bmp     
62550	4000	1297	1	BIRDNEST.bmp
70556	4000	rien	0	FAN.bmp     
78562	4000	1087	1	COMPASS.bmp 
86550	3000	1880	1	SCORPION.bmp
93555	3000	1443	0	AXE.bmp     
100560	4000	1267	1	EAR.bmp     
108549	4000	2013	1	CUP.bmp     
116554	4000	1717	1	DRAGONFL.bmp
124560	4000	1214	1	frenchcr.bmp
132549	3000	872 	1	BICYCLE.bmp 
139554	3000	1324	1	ELEPHANT.bmp
146558	4000	1480	1	DONKEY.bmp  
154547	3000	1499	1	BEAR.bmp    
161552	4000	764 	1	CARROT.bmp  
169557	3000	1135	1	BOTTLE.bmp  
176545	4000	1167	1	BRAIN.bmp   
184550	3000	1134	1	CAR.bmp     
191555	4000	1388	0	DOGHOUSE.bmp
199544	4000	1510	1	FRYINGPA.bmp
207550	4000	1198	1	BUTTERFL.bmp
215555	3000	1513	1	CATERPIL.bmp
222544	4000	1020	0	CHICKEN.bmp 
230549	3000	1400	1	CHEESE.bmp  
237554	4000	984 	1	ACCORDIO.bmp
245543	3000	1588	1	FLAG.bmp    
252547	3000	1326	1	ANCHOR.bmp  
259552	4000	2110	1	DRESSER.bmp 
267558	4000	1179	1	ARTICHOK.bmp
275547	4000	923 	1	APPLE.bmp   
283551	4000	1276	1	FLOWER.bmp  
291557	4000	1391	0	BOW.bmp     
299546	3000	1850	1	DEER.bmp    
306550	4000	1639	1	DOLPHIN.bmp 
314556	3000	1730	1	HAMMOCK.bmp 
321544	3000	1585	1	EYE.bmp     
328549	3000	1381	1	GUITAR.bmp  
335554	4000	1098	1	CLOUD.bmp   
343543	4000	1526	1	BIRDCAGE.bmp
351548	3000	1014	1	AIRPLANE.bmp
358553	4000	1163	1	BELT.bmp    
366542	3000	1908	1	FUNNEL.bmp  
373547	3000	1247	1	BENCH.bmp   
380551	3000	1230	1	RAY.bmp     
387540	3000	1215	0	ACORN.bmp   
394544	4000	932 	1	CROWN.bmp   
402549	3000	1121	1	ENVELOPE.bmp
409538	3000	1273	1	EAGLE.bmp   
416542	3000	1152	0	COAT.bmp    
423547	4000	1327	1	CANNON.bmp  
431552	4000	1106	1	DUSTPAN.bmp 
439541	4000	1870	1	DOORKNOB.bmp
447547	3000	1305	1	ALLIGATO.bmp
454552	4000	1630	1	CRAB.bmp    
462540	4000	1313	0	BROOM.bmp   
470546	3000	1443	1	FAUCET.bmp  
477551	3000	1031	1	FEATHER.bmp 
484539	4000	1348	1	BOOT.bmp    
492545	4000	1454	0	COW.bmp     
500550	3000	1061	1	GLOVE.bmp   
507537	3000	2027	1	ASPARAGU.bmp
514542	3000	1230	1	CAT.bmp     
521547	3000	2245	1	CAP.bmp     
528535	4000	1547	1	BEE.bmp     
536541	4000	1517	1	CORN.bmp    
544546	3000	2001	1	CHIMNEY.bmp 
551535	4000	1168	1	FORK.bmp    
