onset	duration	StimulusType
2.015	12	beep
26.031	12	soundnovid
38.515	12	basebase
50.515	12	videos
64.343	12	basebase
76.359	12	pictures
89.937	12	check
102.953	12	soundnovid
115.468	12	check
128.468	12	soundnovid
140.984	12	check
154	12	videos
167.64	12	beep
191.672	12	soundnovid
204.14	12	check
217.14	12	videos
230.812	12	basebase
242.828	12	soundnovid
255.297	12	beep
279.312	12	pictures
292.828	12	beep
316.859	12	pictures
330.422	12	check
343.437	12	videos
357.078	12	beep
381.172	12	pictures
394.672	12	beep
418.718	12	pictures
432.234	12	basebase
444.25	12	videos
457.89	12	check
470.906	12	videos
484.531	12	basebase
496.547	12	pictures
510.078	12	check
523.093	12	pictures
536.703	12	beep
560.75	12	videos
574.343	12	check
587.359	12	videos
600.937	12	basebase
612.953	12	soundnovid
625.437	12	beep
649.468	12	soundnovid
661.953	12	basebase
673.953	12	soundnovid
686.422	12	basebase
698.422	12	pictures
