onset	duration	StimulusID	valence	arousal
2	5	8	Negative	High
14.438	5	29	Positive	Low
26.86	5	10	Positive	High
39.25	5	23	Negative	Low
51.704	5	27	Positive	Low
64.079	5	21	Negative	Low
76.579	5	16	Positive	High
88.954	5	3	Negative	High
101.344	5	15	Positive	High
113.735	5	19	Negative	Low
126.11	5	2	Negative	High
138.485	5	31	Positive	Low
150.875	5	9	Positive	High
163.266	5	25	Positive	Low
175.704	5	6	Negative	High
188.094	5	17	Negative	Low
200.469	5	7	Negative	High
212.844	5	18	Negative	Low
225.25	5	12	Positive	High
237.625	5	32	Positive	Low
250.079	5	24	Negative	Low
262.469	5	28	Positive	Low
274.875	5	4	Negative	High
287.313	5	14	Positive	High
299.704	5	30	Positive	Low
312.125	5	20	Negative	Low
324.563	5	13	Positive	High
336.938	5	1	Negative	High
349.313	5	26	Positive	Low
361.75	5	5	Negative	High
374.141	5	22	Negative	Low
386.625	5	11	Positive	High
399	5	28	Positive	Low
411.454	5	9	Positive	High
423.844	5	6	Negative	High
436.235	5	18	Negative	Low
448.61	5	4	Negative	High
461.032	5	24	Negative	Low
473.422	5	16	Positive	High
485.86	5	32	Positive	Low
498.235	5	13	Positive	High
510.641	5	17	Negative	Low
523.016	5	30	Positive	Low
535.454	5	7	Negative	High
547.875	5	12	Positive	High
560.297	5	31	Positive	Low
572.672	5	5	Negative	High
585.079	5	23	Negative	Low
597.547	5	3	Negative	High
609.922	5	19	Negative	Low
622.391	5	10	Positive	High
634.782	5	29	Positive	Low
647.172	5	1	Negative	High
659.594	5	15	Positive	High
672.063	5	22	Negative	Low
684.454	5	27	Positive	Low
696.922	5	8	Negative	High
709.313	5	26	Positive	Low
721.688	5	14	Positive	High
734.094	5	20	Negative	Low
746.547	5	11	Positive	High
758.938	5	2	Negative	High
771.313	5	25	Positive	Low
783.704	5	21	Negative	Low
