onset	duration	StimulusID	valence	arousal
2.015	5	16	Positive	High
14.484	5	8	Negative	High
26.875	5	18	Negative	Low
39.25	5	27	Positive	Low
51.609	5	1	Negative	High
64.015	5	29	Positive	Low
76.422	5	11	Positive	High
88.875	5	22	Negative	Low
101.25	5	26	Positive	Low
113.625	5	14	Positive	High
126.015	5	2	Negative	High
138.422	5	19	Negative	Low
150.812	5	28	Positive	Low
163.265	5	5	Negative	High
175.672	5	12	Positive	High
188.078	5	20	Negative	Low
200.484	5	7	Negative	High
212.875	5	15	Positive	High
225.265	5	17	Negative	Low
237.718	5	32	Positive	Low
250.093	5	21	Negative	Low
262.468	5	6	Negative	High
274.859	5	31	Positive	Low
287.359	5	13	Positive	High
299.718	5	30	Positive	Low
312.125	5	23	Negative	Low
324.5	5	4	Negative	High
336.875	5	10	Positive	High
349.265	5	3	Negative	High
361.734	5	9	Positive	High
374.125	5	24	Negative	Low
386.562	5	25	Positive	Low
399	5	5	Negative	High
411.39	5	20	Negative	Low
423.859	5	27	Positive	Low
436.25	5	15	Positive	High
448.672	5	8	Negative	High
461.047	5	25	Positive	Low
473.422	5	19	Negative	Low
485.812	5	13	Positive	High
498.265	5	21	Negative	Low
510.672	5	29	Positive	Low
523.078	5	7	Negative	High
535.468	5	16	Positive	High
547.843	5	31	Positive	Low
560.203	5	12	Positive	High
572.64	5	22	Negative	Low
585.047	5	6	Negative	High
597.453	5	17	Negative	Low
609.812	5	2	Negative	High
622.203	5	26	Positive	Low
634.593	5	14	Positive	High
646.984	5	30	Positive	Low
659.39	5	11	Positive	High
671.781	5	18	Negative	Low
684.172	5	1	Negative	High
696.625	5	28	Positive	Low
709.093	5	10	Positive	High
721.484	5	23	Negative	Low
733.875	5	4	Negative	High
746.265	5	32	Positive	Low
758.75	5	24	Negative	Low
771.14	5	3	Negative	High
783.515	5	9	Positive	High

