onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_today
17.90654	1.65	INT_TIME
19.556355	1.749	INT_OTHER
21.305227	4.79	INT_PLACE
26.095308	19.352	EXT_SEM
45.447333	2.492	INT_ACT
47.93959	2.465	EXT_REP
50.404494	4.51	INT_OBJ
54.914057	2.311	INT_PERC
57.225087	2.215	INT_ACT
59.44036	8.101	INT_PLACE
67.541266	6.852	EXT_REP
74.393616	1.128	INT_PLACE
75.521588	1.222	EXT_REP
76.743922	4.102	INT_PERSON
80.846229	1.213	INT_ACT
82.059632	0.41	INT_OBJ
82.470031	1.065	INT_PLACE
83.534771	2.426	INT_PERSON
85.960801	2	EXT_SEM
87.960598	1.327	INT_ACT
89.287582	3.885	INT_PERSON
93.172756	1.317	INT_OBJ
94.489763	1.938	INT_PERSON
96.427448	0.45	INT_ACT
96.877886	0.567	INT_OBJ
97.445104	2.792	INT_PERC
100.236681	4.431	INT_OTHER
104.66749	9.238	INT_OBJ
113.905897	6.796	EXT_OTHER
120.701887	2.306	INT_ACT
123.007889	1.139	EXT_REP
124.146737	5.427	INT_ACT
129.573998	2.421	INT_PLACE
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_5yr
171.312172	5.605	INT_TIME
176.917313	5.111	INT_OTHER
182.028058	9.973	INT_PLACE
192.0006	3.278	EXT_SEM
195.278383	4.723	INT_EMO
200.00157	1.082	INT_PERC
201.083567	0.7	INT_PLACE
201.783176	5.6	INT_ACT
207.383404	3.041	EXT_REP
210.424614	6.2	INT_TIME
216.624975	6.63	INT_ACT
223.254542	3.446	EXT_REP
226.70042	1.522	INT_OBJ
228.222411	0.981	INT_ACT
229.203141	3.761	INT_PERC
232.963642	0.173	INT_PERSON
233.136148	2.035	EXT_REP
235.171083	4.771	INT_OTHER
239.941673	3.532	INT_PERC
243.473222	0.501	INT_OTHER
243.974423	3.932	INT_PERC
247.906483	1.083	INT_OTHER
248.989439	1.847	INT_PERC
250.836317	4.114	EXT_OTHER
254.950404	0.449	INT_PERC
255.399383	0.708	INT_OTHER
256.107773	0.289	INT_PERSON
256.397116	0.489	INT_ACT
256.886005	3.234	EXT_OTHER
260.12003	2.277	EXT_REP
262.396845	0.876	INT_EMO
263.27283	5.939	INT_PERC
269.211873	0.709	INT_PERSON
269.921065	0.676	INT_ACT
270.596715	15.393	INT_PERC
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_6mo
325.841272	1.147	INT_TIME
326.988664	1.417	INT_PERSON
328.405278	2.914	INT_ACT
331.319178	2.737	INT_PLACE
334.05576	6.494	EXT_SEM
340.549883	4.209	EXT_REP
344.759153	13.2	INT_PERSON
357.958959	2.723	INT_ACT
360.682352	2.392	EXT_REP
363.073946	3.241	INT_PERC
366.314511	0.838	EXT_REP
367.152094	0.592	INT_PLACE
367.744363	2.862	INT_ACT
370.606812	1.761	INT_OBJ
372.368107	1.834	INT_ACT
374.201942	1.341	INT_PLACE
375.542534	3.64	INT_ACT
379.182172	0.951	INT_OBJ
380.133626	8.165	EXT_REP
388.298812	2.994	INT_ACT
391.292844	2.785	INT_EMO
394.077496	4.796	INT_PERC
398.873312	4.703	INT_ACT
403.5765	0.946	INT_TIME
404.522655	0.763	INT_EMO
405.285589	0.422	INT_PLACE
405.707786	0.818	INT_PERC
406.525594	7.263	INT_ACT
413.788638	1.341	INT_PERC
415.129656	4.994	INT_ACT
420.123644	1.535	INT_PLACE
421.658724	4.428	INT_ACT
426.08657	4.089	EXT_REP
430.175734	2.832	INT_OBJ
433.007495	3.495	INT_ACT
436.502409	3.495	INT_OBJ
