onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
17.061172	4.678	INT_TIME
21.739494	5.658	INT_PERSON
27.397868	5.486	INT_ACT
32.884152	1.119	INT_PERSON
34.003648	1.848	EXT_SEM
35.85196	3.719	INT_ACT
39.570461	1.971	INT_OTHER
41.541701	4.004	INT_PLACE
45.545646	1.868	EXT_REP
47.413672	1.765	INT_PERC
49.179086	0.499	EXT_REP
49.677952	2.854	INT_PERC
52.53159	0.686	INT_OBJ
53.217627	0.319	INT_PERC
53.536901	0.629	INT_PERSON
54.165472	1.262	INT_OBJ
55.427062	0.269	INT_PERC
55.69645	0.728	INT_PERSON
56.424795	9.765	EXT_REP
66.19023	0.798	INT_PERSON
66.988416	3.523	EXT_REP
70.511049	4.132	EXT_OTHER
74.643375	0.798	INT_ACT
75.44156	0.21	INT_PERC
75.651084	0.778	INT_OBJ
76.429316	4.499	INT_ACT
80.928006	0.843	INT_OBJ
81.770827	5.547	INT_OTHER
87.317703	2.955	EXT_REP
90.27245	2.497	INT_ACT
92.769816	0.847	INT_PERC
93.616665	6.695	INT_OBJ
100.311697	2.367	INT_EMO
102.678627	3.034	INT_OBJ
105.713117	1.993	INT_PERC
107.706014	0.544	INT_OBJ
108.25041	17.664	INT_TIME
125.914131	5.1	INT_PERC
131.014543	0.742	EXT_REP
131.756502	0.236	INT_ACT
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
170.791612	2.485	INT_TIME
173.276955	7.939	INT_ACT
181.216252	0.06	INT_PERC
181.276116	1.457	INT_OTHER
182.732978	2.58	EXT_OTHER
185.313364	0.442	INT_ACT
185.755365	0.658	INT_OBJ
186.41338	2.904	INT_ACT
189.317817	3.553	INT_OBJ
192.870604	5.981	INT_ACT
198.851911	3.035	INT_OBJ
201.886615	2.025	INT_ACT
203.911546	3.175	INT_OBJ
207.08625	5.182	INT_ACT
212.267821	5.477	EXT_REP
217.744934	0.865	INT_TIME
218.609802	4.055	INT_ACT
222.664666	2.347	INT_OTHER
225.011658	1.888	INT_PERC
226.899679	11.206	INT_ACT
238.105794	7.022	INT_PERC
245.127738	1.546	INT_PERSON
246.674231	2.242	INT_ACT
248.916004	1.354	INT_PLACE
250.27039	10.116	INT_ACT
260.385902	0.279	INT_PERC
260.665267	1.798	INT_OBJ
262.463466	2.028	INT_PERC
264.491599	13.688	INT_ACT
278.180032	1.345	INT_OBJ
279.52495	5.781	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_6mo
324.87238	8.154	INT_PERSON
333.02599	1.07	INT_OTHER
334.095559	1.97	INT_OBJ
336.065485	0.738	EXT_REP
336.803807	2.474	INT_PLACE
339.27797	2.26	INT_PERSON
341.537733	4.128	INT_ACT
345.665759	5.954	INT_OTHER
351.620051	4.311	INT_PERSON
355.931256	2.795	INT_PERC
358.725913	0.751	INT_PERSON
359.476652	3.356	EXT_REP
362.833108	2.143	INT_ACT
364.976544	6.69	INT_PLACE
371.666186	4.243	EXT_REP
375.908797	1.358	INT_TIME
377.267016	2.494	INT_ACT
379.760701	2.846	INT_PERC
382.606267	2.759	INT_PLACE
385.365097	0.5	INT_ACT
385.865309	0.778	INT_OBJ
386.643201	3.958	INT_PERC
390.601572	1.056	INT_ACT
391.657437	0.585	INT_PLACE
392.242271	4.909	INT_ACT
397.150949	0.178	INT_PERC
397.329346	0.584	INT_PERSON
397.913255	3.778	EXT_REP
401.69133	3.908	INT_ACT
405.59976	3.443	INT_OTHER
409.043038	2.75	EXT_SEM
411.79301	2.306	INT_ACT
414.098989	8.159	INT_OTHER
422.257977	4.961	INT_PERC
427.218948	4.684	INT_OBJ
431.903351	1.261	INT_ACT
433.164343	0.619	INT_PERSON
433.782938	6.208	EXT_OTHER
