onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
18.03333	1.973	INT_PERSON
20.006119	1.995	EXT_REP
22.001584	0.757	INT_ACT
22.758128	4.529	INT_PLACE
27.287566	1.158	INT_PERC
28.445359	1.251	INT_OBJ
29.696547	2.125	INT_PLACE
31.821806	2.806	INT_TIME
34.627869	4.902	INT_PERC
39.529776	2.953	EXT_REP
42.482906	1.738	INT_PERC
44.221263	2.628	INT_PERSON
46.849243	2.64	INT_PERC
49.489079	0.808	INT_ACT
50.297159	0.449	INT_OTHER
50.746139	2.84	INT_ACT
53.58583	4.05	INT_PERC
57.635966	4.989	INT_PERSON
62.625109	3.707	EXT_REP
66.332507	4.56	INT_OBJ
70.892318	13.379	INT_PERC
84.271798	0.874	EXT_REP
85.145981	1.064	INT_PLACE
86.210249	6.031	EXT_REP
92.241116	5.62	INT_PERC
97.861331	6.169	EXT_REP
104.029891	1.132	INT_ACT
105.161699	8.164	EXT_REP
113.325268	11.167	INT_PERC
124.491795	6.026	INT_OBJ
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
171.060533	2.755	INT_PERC
173.815164	1.916	INT_PLACE
175.730811	3.236	INT_PERC
178.966365	1.806	INT_OTHER
180.772261	2.45	EXT_OTHER
183.222246	2.081	INT_PERC
185.303486	3.534	INT_PLACE
188.837148	1.267	INT_OBJ
190.104268	1.656	INT_PLACE
191.759802	2.666	INT_PERC
194.426257	1.368	INT_PERSON
195.794739	2.928	INT_PERC
198.722811	1.07	EXT_REP
199.792967	0.499	INT_OBJ
200.291833	1.053	INT_PERC
201.345069	0.31	INT_OBJ
201.655371	0.497	EXT_REP
202.152521	4.043	INT_ACT
206.195303	0.796	INT_PERC
206.991077	3.71	INT_OTHER
210.700882	1.186	EXT_REP
211.886419	0.697	INT_OTHER
212.583764	7.425	EXT_OTHER
220.008736	0.872	INT_OTHER
220.880965	7.506	EXT_OTHER
228.386591	2.447	INT_PERC
230.83323	3.418	INT_OBJ
234.250979	2.916	INT_PERC
237.166791	17.243	EXT_OTHER
254.409709	4.54	INT_OBJ
258.94984	5.662	INT_PLACE
264.611517	2.897	INT_OBJ
267.508868	11.998	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
325.211596	1.174	INT_PERC
326.386072	0.494	INT_PLACE
326.879886	0.788	INT_OTHER
327.668256	2.269	EXT_OTHER
329.937129	3.984	INT_OBJ
333.921544	2.119	INT_PERSON
336.040696	3.463	INT_OBJ
339.504135	2.594	INT_PERC
342.098162	3.339	INT_ACT
345.437054	0.339	INT_OBJ
345.776283	3.109	INT_PLACE
348.885338	1.578	INT_OBJ
350.46354	0.314	INT_PERC
350.777429	5.085	INT_OTHER
355.861962	2.52	INT_PERC
358.382167	4.447	INT_PERSON
362.829061	4.45	INT_PERC
367.279226	2.866	INT_PERSON
370.145045	2.885	INT_PERC
373.029938	0.318	INT_OBJ
373.34843	2.914	INT_PERC
376.262327	1.362	EXT_REP
377.623888	2.913	INT_OBJ
380.536568	1.237	INT_ACT
381.773756	0.389	INT_OBJ
382.162872	2.401	INT_PERSON
384.564317	0.389	INT_PERC
384.953433	2.724	INT_OBJ
387.676953	3.134	EXT_OTHER
390.810709	0.502	INT_PERSON
391.312318	1.719	INT_PERC
393.030883	3.503	INT_ACT
396.533987	6.208	INT_PERC
402.741626	0.681	INT_PERSON
403.422979	1.879	EXT_REP
405.301518	4.695	INT_PERC
409.996581	3.761	EXT_REP
413.757723	3.953	INT_ACT
417.710817	1.608	INT_PERC
419.319012	0.918	INT_OBJ
420.236926	5.186	EXT_REP
425.423167	0.708	INT_OBJ
426.131557	12.518	EXT_OTHER
