onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_5yr
17.59602	3.017	INT_PLACE
20.613066	3.239	INT_TIME
23.852349	3.895	INT_PLACE
27.747181	9.844	EXT_OTHER
37.590995	0.621	INT_PERC
38.212333	0.899	INT_OTHER
39.111418	5.108	INT_PERC
44.219251	3.45	INT_PLACE
47.669376	3.763	EXT_OTHER
51.431906	1.874	EXT_REP
53.30558	4.08	INT_ACT
57.385122	2.268	INT_PLACE
59.653259	9.457	EXT_SEM
69.110354	5.471	INT_ACT
74.581754	2.158	INT_PERC
76.739566	1.267	INT_PERSON
78.006686	4.465	INT_ACT
82.471346	3.875	EXT_REP
86.346397	3.263	INT_ACT
89.609341	1.773	INT_PLACE
91.382404	3.547	INT_ACT
94.92925	1.5	INT_OBJ
96.429541	4.087	INT_ACT
100.516226	4.078	INT_PERSON
104.594626	4.635	INT_ACT
109.229312	1.068	INT_PLACE
110.296885	0.898	INT_PERC
111.194844	5.939	INT_ACT
117.134281	3.876	INT_PERSON
121.010044	2.37	EXT_EPI
123.380407	0.958	INT_OBJ
124.338829	4.626	INT_PERSON
128.964797	1.425	INT_ACT
130.38957	1.069	INT_OBJ
154	111	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
171.486855	2.966	EXT_OTHER
174.453029	8.292	INT_PERSON
182.745069	2.052	INT_PLACE
184.796916	1.391	INT_OTHER
186.187811	4.492	INT_TIME
190.679993	9.318	INT_OBJ
199.997632	15.554	INT_ACT
215.551742	3.351	INT_PERC
218.902464	1.693	INT_PERSON
220.595606	2.341	INT_ACT
222.936182	2.262	INT_PERC
225.198256	3.008	INT_PLACE
228.206238	8.112	INT_ACT
236.317933	0.998	INT_PERC
237.31557	6.3	INT_EMO
243.615976	1.862	INT_PERSON
245.477787	1.933	EXT_SEM
247.410577	1.128	INT_ACT
248.538341	1.772	INT_OBJ
250.310064	3.033	INT_PLACE
253.342914	3.897	INT_OBJ
257.240308	7.499	INT_PERC
264.739522	1.064	INT_ACT
265.803891	1.26	EXT_REP
267.063852	1.605	INT_ACT
268.668747	2.06	INT_EMO
270.728779	5.053	INT_PERC
275.781774	1.561	INT_PERSON
277.343078	2.883	INT_OBJ
280.226388	2.447	INT_ACT
282.673824	1.362	INT_PERC
284.035508	0.12	EXT_OTHER
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_today
326.470936	7.304	INT_TIME
333.774484	2.384	INT_ACT
336.158617	2.148	INT_OBJ
338.306602	2.956	INT_ACT
341.262532	1.034	INT_OBJ
342.296757	6.912	INT_PERC
349.208709	2.364	INT_ACT
351.573038	1.816	INT_OBJ
353.388888	1.622	INT_ACT
355.010873	4.838	INT_OTHER
359.849322	4.903	INT_ACT
364.75193	1.39	INT_PERSON
366.141646	2.536	INT_ACT
368.677425	1.003	INT_PERC
369.680273	8.157	EXT_REP
377.836979	7.254	INT_OTHER
385.090515	2.085	INT_ACT
387.175604	1.006	INT_OBJ
388.181958	8.936	INT_PERC
397.11748	8.9	INT_ACT
406.017196	3.26	EXT_REP
409.276817	0.978	INT_PLACE
410.254595	4.657	INT_ACT
414.911188	3.225	INT_PERC
418.136652	5.411	INT_ACT
423.547263	3.734	INT_OTHER
427.280989	8.706	INT_PERC
435.986906	1.712	INT_ACT
437.699191	1.869	INT_PERSON
