onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	PD
18.875772	3.314	EXT_OTHER
22.1896	2.314	INT_PLACE
24.503528	0.519	INT_PERC
25.022349	0.329	INT_PERSON
25.351601	0.998	INT_OBJ
26.349333	1.327	INT_ACT
27.676317	1.237	INT_OBJ
28.913505	2.302	INT_PERC
31.215488	1.207	INT_PERSON
32.422661	3.554	INT_PERC
35.976832	0.886	INT_OBJ
36.863322	5.605	INT_PERC
42.467939	2.386	INT_OBJ
44.854221	4.72	EXT_OTHER
49.574606	0.927	EXT_REP
50.50199	2.656	INT_PERC
53.157568	0.878	INT_OBJ
54.035572	8.857	EXT_OTHER
70.235242	29.723	EXT_OTHER
99.958501	1.365	INT_PERC
101.323048	0.844	EXT_REP
102.166677	2.586	INT_OBJ
104.7523	5.407	INT_PERC
110.159515	1.059	EXT_REP
111.218676	6.351	INT_PERC
117.569422	0.598	EXT_REP
118.167179	5.079	INT_ACT
123.24617	0.469	EXT_REP
123.715105	5.347	INT_ACT
129.061902	0.53	INT_OBJ
129.591477	3.949	INT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	PD
171.940072	1.756	INT_OBJ
173.696081	3.782	INT_PERC
177.478144	1.208	INT_ACT
178.686511	0.888	INT_OBJ
179.574493	4.363	INT_PERSON
183.937345	1.33	INT_PERC
185.267044	0.559	INT_ACT
185.825774	1.649	INT_PERC
187.474816	2.182	INT_ACT
189.656633	2.544	INT_PERC
192.200644	3.552	INT_ACT
195.75254	0.918	INT_PERSON
196.670453	1.349	INT_PERC
198.019333	2.727	INT_OTHER
200.746271	0.613	INT_PERC
201.359626	0.433	EXT_REP
201.792354	2.506	INT_OBJ
204.298353	5.246	INT_PLACE
209.543865	4.661	INT_OBJ
214.204732	4.758	INT_PERC
218.962379	0.868	EXT_REP
219.830406	3.44	INT_PERC
223.270608	3.013	EXT_REP
226.283857	6.846	INT_PERC
247.594024	1.299	EXT_SEM
248.892811	3.643	EXT_REP
252.536115	1.339	INT_ACT
258.605726	1.586	EXT_REP
260.191415	2.831	INT_PERC
263.022351	3.074	EXT_REP
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	PD
326.367211	1.497	INT_OTHER
327.86381	2.243	EXT_REP
330.106639	0.758	INT_OBJ
330.864915	6.243	INT_PERC
337.107705	0.329	INT_PLACE
337.436956	4.633	INT_PERC
342.06997	1.107	INT_OBJ
343.177453	0.329	INT_PERC
343.506704	0.738	EXT_REP
344.245026	1.956	INT_PERSON
346.200556	1.681	INT_PERC
347.88163	1.496	INT_ACT
349.377883	1.427	INT_PERC
350.804953	1.968	INT_PERSON
352.772733	2.898	INT_PERC
355.670743	1.068	INT_OBJ
356.739209	6.007	EXT_OTHER
362.746018	1.337	INT_OBJ
364.082958	0.738	INT_PERC
364.821437	3.149	EXT_OTHER
367.970625	1.567	INT_OBJ
369.537615	4.294	EXT_OTHER
373.83208	0.906	INT_TIME
374.737767	1.651	EXT_REP
376.389241	1.078	INT_PERC
382.174765	1.3	INT_PERC
383.474491	2.396	EXT_REP
385.870149	5.067	INT_PERC
394.117037	4.057	INT_PERC
