onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_today
17.514872	4.526	EXT_OTHER
22.040565	1.203	INT_OTHER
23.24351	0.529	INT_TIME
23.772308	4.22	INT_ACT
27.992334	1.469	INT_PLACE
29.461319	2.005	INT_TIME
31.466128	0.923	INT_ACT
32.389582	3.789	INT_PLACE
36.178127	0.688	INT_PERC
36.866563	0.903	INT_OTHER
37.769677	3.594	INT_PERC
41.363736	0.429	INT_OBJ
41.792761	0.738	INT_PLACE
42.531083	4.686	INT_PERC
47.217485	0.93	INT_OTHER
48.147925	2.285	INT_PERC
50.432967	1.539	INT_ACT
51.971794	1.444	INT_PERC
53.416	0.17	EXT_REP
53.585897	6.029	INT_PLACE
59.614991	9.439	INT_OTHER
69.054391	2.909	INT_PLACE
71.962943	4.048	INT_ACT
76.011216	2.614	INT_PERC
78.625061	1.078	INT_OBJ
79.702612	5.34	INT_PLACE
85.042325	3.718	INT_PERC
88.760695	0.778	INT_OBJ
89.538927	1.287	INT_PLACE
90.825479	3.583	INT_TIME
94.408952	2.929	EXT_EPI
97.338372	3.054	INT_ACT
100.392223	8.099	INT_OBJ
108.491175	1.757	INT_PLACE
110.247997	5.488	INT_OBJ
115.735697	2.535	INT_PERC
118.270753	1.157	INT_OBJ
126.574428	0.445	EXT_OTHER
133.765744	0.229	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_6mo
171.651772	1.775	EXT_OTHER
173.426771	0.649	INT_PLACE
174.075297	0.499	INT_ACT
174.574164	1.472	EXT_REP
176.046607	3.034	INT_PERSON
179.080936	8.389	INT_TIME
187.470353	1.935	INT_ACT
189.405657	1.227	INT_PLACE
190.632868	4.288	EXT_REP
194.920826	2.161	INT_ACT
197.081896	1.088	INT_OBJ
198.169425	3.831	INT_ACT
202.000924	6.439	INT_PLACE
208.43978	3.918	INT_ACT
212.358078	0.629	EXT_REP
212.986649	1.008	INT_PERC
213.994359	6.267	INT_ACT
220.261639	2.274	INT_PLACE
222.535407	0.681	INT_ACT
223.216653	0.744	INT_OBJ
223.961148	4.037	INT_ACT
227.997867	3.75	INT_PERC
231.748098	2.918	INT_ACT
234.665646	0.678	EXT_REP
235.344104	6.414	INT_ACT
241.758359	4.014	EXT_REP
245.772758	2.766	INT_ACT
248.538288	5.52	INT_OBJ
254.058389	3.957	INT_PERC
258.015793	8.514	INT_ACT
266.530052	0.259	EXT_REP
266.789463	0.758	INT_PERC
267.547739	3.824	INT_ACT
271.371933	0.529	INT_PERC
271.900731	2.678	INT_ACT
274.578995	1.267	INT_PLACE
275.846115	9.775	EXT_REP
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
324.966372	2.972	EXT_OTHER
327.93837	2.356	INT_ACT
330.294111	5.662	INT_PLACE
335.956063	1.279	INT_PERC
337.235249	3.015	INT_PERSON
340.249783	8.423	INT_TIME
348.673167	0.888	EXT_REP
349.561149	5.084	INT_PERC
354.645567	1.415	EXT_REP
356.060762	3.96	INT_ACT
360.021075	1.336	EXT_OTHER
361.356683	1.649	INT_PLACE
363.005732	1.295	INT_PERSON
364.300519	0.982	INT_ACT
365.282479	8.87	INT_TIME
374.152006	2.662	INT_OTHER
376.813591	1.79	INT_PERC
378.603772	0.354	INT_PERSON
378.958049	1.301	INT_ACT
380.25863	1.158	INT_PERSON
381.416517	1.496	INT_ACT
382.912363	0.531	INT_PERSON
383.443734	1.13	INT_OTHER
384.574232	2.739	EXT_REP
387.312916	4.389	INT_PLACE
391.701779	2.544	EXT_OTHER
394.245926	1.367	INT_ACT
395.612819	0.778	INT_PERC
396.39105	0.698	INT_ACT
397.089463	1.497	INT_PLACE
398.586062	1.523	INT_OBJ
400.108851	4.185	INT_ACT
404.293664	0.848	EXT_REP
405.141737	0.469	INT_PERC
405.610671	0.978	INT_EMO
406.588449	3.106	INT_ACT
409.694014	0.772	INT_OTHER
410.466121	6.136	EXT_REP
416.602551	3.191	EXT_SEM
419.793157	2.587	INT_PERC
422.380007	0.798	INT_PLACE
423.178193	4.581	INT_EMO
427.758942	3.657	INT_ACT
431.416236	2.885	INT_PERC
434.301249	0.399	EXT_REP
434.700342	2.525	INT_OTHER
437.224945	3.102	EXT_OTHER
