onset	duration	condition_type
0	11	stimPicChoice
11	5	stimCuePic
16	118.2	AB_6mo
17.0838	6.366	EXT_OTHER
23.450053	7.491	INT_PLACE
30.940907	2.614	INT_OBJ
33.554966	2.505	INT_OTHER
36.059718	7.014	INT_OBJ
43.073334	3.623	INT_ACT
46.696028	4.562	INT_PLACE
51.257759	0.472	EXT_REP
51.729672	0.74	INT_PLACE
52.469791	1.703	EXT_REP
54.172551	4.378	INT_PERC
58.550287	0.796	INT_OBJ
59.346349	0.092	INT_PERC
59.438518	1.185	INT_PERSON
60.623574	2.065	INT_OTHER
62.688753	1.835	INT_ACT
64.523686	6.108	INT_PERC
70.631889	0.81	INT_PLACE
71.44187	3.858	INT_OBJ
75.299498	7.274	INT_OTHER
82.573005	6.344	INT_ACT
88.917299	6.415	EXT_REP
95.332477	1.529	INT_ACT
96.86133	2.499	INT_PERC
99.360629	1.091	INT_ACT
100.451202	2.104	INT_OTHER
102.55529	9.825	EXT_OTHER
112.379885	6.023	INT_PERC
118.402551	2.376	INT_ACT
120.778531	0.439	INT_OTHER
121.21754	1.94	INT_ACT
123.157176	0.243	INT_PERC
123.400098	0.752	INT_PERSON
124.152159	0.439	INT_ACT
124.591416	0.875	INT_PERSON
125.466602	6.667	INT_ACT
132.133125	1.814	EXT_OTHER
154	11	stimPicChoice
165	5	stimCuePic
170	118.2	AB_today
172.18277	4.841	INT_OTHER
177.024269	1.88	INT_PLACE
178.903779	0.579	INT_TIME
179.482464	4.506	INT_ACT
183.988095	6.279	INT_PLACE
190.267061	3.285	INT_OTHER
193.551608	3.163	INT_PERC
196.714343	0.888	INT_OBJ
197.602794	1.107	INT_PERC
198.710277	1.028	INT_OBJ
199.737941	4.288	INT_PERC
204.025979	28.868	INT_OBJ
232.894478	2.818	EXT_REP
235.71235	2.612	INT_PLACE
238.324539	6.26	INT_ACT
244.584946	1.933	INT_OTHER
246.518278	2.332	EXT_REP
248.850126	3.849	INT_ACT
252.699296	0.629	INT_OBJ
253.327868	0.259	INT_ACT
253.587278	4.439	EXT_REP
258.026227	6.475	INT_ACT
264.500758	4.698	INT_PERSON
269.198707	6.1	INT_ACT
308	11	stimPicChoice
319	5	stimCuePic
324	118.2	AB_5yr
326.943149	6.386	INT_TIME
333.329505	1.129	INT_PERSON
334.458433	4.282	INT_ACT
338.740099	1.437	INT_PERSON
340.177595	2.459	INT_PLACE
342.636721	2.837	INT_PERSON
345.473598	3.07	EXT_SEM
348.543741	0.753	INT_PERSON
349.296737	2.277	INT_OTHER
351.573503	7.303	INT_ACT
358.876915	4.193	INT_PERSON
363.069705	3.807	INT_PLACE
366.876484	4.664	INT_PERSON
371.540785	8.625	INT_ACT
380.166165	7.036	INT_PLACE
387.202329	3.194	INT_ACT
390.396028	5.152	EXT_REP
395.547594	1.405	INT_PLACE
396.953093	7.235	INT_PERSON
404.187967	3.535	INT_OTHER
407.723112	6.797	INT_ACT
414.519639	10.726	EXT_SEM
425.24601	9.51	INT_ACT
434.755623	3.027	INT_OBJ
437.782673	0.718	INT_PLACE
438.50104	0.821	EXT_REP
439.322178	2.141	INT_OTHER
