onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-1
0.8661	0	1	TRIGGER	3.1416	-1
1.7494	0	2	TRIGGER	3.1416	-1
2.1827	2.1727	2	DOT_FLIP	N/A	1
2.6161	0	3	TRIGGER	3.1416	-1
2.5828	0.1833	3	KEYPRESS	0.4101	1
3.2828	1.0975	3	DOT_FLIP	N/A	0
3.4995	0	4	TRIGGER	3.1416	-1
3.6994	0.1667	4	KEYPRESS	0.4293	1
4.3660	0	5	TRIGGER	3.1416	0
5.2489	0	6	TRIGGER	3.1416	0
6.1155	0	7	TRIGGER	3.1416	0
6.2322	2.9514	7	DOT_FLIP	N/A	1
6.5657	0.1332	7	KEYPRESS	0.3441	1
6.9822	0	8	TRIGGER	3.1416	0
7.8655	0	9	TRIGGER	3.1416	0
8.2488	2.0156	9	DOT_FLIP	N/A	0
8.5488	0.1667	9	KEYPRESS	0.3117	1
8.7489	0	10	TRIGGER	3.1416	0
9.1155	0.8735	10	DOT_FLIP	N/A	1
9.6156	0	11	TRIGGER	3.1416	0
9.4656	0.1835	11	KEYPRESS	0.3549	1
10.4815	0	12	TRIGGER	3.1416	0
11.3483	2.2364	12	DOT_FLIP	N/A	0
11.3648	0	13	TRIGGER	3.1416	0
11.6482	0.1835	13	KEYPRESS	0.3012	1
12.2316	0	14	TRIGGER	3.1416	0
13.1151	0	15	TRIGGER	3.1416	0
13.4316	2.0747	15	DOT_FLIP	N/A	1
13.7317	0.1665	15	KEYPRESS	0.3100	1
13.9816	0	16	TRIGGER	3.1416	0
14.7815	1.3467	16	DOT_FLIP	N/A	0
14.8482	0	17	TRIGGER	3.4081	0
15.1316	0.1494	17	KEYPRESS	0.3632	1
15.7311	0	18	TRIGGER	3.6854	0
15.9144	1.1416	18	DOT_FLIP	N/A	1
16.2311	0.1666	18	KEYPRESS	0.3211	1
16.5978	0	19	TRIGGER	3.9577	0
17.4811	0	20	TRIGGER	4.2352	0
17.5144	1.6010	20	DOT_FLIP	N/A	0
17.9144	0.1500	20	KEYPRESS	0.4035	1
18.3477	0	21	TRIGGER	4.5075	0
19.2309	0	22	TRIGGER	4.7849	0
20.1030	0	23	TRIGGER	5.0589	0
20.2804	2.7620	23	DOT_FLIP	N/A	1
20.5971	0.1500	23	KEYPRESS	0.3242	1
20.9806	0	24	TRIGGER	5.3346	0
21.5472	1.2690	24	DOT_FLIP	N/A	0
21.8472	0	25	TRIGGER	5.6069	0
21.8805	0.1333	25	KEYPRESS	0.3386	1
22.3805	0.8338	25	DOT_FLIP	N/A	1
22.7138	0	26	TRIGGER	5.8791	0
22.7523	0.1449	26	KEYPRESS	0.3766	1
23.5982	0	27	TRIGGER	6.1570	0
24.3472	1.9619	27	DOT_FLIP	N/A	0
24.4638	0	28	TRIGGER	0.1457	1
24.7138	0.1555	28	KEYPRESS	0.3762	1
25.3466	0	29	TRIGGER	0.4230	1
26.2132	0	30	TRIGGER	0.6953	1
26.6134	2.2610	30	DOT_FLIP	N/A	1
26.9300	0.1500	30	KEYPRESS	0.3314	1
27.1133	0	31	TRIGGER	0.9781	1
27.9514	1.3499	31	DOT_FLIP	N/A	0
27.9633	0	32	TRIGGER	1.2451	1
28.2800	0.1333	32	KEYPRESS	0.3315	1
28.8464	0	33	TRIGGER	1.5226	1
29.7133	0	34	TRIGGER	1.7949	1
29.8466	1.8968	34	DOT_FLIP	N/A	1
30.1467	0.1826	34	KEYPRESS	0.3014	1
30.5793	0	35	TRIGGER	2.0669	1
31.4627	0	36	TRIGGER	2.3445	1
31.7460	1.8978	36	DOT_FLIP	N/A	0
32.0794	0.1500	36	KEYPRESS	0.3362	1
32.3294	0	37	TRIGGER	2.6167	1
33.2128	0	38	TRIGGER	2.8943	1
34.0794	0	39	TRIGGER	3.1665	1
34.3960	2.6441	39	DOT_FLIP	N/A	1
34.7460	0.1333	39	KEYPRESS	0.3587	1
34.9461	0	40	TRIGGER	3.4388	1
35.8289	0	41	TRIGGER	3.7161	1
36.7122	2.3137	41	DOT_FLIP	N/A	0
36.7122	0	42	TRIGGER	3.9937	1
37.0455	0.1333	42	KEYPRESS	0.3445	1
37.5790	0	43	TRIGGER	4.2660	1
38.1121	1.3988	43	DOT_FLIP	N/A	1
38.4790	0	44	TRIGGER	4.5487	1
38.4455	0.1167	44	KEYPRESS	0.3458	1
39.3288	0	45	TRIGGER	4.8157	1
40.1288	2.0262	45	DOT_FLIP	N/A	0
40.1955	0	46	TRIGGER	5.0880	1
40.4615	0.1333	46	KEYPRESS	0.3356	1
41.0782	0	47	TRIGGER	5.3653	1
41.9448	0	48	TRIGGER	5.6375	1
42.8283	0	49	TRIGGER	5.9151	1
42.9950	2.8687	49	DOT_FLIP	N/A	1
43.3282	0.1501	49	KEYPRESS	0.3336	1
43.6950	0	50	TRIGGER	6.1874	1
44.5616	1.5556	50	DOT_FLIP	N/A	0
44.5783	0	51	TRIGGER	0.1817	2
44.8783	0.1500	51	KEYPRESS	0.3280	1
45.4443	0	52	TRIGGER	0.4537	2
46.3110	0	53	TRIGGER	0.7260	2
46.5110	1.9447	53	DOT_FLIP	N/A	1
46.8277	0.1333	53	KEYPRESS	0.3328	1
47.1944	0	54	TRIGGER	1.0036	2
48.0610	0	55	TRIGGER	1.2758	2
48.9444	0	56	TRIGGER	1.5533	2
49.4777	2.9783	56	DOT_FLIP	N/A	0
49.8284	0	57	TRIGGER	1.8310	2
49.8111	0.1333	57	KEYPRESS	0.3378	1
50.6969	0	58	TRIGGER	2.1039	2
51.5605	0	59	TRIGGER	2.3752	2
52.1938	2.7123	59	DOT_FLIP	N/A	1
52.4437	0	60	TRIGGER	2.6527	2
52.5438	0.1332	60	KEYPRESS	0.3583	1
53.3105	0	61	TRIGGER	2.9250	2
54.1772	0	62	TRIGGER	3.1973	2
54.5438	2.3552	62	DOT_FLIP	N/A	0
54.8604	0.1334	62	KEYPRESS	0.3196	1
55.0605	0	63	TRIGGER	3.4748	2
55.9266	0	64	TRIGGER	3.7468	2
56.4599	1.9085	64	DOT_FLIP	N/A	1
56.8101	0	65	TRIGGER	4.0244	2
56.8433	0.1499	65	KEYPRESS	0.3941	1
57.6766	0	66	TRIGGER	4.2966	2
58.5611	0	67	TRIGGER	4.5745	2
58.6933	2.2343	67	DOT_FLIP	N/A	0
59.0433	0.1542	67	KEYPRESS	0.3597	1
59.4266	0	68	TRIGGER	4.8464	2
60.3093	0	69	TRIGGER	5.1237	2
60.8417	2.1554	69	DOT_FLIP	N/A	1
