onset	duration	 sample	trial_type	response_time	value
53.0098	0.1500	60	KEYPRESS	0.3276	1
53.3107	0	61	TRIGGER	2.2754	8
53.8764	1.1844	61	DOT_FLIP	N/A	0
54.1930	0	62	TRIGGER	3.3841	8
54.1460	0.1638	62	KEYPRESS	0.2795	1
55.0598	0	63	TRIGGER	4.4734	8
55.7931	1.9261	63	DOT_FLIP	N/A	1
55.9432	0	64	TRIGGER	5.5835	8
56.0944	0.1648	64	KEYPRESS	0.3019	1
56.8109	0	65	TRIGGER	0.3907	9
57.4592	1.6663	65	DOT_FLIP	N/A	0
57.6771	0	66	TRIGGER	1.4791	9
57.7110	0.1333	66	KEYPRESS	0.2521	1
58.5259	1.0612	66	DOT_FLIP	N/A	1
58.5609	0	67	TRIGGER	2.5897	9
58.8609	0.1340	67	KEYPRESS	0.3408	1
59.4278	0	68	TRIGGER	3.6792	9
60.2942	0	69	TRIGGER	4.7679	9
61.0416	2.5169	69	DOT_FLIP	N/A	0
61.1775	0	70	TRIGGER	5.8779	9
61.3276	0.1569	70	KEYPRESS	0.2906	1
62.0585	0	71	TRIGGER	0.7019	10
62.9276	0	72	TRIGGER	1.7940	10
63.2085	2.1593	72	DOT_FLIP	N/A	1
63.5276	0.1333	72	KEYPRESS	0.3312	1
63.7942	0	73	TRIGGER	2.8830	10
64.6775	0	74	TRIGGER	3.9929	10
65.5441	0	75	TRIGGER	5.0820	10
65.4085	0.1690	75	KEYPRESS	2.2122	1
65.7085	2.5030	75	DOT_FLIP	N/A	0
66.0274	0.1805	75	KEYPRESS	0.3281	1
66.4274	0	76	TRIGGER	6.1919	10
66.8080	1.1018	76	DOT_FLIP	N/A	1
67.2918	0	77	TRIGGER	0.9951	11
67.1587	0.1717	77	KEYPRESS	0.3577	1
68.1754	0	78	TRIGGER	2.1054	11
69.0421	2.2328	78	DOT_FLIP	N/A	0
69.0421	0	79	TRIGGER	3.1945	11
69.3920	0.1500	79	KEYPRESS	0.3582	1
69.9254	0	80	TRIGGER	4.3045	11
70.7921	0	81	TRIGGER	5.3936	11
71.6583	0	82	TRIGGER	0.1989	12
71.8749	2.8296	82	DOT_FLIP	N/A	1
72.2082	0.1333	82	KEYPRESS	0.3447	1
72.5415	0	83	TRIGGER	1.3088	12
73.3248	1.4518	83	DOT_FLIP	N/A	0
73.4081	0	84	TRIGGER	2.3978	12
73.7249	0.1333	84	KEYPRESS	0.4096	1
74.2915	0	85	TRIGGER	3.5079	12
75.1581	0	86	TRIGGER	4.5969	12
75.6415	2.3258	86	DOT_FLIP	N/A	1
76.0248	0	87	TRIGGER	5.6860	12
75.9415	0.1496	87	KEYPRESS	0.3004	1
76.7578	1.1083	87	DOT_FLIP	N/A	0
76.9077	0	88	TRIGGER	0.5123	13
77.1246	0.1331	88	KEYPRESS	0.3753	1
77.7910	0	89	TRIGGER	1.6223	13
78.5965	1.8387	89	DOT_FLIP	N/A	1
78.6577	0	90	TRIGGER	2.7114	13
78.8910	0.1500	90	KEYPRESS	0.3030	1
79.5244	0	91	TRIGGER	3.8006	13
80.4077	0	92	TRIGGER	4.9106	13
81.2738	0	93	TRIGGER	5.9989	13
81.5905	2.9959	93	DOT_FLIP	N/A	0
81.9238	0.1667	93	KEYPRESS	0.3399	1
82.1571	0	94	TRIGGER	0.8258	14
82.5294	0.9235	94	DOT_FLIP	N/A	1
83.0238	0	95	TRIGGER	1.9148	14
82.9071	0.1666	95	KEYPRESS	0.3997	1
83.5924	1.0824	95	DOT_FLIP	N/A	0
83.8905	0	96	TRIGGER	3.0040	14
84.0071	0.1189	96	KEYPRESS	0.4173	1
84.7738	0	97	TRIGGER	4.1140	14
85.0738	1.4718	97	DOT_FLIP	N/A	1
85.3738	0.1333	97	KEYPRESS	0.3121	1
85.6405	0	98	TRIGGER	5.2031	14
86.2066	1.1388	98	DOT_FLIP	N/A	0
86.5232	0	99	TRIGGER	0.0292	15
86.5566	0.1334	99	KEYPRESS	0.3561	1
87.3900	0	100	TRIGGER	1.1184	15
87.4566	1.2543	100	DOT_FLIP	N/A	1
87.7901	0.1332	100	KEYPRESS	0.3353	1
88.2733	0	101	TRIGGER	2.2283	15
89.1399	0	102	TRIGGER	3.3174	15
89.7066	2.2393	102	DOT_FLIP	N/A	0
89.5399	0.1666	102	KEYPRESS	2.0851	1
90.0233	0	103	TRIGGER	4.4275	15
90.8899	0	104	TRIGGER	5.5165	15
90.9399	1.2332	104	DOT_FLIP	N/A	1
91.2721	0.1338	104	KEYPRESS	0.3448	1
91.7727	0	105	TRIGGER	0.3426	16
92.6393	0	106	TRIGGER	1.4317	16
93.1726	2.2341	106	DOT_FLIP	N/A	0
93.5237	0	107	TRIGGER	2.5430	16
93.5060	0.1501	107	KEYPRESS	0.3447	1
94.3893	0	108	TRIGGER	3.6308	16
95.2560	0	109	TRIGGER	4.7199	16
95.9893	2.8158	109	DOT_FLIP	N/A	1
96.1387	0	110	TRIGGER	5.8292	16
96.2720	0.1334	110	KEYPRESS	0.2949	1
97.0055	0	111	TRIGGER	0.6352	17
97.7221	1.7414	111	DOT_FLIP	N/A	0
97.8888	0	112	TRIGGER	1.7452	17
98.0721	0.1333	112	KEYPRESS	0.3536	1
98.7555	0	113	TRIGGER	2.8343	17
99.6387	0	114	TRIGGER	3.9442	17
100.1721	2.4397	114	DOT_FLIP	N/A	1
100.5055	0	115	TRIGGER	5.0334	17
100.5388	0.1000	115	KEYPRESS	0.3806	1
101.3881	0	116	TRIGGER	6.1426	17
102.2549	0	117	TRIGGER	0.9487	18
102.8549	2.6810	117	DOT_FLIP	N/A	0
103.1271	0	118	TRIGGER	2.0447	18
103.1549	0.1333	118	KEYPRESS	0.3157	1
104.0049	0	119	TRIGGER	3.1477	18
104.8715	2.0319	119	DOT_FLIP	N/A	1
104.8715	0	120	TRIGGER	4.2368	18
105.1549	0.1333	120	KEYPRESS	0.2838	1
105.7549	0	121	TRIGGER	5.3468	18
106.0216	1.1379	121	DOT_FLIP	N/A	0
106.4376	0.1500	121	KEYPRESS	0.4286	1
106.6209	0	122	TRIGGER	0.1520	19
107.5043	0	123	TRIGGER	1.2621	19
107.9377	1.9250	123	DOT_FLIP	N/A	1
108.3710	0	124	TRIGGER	2.3512	19
108.2211	0.1832	124	KEYPRESS	0.2871	1
109.2377	0	125	TRIGGER	3.4404	19
109.9211	1.9828	125	DOT_FLIP	N/A	0
110.1210	0	126	TRIGGER	4.5503	19
110.2214	0.1329	126	KEYPRESS	0.3047	1
110.9877	0	127	TRIGGER	5.6394	19
111.8704	0	128	TRIGGER	0.4655	20
112.7038	2.7790	128	DOT_FLIP	N/A	1
112.7371	0	129	TRIGGER	1.5546	20
113.0204	0.1501	129	KEYPRESS	0.3247	1
113.6204	0	130	TRIGGER	2.6646	20
114.4871	0	131	TRIGGER	3.7538	20
114.5904	1.8748	131	DOT_FLIP	N/A	0
114.9205	0.1333	131	KEYPRESS	0.3499	1
115.3704	0	132	TRIGGER	4.8637	20
116.2365	0	133	TRIGGER	5.9520	20
116.6699	2.0908	133	DOT_FLIP	N/A	1
117.1198	0	134	TRIGGER	0.7788	21
117.0032	0.1500	134	KEYPRESS	0.3419	1
117.9871	0	135	TRIGGER	1.8687	21
118.8531	0	136	TRIGGER	2.9569	21
119.5866	2.9110	136	DOT_FLIP	N/A	0
119.7366	0	137	TRIGGER	4.0672	21
119.8532	0.1667	137	KEYPRESS	0.2808	1
120.6032	0	138	TRIGGER	5.1562	21
121.1700	0.1659	138	KEYPRESS	1.5976	1
121.4859	0	139	TRIGGER	6.2654	21
121.8027	2.2166	139	DOT_FLIP	N/A	1
122.1529	0.1498	139	KEYPRESS	0.3638	1
122.3527	0	140	TRIGGER	1.0715	22
123.2359	0	141	TRIGGER	2.1814	22
123.7694	1.9673	141	DOT_FLIP	N/A	0
124.1036	0	142	TRIGGER	3.2718	22
124.0858	0.1501	142	KEYPRESS	0.3294	1
124.9861	0	143	TRIGGER	4.3807	22
125.8584	0	144	TRIGGER	5.4769	22
126.2520	2.4817	144	DOT_FLIP	N/A	1
126.7188	0	145	TRIGGER	0.2749	23
126.6021	0.1500	145	KEYPRESS	0.3641	1
127.6021	0	146	TRIGGER	1.3850	23
128.4688	0	147	TRIGGER	2.4740	23
128.5854	2.3385	147	DOT_FLIP	N/A	0
128.8688	0.1500	147	KEYPRESS	0.2922	1
129.3521	0	148	TRIGGER	3.5840	23
130.2188	0	149	TRIGGER	4.6732	23
131.0354	2.4564	149	DOT_FLIP	N/A	1
131.1021	0	150	TRIGGER	5.7832	23
131.3682	0.1667	150	KEYPRESS	0.3352	1
131.9683	0	151	TRIGGER	0.5884	24
132.8516	0	152	TRIGGER	1.6985	24
133.1682	2.1317	152	DOT_FLIP	N/A	0
133.5515	0.1500	152	KEYPRESS	0.3869	1
133.7187	0	153	TRIGGER	2.7881	24
134.5848	0	154	TRIGGER	3.8765	24
135.1515	1.9828	154	DOT_FLIP	N/A	1
