onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8589	0	1	TRIGGER	3.1416	-3
1.7261	0	2	TRIGGER	3.1416	-2
2.3594	2.3523	2	DOT_FLIP	N/A	1
2.6095	0	3	TRIGGER	3.1416	-2
2.8089	0.1667	3	KEYPRESS	0.4566	1
3.4755	0	4	TRIGGER	3.1416	-2
4.2422	1.8838	4	DOT_FLIP	N/A	0
4.3579	0	5	TRIGGER	3.1416	-2
4.5422	0.1666	5	KEYPRESS	0.3061	1
5.2256	0	6	TRIGGER	3.1416	-2
6.1087	0	7	TRIGGER	3.1416	-2
6.3922	2.1436	7	DOT_FLIP	N/A	1
6.6781	0.1475	7	KEYPRESS	0.2985	1
6.9756	0	8	TRIGGER	3.1416	-1
7.8582	0	9	TRIGGER	3.1416	-1
8.2584	1.8725	9	DOT_FLIP	N/A	0
8.5417	0.1550	9	KEYPRESS	0.2895	1
8.7250	0	10	TRIGGER	3.1416	-1
9.5917	0	11	TRIGGER	3.1416	-1
10.4750	0	12	TRIGGER	3.1416	-1
10.9417	2.6789	12	DOT_FLIP	N/A	1
11.3464	0	13	TRIGGER	3.1416	-1
11.2083	0.1667	13	KEYPRESS	0.2773	1
12.2244	0	14	TRIGGER	3.1416	0
13.0911	0	15	TRIGGER	3.1416	0
13.7411	2.8063	15	DOT_FLIP	N/A	0
13.9744	0	16	TRIGGER	3.1416	0
14.0245	0.1666	16	KEYPRESS	0.2872	1
14.8410	0	17	TRIGGER	4.1984	0
15.3911	1.6477	17	DOT_FLIP	N/A	1
15.7244	0	18	TRIGGER	5.3086	0
15.6966	0.1612	18	KEYPRESS	0.3114	1
16.5911	0	19	TRIGGER	0.1145	1
17.4577	0	20	TRIGGER	1.2035	1
18.3406	2.9459	20	DOT_FLIP	N/A	0
18.3406	0	21	TRIGGER	2.3129	1
18.6072	0.1718	21	KEYPRESS	0.2761	1
19.2072	0	22	TRIGGER	3.4020	1
20.0906	0	23	TRIGGER	4.5120	1
20.9572	0	24	TRIGGER	5.6011	1
21.0739	2.7324	24	DOT_FLIP	N/A	1
21.3572	0.1666	24	KEYPRESS	0.2938	1
21.8405	0	25	TRIGGER	0.4279	2
22.7113	0	26	TRIGGER	1.5222	2
23.1400	2.0653	26	DOT_FLIP	N/A	0
23.5902	0	27	TRIGGER	2.6267	2
23.4567	0.1834	27	KEYPRESS	0.3280	1
24.4566	0	28	TRIGGER	3.7154	2
25.3234	0	29	TRIGGER	4.8046	2
26.0893	2.9588	29	DOT_FLIP	N/A	1
26.2067	0	30	TRIGGER	5.9146	2
26.4068	0.1655	30	KEYPRESS	0.3193	1
27.0734	0	31	TRIGGER	0.7206	3
27.8056	1.7026	31	DOT_FLIP	N/A	0
27.9559	0	32	TRIGGER	1.8296	3
28.1060	0.1667	32	KEYPRESS	0.3158	1
28.8227	0	33	TRIGGER	2.9187	3
28.8561	1.0512	33	DOT_FLIP	N/A	1
29.1939	0.1622	33	KEYPRESS	0.3525	1
29.7059	0	34	TRIGGER	4.0286	3
30.5744	0	35	TRIGGER	5.1201	3
30.6732	1.8226	35	DOT_FLIP	N/A	0
31.0227	0.1666	35	KEYPRESS	0.3588	1
31.4560	0	36	TRIGGER	6.2278	3
32.3227	0	37	TRIGGER	1.0338	4
33.0055	2.3268	37	DOT_FLIP	N/A	1
33.1888	0	38	TRIGGER	2.1222	4
33.3555	0.1667	38	KEYPRESS	0.3648	1
34.0722	0	39	TRIGGER	3.2324	4
34.9389	0	40	TRIGGER	4.3214	4
35.1889	2.1902	40	DOT_FLIP	N/A	0
35.5222	0.1833	40	KEYPRESS	0.3412	1
35.8222	0	41	TRIGGER	5.4314	4
36.6889	0	42	TRIGGER	0.2373	5
37.5717	0	43	TRIGGER	1.3468	5
37.7221	2.5365	43	DOT_FLIP	N/A	1
38.1048	0.1666	43	KEYPRESS	0.3874	1
38.4381	0	44	TRIGGER	2.4355	5
38.7381	1.0176	44	DOT_FLIP	N/A	0
39.3210	0	45	TRIGGER	3.5450	5
40.1881	0	46	TRIGGER	4.6346	5
41.0546	0	47	TRIGGER	5.7235	5
41.4379	2.6950	47	DOT_FLIP	N/A	1
41.7874	0.1340	47	KEYPRESS	0.3574	1
41.9543	0	48	TRIGGER	0.5709	6
42.8043	0	49	TRIGGER	1.6390	6
43.6877	0	50	TRIGGER	2.7491	6
44.1210	2.6907	50	DOT_FLIP	N/A	0
44.4208	0.1335	50	KEYPRESS	0.3002	1
44.5921	0	51	TRIGGER	3.8857	6
45.4210	0	52	TRIGGER	4.9273	6
46.3044	0	53	TRIGGER	6.0373	6
46.5210	2.3850	53	DOT_FLIP	N/A	1
46.8377	0.1668	53	KEYPRESS	0.3320	1
47.1710	0	54	TRIGGER	0.8432	7
47.4877	0.9730	54	DOT_FLIP	N/A	0
