onset	duration	 sample	trial_type	response_time	value
0	0	0	TRIGGER	0	-3
0.8833	0	1	TRIGGER	3.1416	-3
1.7494	0	2	TRIGGER	3.1416	-2
2.6160	0	3	TRIGGER	3.1416	-2
2.6661	2.6493	3	DOT_FLIP	N/A	1
3.0319	0.1671	3	KEYPRESS	0.3826	1
3.4994	0	4	TRIGGER	3.1416	-2
4.3830	0	5	TRIGGER	3.1416	-2
4.4495	1.7954	5	DOT_FLIP	N/A	0
4.7661	0.1833	5	KEYPRESS	0.3214	1
5.2494	0.8007	5	DOT_FLIP	N/A	1
5.2494	0	6	TRIGGER	3.1416	-2
5.6661	0.1999	6	KEYPRESS	0.4207	1
6.1161	0	7	TRIGGER	3.1416	-2
6.9988	0	8	TRIGGER	3.1416	-1
7.3655	2.1135	8	DOT_FLIP	N/A	0
7.6154	0.1501	8	KEYPRESS	0.2564	1
7.8646	0	9	TRIGGER	3.1416	-1
8.2492	0.8777	9	DOT_FLIP	N/A	1
8.7488	0	10	TRIGGER	3.1416	-1
8.5823	0.1999	10	KEYPRESS	0.3457	1
9.2988	1.0548	10	DOT_FLIP	N/A	0
9.6321	0	11	TRIGGER	3.1416	-1
9.5988	0.1667	11	KEYPRESS	0.3073	1
10.4987	0	12	TRIGGER	3.1416	-1
11.3649	0	13	TRIGGER	3.1416	-1
11.4483	2.1433	13	DOT_FLIP	N/A	1
11.7149	0.1667	13	KEYPRESS	0.2802	1
12.2484	0	14	TRIGGER	3.1416	0
12.8483	1.4129	14	DOT_FLIP	N/A	0
13.1149	0	15	TRIGGER	3.1416	0
13.1481	0.1502	15	KEYPRESS	0.3005	1
13.9813	0	16	TRIGGER	3.1416	0
14.1815	1.3226	16	DOT_FLIP	N/A	1
14.4982	0.1668	16	KEYPRESS	0.3279	1
14.8649	0	17	TRIGGER	4.2285	0
15.7316	0	18	TRIGGER	5.3176	0
16.4143	2.2381	18	DOT_FLIP	N/A	0
16.6144	0	19	TRIGGER	0.1437	1
16.7476	0.1668	19	KEYPRESS	0.3393	1
17.4810	0	20	TRIGGER	1.2328	1
18.1977	1.7824	20	DOT_FLIP	N/A	1
18.3646	0	21	TRIGGER	2.3431	1
18.4810	0.1500	21	KEYPRESS	0.2903	1
19.2310	0	22	TRIGGER	3.4319	1
19.5643	0.2167	22	KEYPRESS	1.3736	1
20.1146	0	23	TRIGGER	4.5423	1
20.9810	0	24	TRIGGER	5.6310	1
21.0815	2.8828	24	DOT_FLIP	N/A	0
21.2311	0.1326	24	KEYPRESS	0.1575	1
21.8472	0	25	TRIGGER	0.4363	2
22.2138	1.1305	25	DOT_FLIP	N/A	1
22.5471	0.1500	25	KEYPRESS	0.3431	1
22.7306	0	26	TRIGGER	1.5464	2
23.5972	0	27	TRIGGER	2.6354	2
24.4805	0	28	TRIGGER	3.7454	2
24.8799	2.6748	28	DOT_FLIP	N/A	0
25.1305	0.1501	28	KEYPRESS	0.2516	1
25.3472	0	29	TRIGGER	4.8345	2
26.1305	1.2466	29	DOT_FLIP	N/A	1
26.2303	0	30	TRIGGER	5.9443	2
26.4795	0.1838	30	KEYPRESS	0.3540	1
27.0653	0.9281	30	DOT_FLIP	N/A	0
27.0955	0	31	TRIGGER	0.7483	3
27.4966	0.1833	31	KEYPRESS	0.4430	1
27.9633	0	32	TRIGGER	1.8388	3
28.8466	0	33	TRIGGER	2.9488	3
28.8698	1.7993	33	DOT_FLIP	N/A	1
29.1466	0.1834	33	KEYPRESS	0.2937	1
29.7133	0	34	TRIGGER	4.0379	3
30.5966	0	35	TRIGGER	5.1479	3
30.7133	1.8598	35	DOT_FLIP	N/A	0
31.1467	0.1677	35	KEYPRESS	0.4340	1
31.4627	0	36	TRIGGER	6.2363	3
32.3460	0	37	TRIGGER	1.0632	4
32.7127	1.9971	37	DOT_FLIP	N/A	1
32.9961	0.2000	37	KEYPRESS	0.2863	1
33.2125	0	38	TRIGGER	2.1520	4
33.5516	0.8342	38	DOT_FLIP	N/A	0
33.8959	0.1668	38	KEYPRESS	0.3520	1
34.1127	0	39	TRIGGER	3.2832	4
34.9627	0	40	TRIGGER	4.3513	4
35.1627	1.6132	40	DOT_FLIP	N/A	1
35.4794	0.1833	40	KEYPRESS	0.3222	1
35.8460	0	41	TRIGGER	5.4613	4
36.7121	0	42	TRIGGER	0.2665	5
37.5954	0	43	TRIGGER	1.3765	5
38.0455	2.8726	43	DOT_FLIP	N/A	0
38.4621	0	44	TRIGGER	2.4657	5
38.3455	0.1500	44	KEYPRESS	0.3157	1
39.3288	0	45	TRIGGER	3.5548	5
40.2121	0	46	TRIGGER	4.6648	5
40.6621	2.6192	46	DOT_FLIP	N/A	1
41.0788	0	47	TRIGGER	5.7539	5
41.0455	0.2166	47	KEYPRESS	0.3965	1
41.9615	1.2968	47	DOT_FLIP	N/A	0
41.9615	0	48	TRIGGER	0.5799	6
42.3115	0.1667	48	KEYPRESS	0.3657	1
42.8282	0	49	TRIGGER	1.6691	6
43.7117	0	50	TRIGGER	2.7793	6
43.9949	2.0461	50	DOT_FLIP	N/A	1
44.3949	0.1832	50	KEYPRESS	0.4029	1
44.6008	0	51	TRIGGER	3.8965	6
45.4504	0	52	TRIGGER	4.9642	6
45.8783	1.8706	52	DOT_FLIP	N/A	0
46.3283	0	53	TRIGGER	6.0674	6
46.2116	0.1660	53	KEYPRESS	0.3490	1
47.1944	0	54	TRIGGER	0.8726	7
47.9277	2.0511	54	DOT_FLIP	N/A	1
48.0777	0	55	TRIGGER	1.9826	7
48.3277	0.1667	55	KEYPRESS	0.4139	1
48.9444	0	56	TRIGGER	3.0717	7
49.8277	0	57	TRIGGER	4.1817	7
50.0610	2.1467	57	DOT_FLIP	N/A	0
50.4110	0.1834	57	KEYPRESS	0.3506	1
50.6943	0	58	TRIGGER	5.2708	7
51.5771	0	59	TRIGGER	0.0968	8
52.0604	0.1860	59	KEYPRESS	2.0001	1
52.4438	0	60	TRIGGER	1.1860	8
52.9604	2.8888	60	DOT_FLIP	N/A	1
53.3105	0	61	TRIGGER	2.2751	8
53.2604	0.2000	61	KEYPRESS	0.3112	1
54.1938	0	62	TRIGGER	3.3851	8
54.3104	1.3597	62	DOT_FLIP	N/A	0
54.6938	0.1833	62	KEYPRESS	0.3850	1
55.0605	0	63	TRIGGER	4.4742	8
55.9438	0	64	TRIGGER	5.5842	8
56.5428	2.2242	64	DOT_FLIP	N/A	1
56.8118	0	65	TRIGGER	0.3919	9
56.9266	0.1667	65	KEYPRESS	0.3935	1
57.6931	0	66	TRIGGER	1.4993	9
58.4933	1.9580	66	DOT_FLIP	N/A	0
58.5599	0	67	TRIGGER	2.5886	9
58.8432	0.1834	67	KEYPRESS	0.3522	1
59.4433	0	68	TRIGGER	3.6986	9
59.6599	1.1578	68	DOT_FLIP	N/A	1
60.0091	0.1842	68	KEYPRESS	0.3602	1
60.3154	0	69	TRIGGER	4.7946	9
61.1766	0	70	TRIGGER	5.8768	9
61.4426	1.7815	70	DOT_FLIP	N/A	0
61.8259	0.1668	70	KEYPRESS	0.3956	1
62.0593	0	71	TRIGGER	0.7028	10
62.9260	0	72	TRIGGER	1.7919	10
63.1259	1.6940	72	DOT_FLIP	N/A	1
63.4260	0.1667	72	KEYPRESS	0.3017	1
63.8093	0	73	TRIGGER	2.9020	10
64.5927	1.4592	73	DOT_FLIP	N/A	0
64.6761	0	74	TRIGGER	3.9912	10
64.8927	0.1667	74	KEYPRESS	0.3091	1
65.5592	0	75	TRIGGER	5.1010	10
66.4254	0	76	TRIGGER	6.1894	10
67.3088	0	77	TRIGGER	1.0163	11
67.3924	2.8055	77	DOT_FLIP	N/A	1
67.7088	0.1833	77	KEYPRESS	0.3197	1
68.1755	0	78	TRIGGER	2.1054	11
69.0421	0	79	TRIGGER	3.1944	11
69.8587	2.4665	79	DOT_FLIP	N/A	0
69.9254	0	80	TRIGGER	4.3045	11
70.1588	0.1833	80	KEYPRESS	0.3032	1
70.7921	0	81	TRIGGER	5.3937	11
71.1921	1.3299	81	DOT_FLIP	N/A	1
71.6793	0	82	TRIGGER	0.2253	12
71.6081	0.1672	82	KEYPRESS	0.4226	1
72.5416	0	83	TRIGGER	1.3089	12
73.4247	0	84	TRIGGER	2.4187	12
74.0416	2.8427	84	DOT_FLIP	N/A	0
74.2916	0	85	TRIGGER	3.5080	12
74.3582	0.1666	85	KEYPRESS	0.3300	1
75.1582	0	86	TRIGGER	4.5970	12
75.5587	1.5211	86	DOT_FLIP	N/A	1
76.0416	0	87	TRIGGER	5.7072	12
75.9074	0.1675	87	KEYPRESS	0.3580	1
76.9068	0	88	TRIGGER	0.5112	13
77.7913	0	89	TRIGGER	1.6226	13
78.2410	2.6897	89	DOT_FLIP	N/A	0
78.6577	0	90	TRIGGER	2.7115	13
78.5410	0.1834	90	KEYPRESS	0.3019	1
79.5410	0	91	TRIGGER	3.8214	13
80.4076	0	92	TRIGGER	4.9105	13
80.9102	2.6626	92	DOT_FLIP	N/A	1
81.2911	0	93	TRIGGER	6.0206	13
81.2410	0.1668	93	KEYPRESS	0.3393	1
82.1571	0	94	TRIGGER	0.8257	14
82.7571	1.8393	94	DOT_FLIP	N/A	0
83.0404	0	95	TRIGGER	1.9357	14
83.0905	0.1518	95	KEYPRESS	0.3495	1
83.9071	0	96	TRIGGER	3.0248	14
84.5238	1.7790	96	DOT_FLIP	N/A	1
84.7738	0	97	TRIGGER	4.1139	14
84.8904	0.2000	97	KEYPRESS	0.3704	1
85.6571	0	98	TRIGGER	5.2239	14
86.5227	0	99	TRIGGER	0.0286	15
87.0898	2.5694	99	DOT_FLIP	N/A	0
87.4065	0	100	TRIGGER	1.1391	15
87.5069	0.1663	100	KEYPRESS	0.4175	1
88.2730	0	101	TRIGGER	2.2281	15
89.1565	0	102	TRIGGER	3.3383	15
89.7898	2.6849	102	DOT_FLIP	N/A	1
90.0231	0	103	TRIGGER	4.4273	15
