onset	duration	trial_type	category_nr	exemplar_nr	test_image_nr	things_category_nr	things_exemplar_nr	response_time	file_path
3.0	0.5	test	341	13	59.0	865.0	14.0	n/a	kazoo/kazoo_14s.jpg
7.5	0.5	exp	660	2	n/a	1696.0	2.0	n/a	tractor/tractor_02n.jpg
12.0	0.5	exp	159	2	n/a	384.0	2.0	n/a	coffin/coffin_02s.jpg
16.5	0.5	exp	547	2	n/a	1392.0	2.0	n/a	screwdriver/screwdriver_02s.jpg
21.0	0.5	exp	557	2	n/a	1423.0	2.0	n/a	shirt/shirt_02s.jpg
25.5	0.5	exp	47	2	n/a	115.0	2.0	n/a	beet/beet_02s.jpg
30.0	0.5	exp	329	2	n/a	829.0	2.0	n/a	inhaler/inhaler_02s.jpg
34.5	0.5	test	328	13	55.0	826.0	20.0	n/a	iguana/iguana_20s.jpg
39.0	0.5	exp	343	2	n/a	869.0	2.0	n/a	kettle/kettle_02s.jpg
43.5	0.5	exp	496	2	n/a	1240.0	2.0	n/a	pretzel/pretzel_02s.jpg
48.0	0.5	test	609	13	87.0	1572.0	13.0	n/a	streetlight/streetlight_13s.jpg
52.5	0.5	exp	327	2	n/a	825.0	2.0	n/a	icicle/icicle_02s.jpg
57.0	0.5	exp	443	2	n/a	1111.0	2.0	n/a	pantyhose/pantyhose_02s.jpg
61.5	0.5	catch	721	51	n/a	n/a	n/a	1.236	catch051.jpg
66.0	0.5	exp	514	2	n/a	1288.0	2.0	n/a	rattle/rattle_02s.jpg
70.5	0.5	test	405	13	67.0	1018.0	18.0	n/a	monkey/monkey_18n.jpg
75.0	0.5	exp	710	2	n/a	1829.0	2.0	n/a	wire/wire_02s.jpg
79.5	0.5	test	69	13	17.0	156.0	14.0	n/a	bobsled/bobsled_14s.jpg
84.0	0.5	exp	66	2	n/a	151.0	2.0	n/a	boa/boa_02s.jpg
88.5	0.5	exp	40	2	n/a	102.0	2.0	n/a	beaker/beaker_02s.jpg
93.0	0.5	exp	411	2	n/a	1026.0	2.0	n/a	motorcycle/motorcycle_02s.jpg
97.5	0.5	catch	721	62	n/a	n/a	n/a	1.323	catch062.jpg
102.0	0.5	exp	23	2	n/a	47.0	2.0	n/a	baby/baby_02s.jpg
106.5	0.5	exp	450	2	n/a	1129.0	2.0	n/a	pea/pea_02s.jpg
111.0	0.5	exp	494	2	n/a	1237.0	2.0	n/a	powder/powder_02s.jpg
115.5	0.5	test	325	13	54.0	811.0	16.0	n/a	hula/hula_hoop_16s.jpg
120.0	0.5	test	562	13	81.0	1438.0	13.0	n/a	shredder/shredder_13s.jpg
124.5	0.5	catch	721	82	n/a	n/a	n/a	1.321	catch082.jpg
129.0	0.5	exp	307	2	n/a	762.0	2.0	n/a	hay/hay_02s.jpg
133.5	0.5	exp	631	2	n/a	1629.0	2.0	n/a	tarp/tarp_02s.jpg
138.0	0.5	exp	629	2	n/a	1618.0	2.0	n/a	taillight/taillight_02s.jpg
142.5	0.5	exp	233	2	n/a	559.0	2.0	n/a	envelope/envelope_02s.jpg
147.0	0.5	exp	33	2	n/a	71.0	2.0	n/a	banner/banner_02s.jpg
151.5	0.5	exp	258	2	n/a	633.0	2.0	n/a	footprint/footprint_02s.jpg
156.0	0.5	exp	272	2	n/a	677.0	2.0	n/a	girl/girl_02s.jpg
160.5	0.5	exp	187	2	n/a	449.0	2.0	n/a	crown/crown_02s.jpg
165.0	0.5	exp	102	2	n/a	236.0	2.0	n/a	cactus/cactus_02s.jpg
169.5	0.5	catch	721	19	n/a	n/a	n/a	1.777	catch019.jpg
174.0	0.5	exp	470	2	n/a	1185.0	2.0	n/a	ping-pong_table/ping-pong_table_02s.jpg
178.5	0.5	exp	713	2	n/a	1833.0	2.0	n/a	woman/woman_02s.jpg
183.0	0.5	exp	624	2	n/a	1609.0	2.0	n/a	table/table_02s.jpg
187.5	0.5	exp	106	2	n/a	245.0	2.0	n/a	camcorder/camcorder_02s.jpg
192.0	0.5	exp	471	2	n/a	1186.0	2.0	n/a	pinwheel/pinwheel_02s.jpg
196.5	0.5	catch	721	92	n/a	n/a	n/a	0.829	catch092.jpg
201.0	0.5	exp	511	2	n/a	1278.0	2.0	n/a	railing/railing_02s.jpg
205.5	0.5	exp	353	2	n/a	894.0	2.0	n/a	lampshade/lampshade_02s.jpg
210.0	0.5	exp	582	2	n/a	1496.0	2.0	n/a	sombrero/sombrero_02s.jpg
214.5	0.5	exp	97	2	n/a	225.0	2.0	n/a	burner/burner_02s.jpg
219.0	0.5	exp	593	2	n/a	1524.0	2.0	n/a	sprinkler/sprinkler_02n.jpg
223.5	0.5	exp	197	2	n/a	477.0	2.0	n/a	deer/deer_02s.jpg
228.0	0.5	exp	461	2	n/a	1162.0	2.0	n/a	phone/phone_02s.jpg
232.5	0.5	exp	201	2	n/a	487.0	2.0	n/a	dice/dice_02s.jpg
237.0	0.5	exp	568	2	n/a	1456.0	2.0	n/a	ski_pole/ski_pole_02s.jpg
241.5	0.5	exp	379	2	n/a	959.0	2.0	n/a	magnifying_glass/magnifying_glass_02s.jpg
246.0	0.5	exp	627	2	n/a	1615.0	2.0	n/a	tadpole/tadpole_02s.jpg
250.5	0.5	exp	670	2	n/a	1722.0	2.0	n/a	trumpet/trumpet_02s.jpg
255.0	0.5	test	213	13	34.0	514.0	19.0	n/a	dough/dough_19s.jpg
259.5	0.5	exp	20	2	n/a	43.0	2.0	n/a	asparagus/asparagus_02n.jpg
264.0	0.5	exp	61	2	n/a	139.0	2.0	n/a	blender/blender_02s.jpg
268.5	0.5	exp	338	2	n/a	858.0	2.0	n/a	jukebox/jukebox_02s.jpg
273.0	0.5	catch	721	2	n/a	n/a	n/a	0.877	catch002.jpg
277.5	0.5	test	43	13	9.0	108.0	13.0	n/a	beaver/beaver_13n.jpg
282.0	0.5	exp	273	2	n/a	678.0	2.0	n/a	glass/glass_02s.jpg
286.5	0.5	exp	193	2	n/a	462.0	2.0	n/a	cupcake/cupcake_02s.jpg
291.0	0.5	exp	398	2	n/a	1000.0	2.0	n/a	microscope/microscope_02s.jpg
295.5	0.5	exp	640	2	n/a	1650.0	2.0	n/a	thimble/thimble_02s.jpg
300.0	0.5	catch	721	39	n/a	n/a	n/a	1.024	catch039.jpg
304.5	0.5	exp	86	2	n/a	204.0	2.0	n/a	broom/broom_02s.jpg
309.0	0.5	exp	299	2	n/a	741.0	2.0	n/a	hamburger/hamburger_02s.jpg
313.5	0.5	exp	123	2	n/a	284.0	2.0	n/a	cassette/cassette_02s.jpg
318.0	0.5	exp	116	2	n/a	263.0	2.0	n/a	canoe/canoe_02s.jpg
322.5	0.5	exp	39	2	n/a	100.0	2.0	n/a	beachball/beachball_02s.jpg
327.0	0.5	catch	721	91	n/a	n/a	n/a	1.106	catch091.jpg
331.5	0.5	exp	320	2	n/a	800.0	2.0	n/a	horseshoe/horseshoe_02s.jpg
336.0	0.5	exp	176	2	n/a	427.0	2.0	n/a	cow/cow_02s.jpg
340.5	0.5	exp	427	2	n/a	1070.0	2.0	n/a	oatmeal/oatmeal_02s.jpg
345.0	0.5	exp	304	2	n/a	747.0	2.0	n/a	handcuff/handcuff_02s.jpg
349.5	0.5	exp	499	2	n/a	1246.0	2.0	n/a	puck/puck_02s.jpg
354.0	0.5	exp	179	2	n/a	434.0	2.0	n/a	crate/crate_02s.jpg
358.5	0.5	exp	164	2	n/a	395.0	2.0	n/a	computer/computer_02s.jpg
363.0	0.5	catch	721	10	n/a	n/a	n/a	0.998	catch010.jpg
367.5	0.5	exp	293	2	n/a	721.0	2.0	n/a	guardrail/guardrail_02s.jpg
372.0	0.5	exp	42	2	n/a	106.0	2.0	n/a	bear/bear_02s.jpg
376.5	0.5	test	87	13	19.0	205.0	14.0	n/a	brownie/brownie_14s.jpg
381.0	0.5	exp	651	2	n/a	1675.0	2.0	n/a	tongs/tongs_02s.jpg
385.5	0.5	exp	109	2	n/a	249.0	2.0	n/a	camera2/camera2_02s.jpg
390.0	0.5	exp	717	2	n/a	1842.0	2.0	n/a	wrench/wrench_02s.jpg
394.5	0.5	catch	721	75	n/a	n/a	n/a	1.06	catch075.jpg
399.0	0.5	exp	198	2	n/a	478.0	2.0	n/a	defibrillator/defibrillator_02s.jpg
403.5	0.5	exp	477	2	n/a	1200.0	2.0	n/a	playing_card/playing_card_02s.jpg
408.0	0.5	exp	15	2	n/a	29.0	2.0	n/a	anvil/anvil_02s.jpg
412.5	0.5	exp	190	2	n/a	458.0	2.0	n/a	cucumber/cucumber_02s.jpg
