onset	duration	trial_type	correct	window1_response	window1_RT	window2_response	window2_RT	stim_file	calculated_response	calculated_accuracy	calculated_RT
1.0924	3.5	P_R	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/stereo_PR20.wav	n/a	0	n/a
4.595	4.235	P_O	1.0	n/a	n/a	1.0	1.58	Phon/Phon_run-02/PC034.wav	1.0	1	1.33
8.8325	3.375	P_R	1.0	n/a	n/a	1.0	1.6219999999999999	Phon/Phon_run-02/stereo_PR13.wav	1.0	1	1.372
12.2183	3.474	P_C	1.0	n/a	n/a	1.0	0.561	Phon/Phon_run-02/ContS12.wav	1.0	1	1.311
15.7041	3.875	P_U	2.0	n/a	n/a	2.0	1.8459999999999999	Phon/Phon_run-02/PM025.wav	2.0	1	1.596
19.5903	3.726	P_R	1.0	n/a	n/a	1.0	2.051	Phon/Phon_run-02/stereo_PR22.wav	1.0	1	1.8010000000000002
23.3263	3.451	P_O	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PC014.wav	n/a	0	n/a
26.7799	3.779	P_C	1.0	n/a	n/a	1.0	0.657	Phon/Phon_run-02/ContS02.wav	1.0	1	1.407
30.566	3.821	P_U	2.0	n/a	n/a	1.0	0.998	Phon/Phon_run-02/stereo_PU18.wav	1.0	0	0.748
34.402	3.49	P_U	2.0	n/a	n/a	1.0	1.8980000000000001	Phon/Phon_run-02/stereo_PU12.wav	1.0	0	1.648
37.9046	4.38	P_C	1.0	n/a	n/a	1.0	0.377	Phon/Phon_run-02/ContS32.wav	1.0	1	1.127
42.291000000000004	4.0969999999999995	P_R	1.0	n/a	n/a	1.0	1.889	Phon/Phon_run-02/stereo_PR16.wav	1.0	1	1.639
46.394	3.5	P_O	1.0	n/a	n/a	1.0	1.2790000000000001	Phon/Phon_run-02/PC022.wav	1.0	1	1.029
49.8966	4.0760000000000005	P_R	1.0	n/a	n/a	2.0	1.82	Phon/Phon_run-02/stereo_PR08.wav	2.0	0	1.57
53.983000000000004	3.5	P_O	1.0	n/a	n/a	n/a	n/a	Phon/Phon_run-02/PC028.wav	2.0	0	3.176
57.4856	3.5	P_U	2.0	2.0	0.6759999999999999	n/a	n/a	Phon/Phon_run-02/stereo_PU27.wav	n/a	0	n/a
60.9881	3.819	P_C	1.0	n/a	n/a	1.0	0.924	Phon/Phon_run-02/ContS06.wav	1.0	1	1.674
64.8086	4.25	P_O	1.0	n/a	n/a	2.0	2.7	Phon/Phon_run-02/PC031.wav	2.0	0	2.45
69.062	3.662	P_C	1.0	n/a	n/a	1.0	2.019	Phon/Phon_run-02/ContS36.wav	1.0	1	2.769
