onset	duration	Experiment - Geschichte_A1	Serial_no	Code	Condition	Onset_time	response	response_time	Accuracy	Bildh	EmoVal	Kompl	NatÌ_rlichk	Similarity	Arousal	Metaph	Buchstaben	WÌ¦rter	SÌ_tze	NebensÌ_tze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung	Metazahl	Summemit	Summeohne
1,617	26	01OD	1	999	99	1617	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
43,656	26	01OD	2	219	2	43656	keine	0	keine	4,066667	1	3,3125	5,6	5,733333	4,9375	2,625	306	55	6	3	2	0	0	3	7	1	3	0	0	25	25
91,7	8	01OD	3	333	3	91700	Ja	3720	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
108,737	26	01OD	4	211	2	108737	keine	0	keine	2,533333	-1,6	2,733333	5,066667	5,466667	2,5	1,5625	317	52	5	0	0	0	1	2	2	0	0	0	0	10	9
152,784	26	01OD	5	220	2	152784	keine	0	keine	3,2	-1,266667	3,933333	4,8	6	3,375	1,3125	235	47	4	2	0	1	1	2	5	2	6	0	0	23	25
198,817	8	01OD	6	333	3	198817	Nein	7323	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
212,849	26	01OD	7	108	1	212849	keine	0	keine	4,333333	-2,666667	3,4	4,6	5,333333	6,125	4,0625	572	102	4	1	0	1	2	2	5	1	3	0	7	26	19
262,894	26	01OD	8	227	2	262894	keine	0	keine	4,266667	2,625	3,25	4,866667	6	4	1,6875	359	66	5	1	0	0	1	1	9	0	3	0	0	20	19
307,927	26	01OD	9	229	2	307927	keine	0	keine	3,133333	1,125	3,375	4,733333	5,6	3,125	2,5	352	63	5	0	0	0	2	0	4	0	2	0	0	13	13
358,97	26	01OD	10	106	1	358970	keine	0	keine	4,133333	1,066667	2,866667	4,8	6,266667	4	3,75	431	74	4	1	0	1	2	2	4	2	3	0	6	25	19
400,014	26	01OD	11	213	2	400014	keine	0	keine	5,133333	-0,266667	2,25	3,866667	5,933333	3,3125	2,0625	231	34	4	2	0	0	2	3	7	3	3	0	0	24	23
447,061	26	01OD	12	104	1	447061	keine	0	keine	4	0,2	2,866667	3,8	5,8	4,8125	3,5625	212	40	6	0	0	1	2	2	6	0	3	0	6	26	20
495,094	8	01OD	13	333	3	495094	Nein	3992	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
511,133	26	01OD	14	102	1	511133	keine	0	keine	4,266667	0,866667	3,6	4,133333	5,933333	3,875	3,0625	288	47	7	0	1	0	4	2	3	0	4	0	7	28	21
560,167	26	01OD	15	103	1	560167	keine	0	keine	3,714286	-0,4	4,333333	4,8	5,466667	3,0625	3,6875	428	82	7	5	1	0	1	3	4	0	4	0	7	32	25
