onset	duration	Experiment - Satz_A2	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
185,705	4	01OD	28	350	######## ########## ##### ############ #### ## ######	3	185705	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
194,74	4	01OD	29	117	Die Firma hat sich einen finanziell gut aufgestellten Partner ausgesucht.	1	194740	keine	0	keine	2,94	4,25	0,8	4,58	2,79	64	10	5,789474	0	0	0	0	1	1	0	1	0
205,775	4	01OD	30	211	Der Sieg des LŠufers erzeugte riesige Medienaufmerksamkeit.	2	205775	keine	0	keine	4,59	4,2	-0,5	4,63	1,89	53	7	6,111111	0	0	0	1	1	1	0	0	0
211,816	4	01OD	31	334	#### ########### ############## ###### ### ##### ####	3	211816	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
216,85	4	01OD	32	244	Meine Tante hat ein gutes Herz, sie kocht ehrenamtlich fŸr Obdachlose.	2	216850	keine	0	keine	5,22	3,3	1	5,05	1,95	60	11	5,578947	1	0	0	1	2	1	0	0	0
227,89	6	01OD	33	408	Ging es gerade ums Kochen?	4	227890	Ja	2520	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
235,937	4	01OD	34	339	#### ### ########### ######### ### ####### ### ######### #### ### #####	3	235937	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
240,972	4	01OD	35	326	###### ####### ######### #### ### ################# ## #########	3	240972	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
249,011	4	01OD	36	122	Die Unternehmerin stand immer unter Druck.	1	249011	keine	0	keine	3,33	3,35	-0,6	5,05	2,95	37	6	4,157895	0	0	0	0	1	1	0	0	0
258,052	4	01OD	37	259	Stefanie war nervšs, aber die PrŠsentation war absolut perfekt.	2	258052	keine	0	keine	3,89	3	0,6	5,63	1,53	55	9	5,947368	1	0	0	0	1	1	0	0	0
264,087	4	01OD	38	150	Vokabeln verankern sich durch regelmŠ§iges †ben im Gehirn.	1	264087	keine	0	keine	3,33	3,8	1,4	5,05	3,63	51	8	6,263158	0	0	0	0	1	1	0	0	0
273,121	4	01OD	39	308	### ###### ### ########## ### ##########	3	273121	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
278,156	4	01OD	40	357	##### #### ############## ##### #### ######## #########	3	278156	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
289,196	4	01OD	41	230	Endlich war Ruhe zwischen den Streitenden.	2	289196	keine	0	keine	4	2,2	0,7	4,95	1,32	37	6	4,578947	0	0	0	1	1	1	0	0	0
297,237	4	01OD	42	305	### ### ##### #### ###### ############ ### ###### #####	3	297237	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
304,277	4	01OD	43	347	### #### ######## ###### ###### ### ###### ########## ###	3	304277	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
310,323	4	01OD	44	301	### ### ### ### ######## ##### ###### ### ####### ### ###########	3	310323	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
316,357	4	01OD	45	148	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst begraben.	1	316357	keine	0	keine	4,44	3,65	-0,2	4,95	3,89	57	9	6,736842	0	0	0	0	1	1	0	1	1
324,392	4	01OD	46	160	Diana  wollte alles hinter sich lassen und reiste nach Japan.	1	324392	keine	0	keine	4,44	4,65	-1,9	4,37	4,11	51	11	4,368421	1	0	0	0	1	0	0	0	0
333,432	4	01OD	47	157	Ingrids neue Kaffeemaschine bestach durch ihre einfache Bedienung.	1	333432	keine	0	keine	4,44	4,4	0,9	4,37	3,47	59	8	4,736842	0	0	0	1	1	0	0	0	0
338,467	6	01OD	48	409	Ging es im letzten Satz um Eiscreme?	4	338467	Nein	2110	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
350,513	4	01OD	49	318	### ######### #### ##### ######## ##### ######### ### ###	3	350513	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
360,559	4	01OD	50	262	Dieser Mann ist echt hŸbsch.	2	360559	keine	0	keine	5	4	2	5,454545	1,181818	23	5	6,181818	0	0	1	0	2	1	0	0	0
367,606	4	01OD	51	231	Es gibt gute Argumente fŸr Baumwolle statt Polyester.	2	367606	keine	0	keine	2,67	3,85	1,4	5,05	1,63	46	8	6	0	0	0	0	1	0	0	0	0
374,651	6	01OD	52	410	Ging es eben um Kleidungsstoffe?	4	374651	Ja	1951	correct	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
384,686	4	01OD	53	137	In Wien habe ich einen himmlischen Kaffee getrunken.	1	384686	keine	0	keine	5,83	5,35	-2,3	3,58	4,68	45	8	6,263158	0	0	0	0	1	1	0	0	0
391,727	4	01OD	54	239	Laut und unangenehm schallten die Stimmen der VerkŠufer Ÿber den Markt.	2	391727	keine	0	keine	4,89	2,25	0,4	4,26	2,68	61	11	4,157895	0	0	0	0	1	2	0	0	1
396,772	4	01OD	55	337	## #### #### ### ##### ########### ###### #########	3	396772	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
