onset	duration	Experiment - Satz_A	Serial_no	Code	Stimulus	Condition	Onset_time	response	response_time	Accuracy	Bildh	Arousal	EmoVal	Gebr	Metaph	Buchstaben	Wšrter	Similarity	NebensŠtze	Relative	Passiv	Komposita	Personen	Angaben	Konjunktive	analytF	Satzstellung
1,633	4	01OD	1	11	Ihm konnten nicht viele das Wasser reichen.	99	1633	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
6,673	4	01OD	2	21	Tanja wŸnschte sich ein Pony zum Geburtstag.	99	6673	keine	0	keine	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
11,711	6	01OD	3	401	Ging es eben um ein Geschenk?	4	11711	Ja	2865	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
18,758	4	01OD	4	246	Nach dem MissverstŠndnis war Ella jetzt in einer komplizierten Situation.	2	18758	keine	0	keine	2,89	4,9	-0,9	5,58	1,68	64	10	5,894737	0	0	0	1	1	2	0	0	0
24,797	4	01OD	5	248	Seine Hoffnungen auf Gesundheit hatte der Kranke lŠngst aufgegeben.	2	24797	keine	0	keine	3,44	4	-0,2	3,32	2,37	59	9	6,736842	0	0	0	0	1	1	0	1	1
34,831	4	01OD	6	359	###### ### ###### #### ### ########## ### ####### #######	3	34831	keine	0	keine	99	99	99	99	99	49	9	99	99	99	99	99	99	99	99	99	99
44,878	4	01OD	7	154	WŸtend schaltete der LangschlŠfer den dummen Wecker aus.	1	44878	keine	0	keine	5,89	3,9	1,2	5,26	3,58	49	8	5,263158	0	0	0	1	1	1	0	0	0
51,924	4	01OD	8	304	### ### #### ########### ############## ######## ### ###	3	51924	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
58,97	4	01OD	9	330	####### ### ######## ######## ### ###########	3	58970	keine	0	keine	99	99	99	99	99	40	6	99	99	99	99	99	99	99	99	99	99
70,015	4	01OD	10	112	Der Stoff des Matheunterrichts ist schwierig.	1	70015	keine	0	keine	2,89	4,5	-0,5	4,26	3,42	40	6	5,315789	0	0	0	1	1	1	0	0	0
75,056	6	01OD	11	402	Ging es eben um ein Schulfach?	4	75056	Ja	1790	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
83,102	4	01OD	12	257	Utes neue Kaffeemaschine hatte eine einfache Bedienung.	2	83102	keine	0	keine	3,89	4,7	0,6	5,16	2,21	49	7	4,736842	0	0	0	1	1	0	0	0	0
88,136	4	01OD	13	207	Der Flugbegleiter heute war wirklich attraktiv!	2	88136	keine	0	keine	5,18	5,5	-0,6	3,84	3,53	42	6	6,526316	0	0	0	1	1	2	0	0	0
98,176	4	01OD	14	344	##### ##### ### ### ##### #### ### ##### ############# ### ##########	3	98176	keine	0	keine	99	99	99	99	99	59	11	99	99	99	99	99	99	99	99	99	99
103,223	4	01OD	15	130	Endlich war Waffenstillstand zwischen den Streitenden.	1	103223	keine	0	keine	4,56	2,45	0,3	4,95	2,58	49	6	4,578947	0	0	0	1	1	1	0	0	0
108,262	4	01OD	16	226	Diesen Sonntag streiten sich die Kanzlerkandidaten im Fernsehen.	2	108262	keine	0	keine	4,17	5,05	-1,8	4,74	1,95	57	8	5,111111	0	0	0	1	1	2	0	0	0
116,302	4	01OD	17	250	Vokabeln verbleiben durch regelmŠ§iges †ben im Gehirn.	2	116302	keine	0	keine	3,39	3,05	1,6	4,84	1,84	48	7	6,263158	0	0	0	0	1	1	0	0	0
126,342	4	01OD	18	237	In Wien habe ich einen sehr leckeren Kaffee getrunken.	2	126342	keine	0	keine	5,72	5,1	-1,7	4,53	2	46	9	6,263158	0	0	0	0	1	1	0	0	0
131,389	4	01OD	19	348	##### ########## ### ########## ##### ### ###### ###### ##########	3	131389	keine	0	keine	99	99	99	99	99	58	9	99	99	99	99	99	99	99	99	99	99
137,428	4	01OD	20	217	Die Firma hat sich einen finanziell gut situierten Partner ausgesucht.	2	137428	keine	0	keine	2,72	4,1	1,1	5,05	2,32	61	10	5,789474	0	0	0	0	1	1	0	1	0
142,463	4	01OD	21	144	Meine Tante hat ein weiches Herz, sie kocht ehrenamtlich fŸr Obdachlose.	1	142463	keine	0	keine	5,5	3,2	1,1	4,83	2,84	62	11	5,578947	1	0	0	1	2	1	0	0	0
150,503	4	01OD	22	139	Laut und einschneidend schallten die Stimmen der VerkŠufer Ÿber den Markt.	1	150503	keine	0	keine	5,39	2,35	0,6	4,16	3,68	64	11	4,157895	0	0	0	0	1	2	0	0	1
157,543	4	01OD	23	105	Das war heute eine bittere EnttŠuschung fŸr meinen Vater.	1	157543	keine	0	keine	3,67	4,85	1,7	4,26	4,74	49	9	6,105263	0	0	0	0	1	1	0	0	0
167,589	6	01OD	24	403	War eben von einer positiven Nachricht die Rede?	4	167589	Nein	2418	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
175,624	4	01OD	25	346	#### ### ############### ### #### ##### ## ##### ######### #########	3	175624	keine	0	keine	99	99	99	99	99	59	10	99	99	99	99	99	99	99	99	99	99
180,659	4	01OD	26	313	### ############ #### ### ####### ########	3	180659	keine	0	keine	99	99	99	99	99	37	6	99	99	99	99	99	99	99	99	99	99
188,699	4	01OD	27	147	Nur sehr helle Kinder machen bei diesem Wettbewerb mit.	1	188699	keine	0	keine	3,28	4,35	1,5	4,68	2,21	47	9	5,368421	0	0	0	1	1	2	0	0	0
194,739	4	01OD	28	303	### ####### #### ######### ####### ################ ###########	3	194739	keine	0	keine	99	99	99	99	99	57	7	99	99	99	99	99	99	99	99	99	99
200,774	4	01OD	29	201	Ach, was fŸr ein einfaches Leben hatten wir wŠhrend der Schulferien!	2	200774	keine	0	keine	4,33	2,2	0,2	4,63	1,37	58	11	5,736842	0	0	0	1	1	1	0	0	1
205,808	4	01OD	30	331	## #### ##### ######### ### ######### ##### #########	3	205808	keine	0	keine	99	99	99	99	99	46	8	99	99	99	99	99	99	99	99	99	99
210,848	4	01OD	31	354	###### ######### ### ############ ### ####### ###### ###	3	210848	keine	0	keine	99	99	99	99	99	49	8	99	99	99	99	99	99	99	99	99	99
216,887	4	01OD	32	310	### ############ ##### ### #### #### ######### #######	3	216887	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
223,922	4	01OD	33	162	Dieser Mann ist ein echter Leckerbissen	1	223922	keine	0	keine	3,818182	4	2	3,636364	6,363636	34	6	6,181818	0	0	1	0	2	1	0	0	0
229,967	4	01OD	34	222	Die Unternehmerin war immer in Eile.	2	229967	keine	0	keine	4,67	3,25	-0,3	5,26	1,79	31	6	4,157895	0	0	0	0	1	1	0	0	0
235,002	4	01OD	35	118	Die GesprŠche Ÿber seine Kindheit waren schmerzhaft fŸr ihn.	1	235002	keine	0	keine	4,22	3,65	-0,1	5	4,63	52	9	5,315789	0	0	0	0	1	1	0	0	0
244,042	4	01OD	36	210	Der Schauspieler hatte ein sehr grob vernarbtes Gesicht.	2	244042	keine	0	keine	6,12	3,6	0,6	5,37	1,53	49	8	5,947368	0	0	0	1	1	1	0	0	0
255,077	4	01OD	37	143	Meine Gro§eltern hatten ein wirklich hartes Leben.	1	255077	keine	0	keine	3,94	2,55	0,9	4,21	2,53	44	7	6,222222	0	0	0	1	1	1	0	0	0
264,118	4	01OD	38	312	### ##### ### ################ ### #########	3	264118	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
275,153	4	01OD	39	234	Ihre romantische Hochzeitsfeier gefiel der Braut sehr.	2	275153	keine	0	keine	5,17	3,8	-0,5	4,26	1,58	48	7	4,421053	0	0	0	1	1	1	0	0	0
282,194	4	01OD	40	104	Das war eine unglaublich oberflŠchliche Reaktion von ihr.	1	282194	keine	0	keine	2,67	4,05	1,4	2,74	4,95	50	8	3,315789	0	0	0	1	1	2	0	0	0
291,239	4	01OD	41	203	Das GesprŠch am Finanzamt verlief glŸcklicherweise problemlos.	2	291239	keine	0	keine	3,17	3,95	-1,3	4,42	1,89	56	7	6,210526	0	0	0	1	1	2	0	0	0
296,274	6	01OD	42	404	War das GesprŠch negativ ausgegangen?	4	296274	Nein	2366	correct	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
307,304	4	01OD	43	322	### ############## ### ##### ### ####	3	307304	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
312,339	4	01OD	44	317	### ##### ### #### ##### ########### ### ########### ####### ##########	3	312339	keine	0	keine	99	99	99	99	99	62	10	99	99	99	99	99	99	99	99	99	99
