onset	duration	stimulus	product	pleasantness
19.198	2	warning_star	n/a	n/a
21.209	7.522	taste_and_swallow_fra	fra	6
28.731	22.5	judge_fra	fra	6
51.231	3.399	rate_fra	fra	6
57.496	29.14	rinse	n/a	n/a
86.661	2	warning_star	n/a	n/a
88.672	7.522	taste_and_swallow_kok	kok	3
96.195	22.5	judge_kok	kok	3
118.695	0.802	rate_kok	kok	3
122.345	29.14	rinse	n/a	n/a
151.511	2	warning_star	n/a	n/a
153.521	7.522	taste_and_swallow_lim	lim	4
161.06	22.5	judge_lim	lim	4
183.56	2.194	rate_lim	lim	4
188.602	29.14	rinse	n/a	n/a
217.734	2	warning_star	n/a	n/a
219.745	7.522	taste_and_swallow_ska	ska	4
227.268	22.5	judge_ska	ska	4
249.768	1.941	rate_ska	ska	4
254.573	25	rinse	n/a	n/a
298.75	2	warning_star	n/a	n/a
300.761	7.522	taste_and_swallow_kok	kok	3
308.283	22.5	judge_kok	kok	3
330.783	0.752	rate_kok	kok	3
334.433	29.14	rinse	n/a	n/a
363.566	2	warning_star	n/a	n/a
365.577	7.522	taste_and_swallow_ska	ska	5
373.116	22.5	judge_ska	ska	5
395.616	1.204	rate_ska	ska	5
399.668	29.14	rinse	n/a	n/a
428.818	2	warning_star	n/a	n/a
430.828	7.522	taste_and_swallow_fra	fra	6
438.351	22.5	judge_fra	fra	6
460.851	1.59	rate_fra	fra	6
465.305	29.14	rinse	n/a	n/a
494.455	2	warning_star	n/a	n/a
496.465	7.522	taste_and_swallow_lim	lim	4
503.987	22.5	judge_lim	lim	4
526.487	1.976	rate_lim	lim	4
531.311	25	rinse	n/a	n/a
575.488	2	warning_star	n/a	n/a
577.498	7.522	taste_and_swallow_ska	ska	5
585.02	22.5	judge_ska	ska	5
607.52	0.803	rate_ska	ska	5
611.172	29.14	rinse	n/a	n/a
640.304	2	warning_star	n/a	n/a
642.314	7.522	taste_and_swallow_lim	lim	3
649.836	22.5	judge_lim	lim	3
672.336	0.904	rate_lim	lim	3
676.105	29.14	rinse	n/a	n/a
705.254	2	warning_star	n/a	n/a
707.264	7.522	taste_and_swallow_kok	kok	3
714.786	22.5	judge_kok	kok	3
737.286	0.753	rate_kok	kok	3
740.888	29.14	rinse	n/a	n/a
770.036	2	warning_star	n/a	n/a
772.047	7.522	taste_and_swallow_fra	fra	5
779.569	22.5	judge_fra	fra	5
802.069	1.339	rate_fra	fra	5
806.24	25	rinse	n/a	n/a
